"Tissue"	"Total"
"Heart - Left Ventricle"	4168
"Breast - Mammary Tissue"	2072
"Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)"	377
"Adrenal Gland"	147
"Pituitary"	76
"Adipose - Subcutaneous"	52
"Muscle - Skeletal"	44
"Artery - Aorta"	31
"Thyroid"	31
"Cells - Transformed fibroblasts"	30
"Skin - Sun Exposed (Lower leg).Skin - Not Sun Exposed (Suprapubic)"	26
"Artery - Tibial"	21
"Brain - Cerebellum.Brain - Cerebellar Hemisphere"	18
"Esophagus - Gastroesophageal Junction.Esophagus - Muscularis"	16
"Lung"	12
"Brain - Caudate (basal ganglia).Brain - Nucleus accumbens (basal ganglia).Brain - Putamen (basal ganglia)"	11
"Adipose - Visceral (Omentum)"	9
"Nerve - Tibial"	9
"Colon - Sigmoid"	8
"Esophagus - Mucosa"	8
"Stomach"	8
"Artery - Coronary"	6
"Cells - EBV-transformed lymphocytes"	6
"Heart - Atrial Appendage"	5
"Liver"	5
"Brain - Substantia nigra"	4
"Whole Blood"	4
"Brain - Amygdala.Brain - Hippocampus"	3
"Brain - Spinal cord (cervical c-1)"	3
"Pancreas"	3
"Small Intestine - Terminal Ileum"	3
"Brain - Hypothalamus"	2
"Spleen"	2
"Colon - Transverse"	1
"Minor Salivary Gland"	1
"Bladder"	0
"Kidney - Cortex"	0
