logFC	AveExpr	t	P.Value	adj.P.Val	B
21188	-1.13246128523719	1.70244996397581	-8.12148508370301	3.56234971524268e-15	9.72699589747015e-11	21.854025041292
12436	-0.835527484385234	1.95690855360082	-7.36951443801687	7.05004057102927e-13	9.62506788959771e-09	17.1986228054991
12438	-0.896597690409555	1.77498179526139	-7.09647894398262	4.36062831376843e-12	3.9688985369149e-08	15.650320356083
12617	-1.00029331972504	1.76883153088537	-6.69324980338062	5.82976262333207e-11	3.97954171075206e-07	13.4241580535273
33426	-0.685536744655162	2.39849675860506	-6.26728188664281	7.88786797955542e-10	4.30756470363521e-06	11.076480047706
9627	-0.738404046521413	3.32726325255792	-6.06356697372637	2.61144052254624e-09	1.18842305780209e-05	9.96151355412467
9628	-0.732614079319682	3.33367886369629	-5.95307393706056	4.93184413890067e-09	1.92377148875261e-05	9.41824661547161
2627	-0.865041086762432	1.92613257060268	-5.63752102664057	2.87610332886033e-08	8.72577793272571e-05	8.020290735629
9630	0.618705307937778	3.4259254571605	5.02161064990866	7.11990648045178e-07	0.00194409046448736	5.18036174801135
12616	-0.765348591783413	2.05093999875991	-4.78002467524975	2.30339426574974e-06	0.00571765276602698	4.27338807422688
8736	-0.790789158168301	1.08497273325634	-4.52558788461849	7.52117504986646e-06	0.0157973603643541	3.28745754970608
28036	-1.00942055936415	2.30640482031983	-4.45656187668239	1.0271086181185e-05	0.0200322862983755	2.97939728292743
38224	0.720128030757246	1.17305649031374	4.37691912710505	1.46413655636115e-05	0.0266521657809608	2.71542068324543
35567	1.0041821397108	1.41677167981523	4.3280163617017	1.81534783282458e-05	0.0307320261957982	2.5281579978967
12619	-0.745165389024994	1.04071492890614	-4.29713332800742	2.07718062974791e-05	0.0315096761640371	2.4162805811472
38197	0.634907843246457	0.724605581183093	4.23896566344375	2.67131753812974e-05	0.0364701626893163	2.18641399528375
20771	-0.71339940160462	0.810274718199475	-4.1756580478885	3.50109150429484e-05	0.0450724790419796	1.96517327925398
35568	1.02830217856653	1.51967083818891	4.16703377960273	3.63154930937026e-05	0.0450724790419796	1.93363662577911
