logFC	AveExpr	t	P.Value	adj.P.Val	B
35568	2.02735226782657	1.42157039426299	9.97092546067449	5.19180136550792e-22	1.38797617705489e-17	31.1412267823984
35567	1.66943879670368	1.31105503909811	9.41570143627448	6.34064587323749e-20	8.47554133875655e-16	27.4569737845934
12436	-0.663704721501009	2.00186931380261	-8.75260653556445	1.49235927443734e-17	1.12128514146939e-13	23.3180889162875
21188	-0.739813519348089	1.78303596265438	-8.19017826803367	1.20091674165175e-15	6.42106163426359e-12	19.9415288971824
33425	0.981113188473951	3.44737720514518	8.05731496629213	3.27651825074583e-15	1.45990731525732e-11	19.7200302656894
35566	1.4036341500343	1.16459927128353	7.7331592139735	3.57665988658732e-14	1.19523031760032e-10	17.1803182148792
12438	-0.675723543926504	1.82266718906343	-7.35594241896844	5.21434260172292e-13	1.54889150127178e-09	15.2506523189817
2627	-0.712462384643785	2.0320770659595	-6.88070775460517	1.30356461553043e-11	3.48494964315905e-08	12.7654398067249
29968	1.17685647102805	1.83276319363648	5.80947594536563	9.4389941527789e-09	2.29401881527628e-05	7.71719190845337
12617	-0.722991787873302	1.80582208273272	-5.66804780305775	2.09665278150058e-08	4.31168580466435e-05	7.10214610511656
29969	1.07506086248922	2.57573426312705	5.35140195246329	1.17708014127576e-07	0.000224771860691902	5.77049551336603
12528	0.731403349214041	1.96335566071009	4.35652167351639	1.51522517988098e-05	0.0253175187243363	2.05730869998812
2092	-0.67669781616366	4.29879384907098	-4.19295891973575	3.09955357072882e-05	0.0487432147999201	1.72662024752485
