logFC	AveExpr	t	P.Value	adj.P.Val	B
18745	0.935871048948772	2.01958417800527	6.85697389591838	1.5324044397148e-11	4.32459856931914e-07	15.2379486674377
12617	-0.772547759412644	2.52255632468027	-5.51434777381791	4.90777829625583e-08	0.000692512056493179	7.88271595683271
8878	-0.697623555911638	1.80334111920013	-5.20358236081707	2.56252087265692e-07	0.00184975994094353	6.44747641635012
36110	-0.824470484674376	2.14706384175727	-5.199168605958	2.62182054632158e-07	0.00184975994094353	6.4160725725627
8501	-0.871739357732442	1.47645343013789	-4.81152927943612	1.83095702915709e-06	0.00861190638664035	4.67416084092325
12619	-0.681123176739022	1.54356291750952	-4.65498807036301	3.86783983785681e-06	0.0115950576441967	4.0095815056907
12616	-0.711757115168912	2.69387561733659	-4.65219356733217	3.91906110404142e-06	0.0115950576441967	3.97669182082158
27443	-0.688331475583393	1.923213766598	-4.60489835783338	4.89136592355575e-06	0.0115950576441967	3.80149210182202
25649	-0.772583995623673	1.67140222912283	-4.59331858454637	5.16256998001161e-06	0.0115950576441967	3.75211232629462
1336	-0.830103431292896	1.27931814187491	-4.59061168423426	5.22801677759035e-06	0.0115950576441967	3.73417441214927
19334	-0.899469621471113	3.13844986351879	-4.59208890379944	5.19220286643032e-06	0.0115950576441967	3.71976031381841
19338	-0.824882831186136	1.38500669228279	-4.58600373433958	5.34126180413724e-06	0.0115950576441967	3.71682591515502
19229	-0.735898679828221	2.76885413417373	-4.5564306585895	6.12606527577453e-06	0.0118844632994249	3.57457642413029
33466	-0.832600211294134	1.81547549366773	-4.54979331914627	6.31681901744705e-06	0.0118844632994249	3.57021779705503
26682	-0.735062792674874	1.11578353263299	-4.51892549301635	7.28130996508895e-06	0.0128428655327985	3.43553100720654
20676	-0.631818335021063	2.61844548973422	-4.49509186900465	8.1209967609056e-06	0.0130915258038648	3.33144705972625
15507	-0.686108944574474	2.25206577206401	-4.48899979230257	8.35007492539478e-06	0.0130915258038648	3.31554843777428
19132	-0.690896080273957	1.53087000013008	-4.46096500105346	9.48643241400309e-06	0.0132541731870362	3.21037140457987
2558	-0.586837996016012	2.61053101106344	-4.46090349036103	9.48896958859716e-06	0.0132541731870362	3.19158271242158
3685	-0.795935108778122	3.65973515563977	-4.45238619402896	9.86278434243153e-06	0.0132541731870362	3.13149637770256
14461	-0.821131326826158	1.92217636828616	-4.42915558967233	1.09550137614416e-05	0.0134691468311576	3.08144185225004
15771	-0.670276989757783	1.97501547109347	-4.42870505106063	1.09772997808945e-05	0.0134691468311576	3.07979104713081
29694	-0.682445689637351	1.0845159638805	-4.41785335685061	1.15273737528743e-05	0.0135547506116611	3.02659050094414
34575	-0.791159951014615	2.5434963175048	-4.35939233769901	1.49745542432885e-05	0.014911582720976	2.791101911637
38922	-0.833578221233605	2.8310754200156	-4.35574231059254	1.52196500565297e-05	0.014911582720976	2.7797395222355
35745	-0.667442504987664	2.37008190181081	-4.35437695580724	1.53123136037005e-05	0.014911582720976	2.77494486559572
37860	-0.6539362276569	2.45503198365331	-4.34199701678408	1.61774747750981e-05	0.014911582720976	2.72475205465228
31431	-0.754872196815166	1.73882722169554	-4.3315889939807	1.69407716049217e-05	0.014911582720976	2.69574093846505
25056	-0.665659811318088	1.91092712039184	-4.33144832902086	1.69513194341641e-05	0.014911582720976	2.69464153603254
23248	-0.705906028087436	1.54006815243325	-4.32854203056199	1.71706582141192e-05	0.014911582720976	2.68283773390228
13728	-0.698959206835077	1.92546784812382	-4.31668977067132	1.80935352578369e-05	0.014911582720976	2.63715805305265
32941	-0.732519073086505	1.6622733687412	-4.31033389177761	1.86077523385051e-05	0.014911582720976	2.61200959735206
28010	-0.660438424774957	2.71606253245173	-4.30726595691846	1.8860924789323e-05	0.014911582720976	2.58765630075363
20520	-0.64811796546825	2.80089407162971	-4.30519423863948	1.90337435441236e-05	0.014911582720976	2.57307384067809
34171	-0.626102110693756	2.51414470568248	-4.29633241875221	1.97901873714401e-05	0.014911582720976	2.54480886280396
