logFC	AveExpr	t	P.Value	adj.P.Val	B
2017	-4.79293750659692	4.55934184249821	-22.6404032634154	7.89238501678539e-77	5.21765573459682e-73	158.934147706598
4567	-3.40177528418937	4.09653171953194	-7.78882523504895	4.93020262913104e-14	1.62967847905927e-10	21.2408489173814
3100	-2.06072301167663	2.71245956842252	-7.60365122524624	1.6546453876901e-13	3.64628688600642e-10	20.068057194678
4173	-1.81074192102964	2.49122450119389	-7.44724367588385	4.73687576520965e-13	7.82887142095024e-10	19.0653761211702
4172	-1.8456860746914	2.59954476327652	-7.12167620643435	4.14989046247907e-12	5.48698516948983e-09	16.9996426161422
4534	-4.77232545757718	5.51638852891685	-7.03011804281349	7.9527880315311e-12	8.76264694607535e-09	16.3848409528127
6595	-1.83710421639244	3.01241457916881	-6.89811454400656	1.76471651280555e-11	1.66664869516536e-08	15.6244347980228
4164	-1.60650333352761	3.24278342212815	-6.80053528167957	3.24704995643963e-11	2.6832809077528e-08	15.0463412059617
3267	-1.60121038805028	3.40103475247564	-6.59656919684946	1.157916941543e-10	8.50554322282308e-08	13.8398673624767
5914	-1.77906731877045	2.72796896569074	-6.57232685206683	1.35530574905987e-10	8.95992630703479e-08	13.6869890356422
4060	-2.02559515586399	3.90816754097923	-6.46840217503504	2.61751825910733e-10	1.53146080415191e-07	13.0686822748917
98	-1.97424941302681	3.11788389293855	-6.45763473342297	2.77984112083239e-10	1.53146080415191e-07	13.00717774616
6606	-1.76262035671489	2.82183268955771	-6.37764665009812	4.42879373124397e-10	2.25221195055799e-07	12.5640014723043
1463	-1.29627619390318	2.56641540433132	-6.34692457158187	5.26576060839599e-10	2.48656738443614e-07	12.3994136652352
3444	-1.58964172110585	2.92570386758386	-6.23091394706579	1.04983428830692e-09	4.62696965333136e-07	11.7461979603384
3137	-3.69931176088077	5.502533487717	-6.20534042134239	1.26496004617006e-09	5.2266567907689e-07	11.5725405390955
4170	-1.52422295879138	2.49639048574959	-6.14708921269973	1.71200792363359e-09	6.65769669596568e-07	11.2825916039605
4062	-1.82459139756322	3.47767466546455	-6.09136858426523	2.41632671720607e-09	8.87463107080518e-07	10.9591033488413
5834	-2.10074748899349	3.17098880269924	-6.07841908808542	2.62933428055904e-09	9.1486994361978e-07	10.8790343480451
651	-1.13201461018555	3.46256131551396	-5.92112707827336	6.25835739027594e-09	2.00302437550342e-06	10.0570438527976
99	-2.16236702330072	3.64825919046166	-5.92356098018229	6.36265495168232e-09	2.00302437550342e-06	10.0430460108954
6553	1.27379592324694	3.01697123840128	5.90714611093096	6.77232191021308e-09	2.03508273401903e-06	9.98233185758591
5124	-1.98323937771302	3.67389006347456	-5.84692353536456	9.75660145610704e-09	2.74890867551893e-06	9.63842325669692
4107	-1.81186235103441	3.94854010356039	-5.84193063618141	9.97939921531605e-09	2.74890867551893e-06	9.61667640270165
2253	-1.81220835433359	3.06429574210909	-5.80313489391633	1.2367564857945e-08	3.27047885103497e-06	9.41448559658328
7683	-1.63323921349152	3.02750811498266	-5.79098094817272	1.30936580399682e-08	3.32931435777806e-06	9.36008106426264
6648	-1.3733440205487	2.61924585010609	-5.71560620352915	1.96657213826967e-08	4.81518829855585e-06	8.97569862544485
6651	-1.38300559791377	2.66631284265304	-5.69813923679704	2.16427133267531e-08	5.10999920725589e-06	8.88531992218385
2830	-1.38419575285339	2.93065833319602	-5.6366123706311	3.02709225478664e-08	6.9007265159981e-06	8.56872485399904
1621	-2.44016075257002	4.00591971694865	-5.63215102219601	3.18409148607042e-08	7.01667627147052e-06	8.52067321620735
2108	-1.35043120307353	2.98350423673328	-5.60703956035063	3.55306593821486e-08	7.57719965081884e-06	8.41766341754101
385	1.22163473821923	2.39844749120639	5.58062946474919	4.09719759617834e-08	8.4645541588547e-06	8.28396022846966
2622	1.37320990834716	2.76404938349621	5.53559077449599	5.21820378013446e-08	1.04538015728694e-05	8.05584397642664
4081	-1.29770581718296	2.51232801604448	-5.51959454433815	5.6831314922615e-08	1.10503477339238e-05	7.97571042408026
4061	-1.60268963105249	3.43707460698438	-5.44269809839123	8.65324643185109e-08	1.6344746331705e-05	7.57850850245315
4598	1.5529146597634	3.02741674804966	5.40657868068467	1.04252027719275e-07	1.88856850455235e-05	7.40481160183067
1765	-1.28097650832445	2.69493766234697	-5.40230111496806	1.05698131399844e-07	1.88856850455235e-05	7.39128330020412
6772	-1.39497319092438	3.06013198837372	-5.36182581843751	1.30903889648562e-07	2.27738319596486e-05	7.18961440754511
4212	-1.27629844616593	2.44113852584536	-5.3322427139508	1.52318867166158e-07	2.58200007906531e-05	7.04852921819927
5297	-1.09931056527662	4.36882830223565	-5.08227117923554	5.43236493998444e-07	8.97834115455928e-05	5.8450432262986
217	-1.56887168520343	2.995609808907	-5.06265569659973	6.05877396846556e-07	9.76940358671361e-05	5.75214597743972
5219	-1.03321133656199	4.36077156164239	-5.03603587802158	6.83477400367601e-07	0.000107582597472148	5.62936388720916
758	-2.24690451088205	4.94276237066342	-5.02433111879529	7.36822344983579e-07	0.000113282151690382	5.56282151425297
701	-1.49999965384927	3.72567798607528	-4.93729605389458	1.12130681748512e-06	0.000168476349327139	5.17030922228407
7490	-1.07055063406589	2.69205262677377	-4.87329993350997	1.51264540254927e-06	0.000222224416805627	4.89547651293924
2264	-1.56076406011609	3.80989577644394	-4.85587213161239	1.66490467816119e-06	0.00023927575711573	4.79957703815701
6513	-1.04226720666225	3.08678595638114	-4.71892389368776	3.14987472336042e-06	0.000443060038215655	4.20814530503866
2399	1.24105233311822	3.24541402850357	4.61335790306457	5.15430849964507e-06	0.000695410887574562	3.75085450020478
3922	-0.950946492615529	3.65179236515127	-4.61293882766211	5.15272294351977e-06	0.000695410887574562	3.74601890756712
828	-0.9189840573235	2.3015408565031	-4.49672633918733	8.74459011454336e-06	0.00112851154614967	3.26398093065489
6352	-1.32184546138163	2.90737242342911	-4.4906283366151	9.03805587365806e-06	0.00112851154614967	3.22892006599914
505	-1.46478688383286	4.65426230160752	-4.49330532840038	8.96555332915769e-06	0.00112851154614967	3.22379190861816
1931	-1.18625601734022	2.88324156788786	-4.48214332804259	9.35303496984101e-06	0.00112851154614967	3.19671387616594
6684	-0.884009409254758	2.62784799985393	-4.48092093785972	9.38861519259292e-06	0.00112851154614967	3.19415169108145
502	-1.45483239661561	4.23973930552024	-4.48376143958596	9.35634017006672e-06	0.00112851154614967	3.1861043603037
298	-0.997740575475624	3.53078151181644	-4.44706816839235	1.09244043359131e-05	0.00128966494758431	3.04751739378784
2036	-1.45945295868719	3.22036702617683	-4.42157458857905	1.2345502676029e-05	0.00143186172265312	2.93677857937626
7357	-0.902551113395358	2.75645164470193	-4.41167325434238	1.27863059954111e-05	0.00145741842992522	2.90608366155091
861	1.37907692129453	3.52096461289523	4.37869790539885	1.49009362691007e-05	0.00166966253686483	2.76108226999384
1552	1.35032328503071	4.78930083700001	4.35784922060782	1.63320600027992e-05	0.00179952081130842	2.66499341953291
4800	-1.04743173507401	3.96009249933826	-4.28700706506204	2.20744382543933e-05	0.00238491661838277	2.3896455448198
7069	-0.895563231521081	3.12567217836304	-4.28393758303842	2.23664846981896e-05	0.00238491661838277	2.38527912391803
7653	-0.929897826239922	3.64081296727371	-4.27506497263784	2.32404565356661e-05	0.00243877235170299	2.34726041225537
3182	-1.35061685751337	3.02850582708384	-4.26214351808896	2.47359776741488e-05	0.00255514919380934	2.29495802634676
6771	-0.959976189553912	3.82860270138303	-4.24772603978417	2.61430837203549e-05	0.0026589527150041	2.23465052802584
7858	1.0920799670428	3.45066190745217	4.23395197667811	2.77584326664994e-05	0.00274045006609263	2.18441250897137
524	-1.40545375460488	3.55648089832181	-4.23541371812554	2.77734313157172e-05	0.00274045006609263	2.18118400101143
