logFC	AveExpr	t	P.Value	adj.P.Val	B
806	-2.1075646380281	4.86273323370517	-9.48075649351396	1.50268151045013e-19	2.56056929380703e-16	33.458899504942
805	-2.47421439991838	6.31042884855697	-8.12307151677334	4.71881647752675e-15	4.02043163885279e-12	23.5354504295811
562	1.3063888604489	4.85653452867772	7.31143617922815	1.20610854041694e-12	6.85069650956822e-10	18.201634418966
2447	-1.148610440668	10.0308900878285	-6.92757076675311	1.49517194186227e-11	6.36943247233329e-09	15.7942787165776
466	-1.15462334126739	4.70998115707827	-6.69768397203427	6.29062808640488e-11	2.14384605184678e-08	14.4275507243613
848	-0.895836753183375	5.55030723383838	-6.43483718891502	3.14958362719502e-10	8.94481750123385e-08	12.8976124766762
579	0.886038301714636	8.40412429540797	6.28466026979343	7.726956829462e-10	1.88096206248618e-07	12.0047108486116
626	-0.978163971043016	4.58128188824513	-6.23842503673199	1.01515201089001e-09	2.16227378319572e-07	11.781996685153
563	1.28487408662202	5.87960718420902	6.19187389334636	1.33873466818728e-09	2.53467097176791e-07	11.5200717843953
578	0.872681994169652	8.25085051397824	6.12550852138457	1.96360107632837e-09	3.34597623406355e-07	11.1112927071996
922	1.01733887611783	5.1140046500061	6.01736304056487	3.66047776190294e-09	5.67041282389328e-07	10.563879221877
561	1.22815683250758	5.86371184174313	5.86366837088492	8.76653555699442e-09	1.24484804909321e-06	9.73735261491224
804	-1.16012980715254	5.35424611245019	-5.80424386657162	1.22143783545898e-08	1.53901546812084e-06	9.41582803051975
465	0.702130454361976	6.66586689113826	5.79731508716753	1.2644493282683e-08	1.53901546812084e-06	9.36598394467948
1473	0.845588233285271	4.57590134869695	5.60337882654017	3.65490264755933e-08	4.1519694076274e-06	8.38833564324256
106	-1.2335783501855	4.99631424011504	-5.44042069958122	8.78449106123478e-08	9.35548298021504e-06	7.5552047166688
355	0.942185519925056	4.54112909338432	5.37525727937922	1.22653327850047e-07	1.22941923915577e-05	7.24686115026311
2424	0.916820715467199	4.470504707389	5.30883625757341	1.73141970457687e-07	1.63907732033277e-05	6.92206677866053
51	0.962921656156182	4.94050797916871	5.20869872642357	2.8922050830378e-07	2.50717352968472e-05	6.43643085036544
327	-0.758611819144341	6.50518443705116	-5.20529356409637	2.94269193624967e-07	2.50717352968472e-05	6.37265417935973
558	0.965071578351104	5.43242907386831	5.09706948531403	5.07570957080034e-07	4.11857576602085e-05	5.89686487082155
731	0.901520357819989	7.09388831893841	5.04203067920654	6.67466257941283e-07	5.16982956150885e-05	5.6029212456986
