logFC	AveExpr	t	P.Value	adj.P.Val	B
2288	-2.51965281498393	3.86132386251672	-11.4252246712544	1.07603353316731e-26	5.4996073880181e-23	49.6095436120596
3519	1.94342741361335	2.21464912554406	11.0341880351009	2.77690494588896e-25	7.09638058921923e-22	46.3874322565125
533	-2.1764761683754	2.39681276934206	-10.5462549687938	2.03249156683529e-23	3.46268813269838e-20	42.2341931717152
1933	-1.82214246955152	2.88427026015031	-9.9946310655021	2.02402802132154e-21	2.5862018042436e-18	37.7871510697102
5209	-2.92894129588097	4.84928000752149	-9.82730776101649	9.83277339730455e-21	1.00510609667247e-17	36.249984646068
394	-1.12023062724571	3.37940285772256	-9.41069759854178	2.33895439081588e-19	1.99239931524333e-16	33.1959945574209
3105	-1.61287835065983	3.97522071719586	-8.81806661135958	2.41456917920154e-17	1.76298043927129e-14	28.7057175849857
3591	-2.43570385836697	2.98982602621663	-8.51852571841198	2.60269495366922e-16	1.66279673852542e-13	26.3957065293458
4512	-1.93517146858363	2.96893658072538	-8.48263012813349	3.28075245276184e-16	1.86310286511842e-13	26.1691268660727
4233	-1.61801840476359	3.0966110151755	-8.42525225780967	4.63547052870899e-16	2.36918898722317e-13	25.8304210802579
3518	-1.53737341317334	2.67482612387544	-8.35628790423864	7.68119746017602e-16	3.56896365626906e-13	25.3371844520296
233	-1.39097096264069	2.15659708268214	-8.2613898876301	1.53663296551793e-15	6.54477590563513e-13	24.6635471681975
2287	-1.68397597180235	2.87869801240701	-8.22126074705748	2.11463459631182e-15	8.31376724749978e-13	24.3625234829307
4510	-2.4622358951141	3.38983479839328	-8.21696954543678	2.36904331866186e-15	8.64870028691482e-13	24.2606653759787
2743	-1.33644806800348	2.40646469456768	-7.88095050054185	2.35782542759614e-14	8.03389717362924e-12	22.0283891792847
495	-1.54319741508917	2.23330035603849	-7.6901096142079	9.01335873653186e-14	2.8792047814009e-11	20.7346721311848
3646	-1.82223576435024	3.02256769477482	-7.55773712116422	2.38117792263186e-13	7.15894138974791e-11	19.8028362673269
1844	-1.45702102639357	2.78929716405028	-7.48044997827374	3.79063439437154e-13	1.07632957720183e-10	19.3512846476345
3007	-1.24780646051332	2.25015730896547	-7.41445924498024	5.89035732807972e-13	1.58450612125344e-10	18.9250580259238
315	-1.2931744148453	3.33416407552867	-7.30813160430445	1.20260354588787e-12	3.07325336151645e-10	18.2378677312988
395	-0.988305540148274	3.36590287010179	-7.11757887670027	4.22708604943831e-12	1.01529171822351e-09	17.02582587501
1117	2.05144358623619	3.14069541060137	7.12227063660884	4.37026370591218e-12	1.01529171822351e-09	16.9972695855944
3559	-1.875075495157	3.57779145995592	-7.04350826871267	7.26523926377447e-12	1.61446251639788e-09	16.5060827731335
2034	-1.31758263619018	3.37939455321747	-6.9117765021894	1.60584636675818e-11	3.4197836585421e-09	15.7394922761341
345	-1.36697154967324	5.02092609588481	-6.89454941875677	1.79628848853038e-11	3.67233218595151e-09	15.6346975775149
1061	-1.07617515203185	2.54005469457597	-6.8363285165031	2.58287158804961e-11	5.07732949481599e-09	15.2871360354693
496	-1.54576650496711	2.51892523597395	-6.77524592881231	3.93246121282996e-11	7.44400342917552e-09	14.8845031916998
3922	-1.14253673993268	2.10320007122532	-6.67519958251742	7.10219358787439e-11	1.29628227379011e-08	14.3163911700079
4231	1.23480946956445	2.95126379118341	6.66973311467727	7.35515279591338e-11	1.29628227379011e-08	14.2805078265835
4385	-1.01493548652239	3.00195131965836	-6.66337624878104	7.64244320103291e-11	1.30201757334931e-08	14.2421445186718
5554	-0.960871049642303	2.60697154829277	-6.57840148448875	1.29192820652629e-10	2.13001453663093e-08	13.7407808414478
2657	1.17972985212715	2.88805527327096	6.49765914527703	2.11826543505038e-10	3.38326707454452e-08	13.2653944123023
5202	-3.51908299169245	4.36155298497612	-6.46112122713928	2.76868762829331e-10	4.28810983885064e-08	13.008576124971
329	-1.05558814626831	2.21039692133508	-6.42030326176383	3.38299941832312e-10	5.08544412560278e-08	12.8190283180409
1102	-1.63312694383618	3.45103202704554	-6.25905026051338	9.20242824609047e-10	1.34381745045052e-07	11.848426031692
4797	-0.887571071201465	2.08227006683608	-6.17854966690689	1.42205765747647e-09	2.01892685760062e-07	11.4440756116441
2805	-1.48699838697249	3.45352402642571	-6.1459372345898	1.77756759650267e-09	2.45544540154733e-07	11.2166750500519
5435	-1.06620722868859	2.9883167729435	-5.90983262491367	6.66277971079055e-09	8.96143871101329e-07	9.95967295891641
190	1.25991557983628	3.30957706878626	5.8996662658216	7.15610351126351e-09	9.37816539642764e-07	9.89323511695978
358	-0.835378827106421	2.00612399261003	-5.86628845242371	8.50919618150456e-09	1.08726254209175e-06	9.73431650233182
1534	-1.16399036736768	2.71917629445967	-5.85133829103144	9.27655637633358e-09	1.15640194242539e-06	9.64939779599003
4376	1.00760241378469	2.35721399599717	5.76144877169136	1.52585910130627e-08	1.85682520637532e-06	9.17652477632832
244	1.18694727304874	4.18700451859957	5.75019856185511	1.6481982646882e-08	1.95905612344684e-06	9.07554505844766
1325	-1.32781299241667	3.02557466208782	-5.73805544855148	1.77261900463619e-08	2.05905812106717e-06	9.02620710746752
442	-1.34750328117469	3.05847446432832	-5.71326714797333	2.03259120855767e-08	2.30857192598628e-06	8.89787283767666
1198	-0.980271536657455	2.06283965775539	-5.59869025476354	3.71302290127664e-08	4.12549131487497e-06	8.32920294557092
