logFC	AveExpr	t	P.Value	adj.P.Val	B
33427	0.753355943484112	2.14123171386815	7.4077869630206	4.28184220872137e-13	1.12042965075612e-08	17.8437633642271
12438	-0.792502492109597	1.91987722576925	-7.09011690852785	3.71057887705443e-12	4.85473587379416e-08	15.9249386701635
12436	-0.831532081767619	2.05121633796106	-6.95155392568816	9.29354755265614e-12	8.1061419603451e-08	15.1336010609223
33426	-0.891290256755764	1.94788358425512	-6.64601191512518	6.67444487664638e-11	4.36625497718015e-07	13.39797927676
21188	-0.851333823877619	1.49428545371348	-6.59433833354802	9.24842742538542e-11	4.84007200880121e-07	13.0896321548472
2627	-0.868440092359247	2.4739358224997	-6.06920423880671	2.2559206900414e-09	7.37883458703915e-06	10.3553389255089
21187	-0.733794279597355	1.18216208017668	-5.37016729918806	1.11907683960853e-07	0.000325365374022628	6.92047039274699
38197	0.695775132603573	1.20142616701296	5.2345914168098	2.27654086128743e-07	0.000595702447173082	6.30356972566291
27376	0.762167532313667	0.889449022980014	5.15167611985183	3.4880358010136e-07	0.00082974029822839	5.93507722725596
1702	-0.744784437863803	0.14177161370829	-5.01832760350832	6.84378951459214e-07	0.0014923453352361	5.2981567268194
23950	-0.740091009802986	0.159517886442328	-4.95703282604516	9.28206493368788e-07	0.00186833687015239	5.04898920895324
8570	-0.756534240162608	1.11862325744097	-4.79680519426327	2.02782691980505e-06	0.00379015335789563	4.41125786637367
14445	-0.858709747917293	0.843334425008009	-4.64009085360053	4.26313726005285e-06	0.00729329102415829	3.77771872059674
12617	-0.586861994319916	1.69182987440858	-4.61743658625159	4.73825610160473e-06	0.00729329102415829	3.67499590798701
31576	-0.818961646932386	0.367476580900459	-4.45448867094089	1.00004365492696e-05	0.0137727064834073	3.02866037937504
315	-0.879795409356246	1.84780237283598	-4.27780722924705	2.19010982233932e-05	0.0277524326165545	2.36445171135159
12441	-0.657781549010914	1.3260485789432	-4.27395024440127	2.2272369203487e-05	0.0277524326165545	2.3508173347886
28565	-0.663966181886301	0.145907034947243	-4.26215215018091	2.34456881987327e-05	0.0278865146861927	2.28151732996413
21185	-0.666007097020992	0.899110612183015	-4.22101120059727	2.80156584934031e-05	0.0318732928607339	2.1607008252292
23949	-0.612821754042164	0.672944617222083	-4.14533481606475	3.87243878512306e-05	0.0400281117101684	1.8833261964252
317	-0.875631879133149	1.86448710127081	-4.13903785444368	3.97726489266778e-05	0.0400281117101684	1.8551342077217
