logFC	AveExpr	t	P.Value	adj.P.Val	B
2677	-1.00890808763351	4.78184947524916	-6.5326732748747	1.43863209808143e-10	5.31574560241088e-07	13.4403169794107
1212	-1.21921540091068	5.19153942855007	-5.89971684135843	6.26438952982795e-09	1.15734596563571e-05	9.9472940050176
1661	-0.939502954453204	3.69296860516678	-5.3163578739246	1.52471409168072e-07	0.000155971403274124	7.00921555328232
4926	-1.16693737833432	4.90839498871083	-5.29729179708279	1.68845903409065e-07	0.000155971403274124	6.91764073621636
99	-0.853421140414951	4.61032148433549	-5.09216489089268	4.82484420309825e-07	0.00035655598660896	5.95604323221293
4642	-0.919789661652597	3.54277770679004	-5.05529390529525	5.80781188447515e-07	0.000357664415218928	5.78301847532789
3862	-1.00684334467188	4.11840080592666	-4.77364579803573	2.30578220847597e-06	0.000998622012163968	4.52622131401843
559	-0.909959242323092	3.86631277001263	-4.77375429468449	2.3040804014194e-06	0.000998622012163968	4.52613927988517
2645	-1.0007824957953	4.36095459851353	-4.76244110695793	2.43236755330872e-06	0.000998622012163968	4.47749469249398
1127	-1.11738402905251	5.15060432568119	-4.68962629835441	3.44977654466516e-06	0.00127469243325378	4.15876366511337
3415	-0.960940958123104	6.96668047722111	-4.52790298719417	7.26427392621134e-06	0.00227335925918272	3.47941297925192
4888	-0.873828870951839	3.86273054810965	-4.52433381999734	7.38357528876582e-06	0.00227335925918272	3.46659011033649
1341	-0.778293581436582	3.29726539271345	-4.49012742560347	8.62634624053572e-06	0.00227335925918272	3.32491195749959
166	-0.988093123502492	5.02214979918437	-4.49024025836199	8.63300745112674e-06	0.00227335925918272	3.32481740631417
4713	-0.832604084438533	4.03647256734887	-4.47521427514982	9.22879266244677e-06	0.00227335925918272	3.26407832072438
2899	-0.752080244809669	5.92610375092008	-4.44705819829667	1.04778236015944e-05	0.00229369134041028	3.1488075118318
2499	-0.82324864538027	4.43244703846933	-4.44547118319722	1.05528424321988e-05	0.00229369134041028	3.14253466790734
