logFC	AveExpr	t	P.Value	adj.P.Val	B
675	-0.715919518543471	6.90046286355339	-6.20457901056785	1.07493281045846e-09	1.35254184002734e-06	11.7038355928901
676	-0.715036959045908	6.91817194177374	-6.11770813059298	1.79620430282515e-09	1.35254184002734e-06	11.2197962061517
1012	0.934808070786864	5.15622406538928	5.64654811982811	2.6185940955211e-08	1.31453423595159e-05	8.6751341598493
902	0.736058607666228	5.72939490479732	5.47491606176481	6.64622017653243e-08	2.50230189646446e-05	7.81967803613296
1643	0.74716440554103	5.12663495998664	5.33479849622365	1.39642805180272e-07	4.2060412920298e-05	7.12060040483659
367	-0.867699729682243	5.13635809941299	-4.95380802522924	9.68218492512368e-07	0.000243022841620604	5.33134800742919
640	0.624141174590575	5.47023370483683	4.54925661096206	6.61998933308961e-06	0.00142424341937614	3.56106435324994
2148	-0.802244046727643	4.9841510367936	-4.51814252675705	7.63069216780604e-06	0.00143647780058949	3.43443761081972
324	-0.710599466212335	5.26710765600762	-4.43678139742037	1.10210044824818e-05	0.00184418141673529	3.09526024594214
38	0.643701307904749	6.02182908769522	4.24683948434891	2.5429468481068e-05	0.00382967795324884	2.32410475171785
588	0.65051331440001	5.75016125699983	4.12468573616811	4.28273150455482e-05	0.00586344876896324	1.85803016684575
1982	-0.699559173739848	6.54100172661945	-4.01678423595651	6.71464520704192e-05	0.00777865821677318	1.43814885234356
1286	0.776191250340621	4.78477374527024	3.70198571950138	0.000235601633907927	0.0236544040443559	0.325617539666898
1545	-0.751755023315971	6.00052275083775	-3.61153682159278	0.000332708507917535	0.0278916615274931	-0.0274833560019125
2240	-0.622643150563039	8.42726917711672	-3.59652748101847	0.000351886832020166	0.0278916615274931	-0.159538017997034
2224	-0.745235404672242	6.14991866260537	-3.47406756630007	0.000553822676517817	0.037140218530686	-0.49029244730115
