logFC	AveExpr	t	P.Value	adj.P.Val	B
3050	-0.852084118082829	3.50957028444204	-5.43375895844274	8.25046463393501e-08	0.00039602230242888	7.44802343516364
4271	-0.979460842551385	3.07948623479706	-4.55931631001965	6.32201898799941e-06	0.010562666488402	3.55650278796712
5627	-0.859979623920311	4.68872634422055	-4.54962830290488	6.60166655525124e-06	0.010562666488402	3.55008764768061
3593	-0.754783277678789	3.94355806984399	-4.39678224368275	1.31556401070726e-05	0.012166634680473	2.92451280141686
557	-0.669186650776888	2.44186798500399	-4.38328382102775	1.39691025443525e-05	0.012166634680473	2.8474293596233
4789	-0.75982211681704	3.27915506955923	-4.330092492977	1.76678113380382e-05	0.012166634680473	2.64979600634499
4261	-0.641789132293464	3.79502546088322	-4.3152495765538	1.88564828746632e-05	0.012166634680473	2.60132806348022
425	-0.799522270925176	3.61358191554952	-4.29677323421189	2.04430446934714e-05	0.012166634680473	2.52697228408401
936	-0.697708119220461	5.77356206465911	-4.25284811368192	2.47423974932931e-05	0.012166634680473	2.36800515781592
1936	-0.666237552522886	2.66025606393699	-4.22250052139558	2.82027540378066e-05	0.012166634680473	2.23001179925954
1688	-0.814226123729106	5.03240232126887	-4.19221378665263	3.21500083212208e-05	0.012166634680473	2.13514002432746
1402	-0.689818044745202	2.8060656448969	-4.18047418425794	3.37635272622121e-05	0.012166634680473	2.07294642179752
1447	-0.632527375803762	4.35572935939111	-4.17149035180807	3.50807537164818e-05	0.012166634680473	2.05586749383115
2389	-0.693624702745983	4.13541482412586	-4.16194257811281	3.65342427433189e-05	0.012166634680473	2.01879176226625
4375	-0.679794200549858	5.44912344685079	-4.1525449877121	3.8020733376478e-05	0.012166634680473	1.98532743112606
2935	-0.775278648086502	3.98697490088644	-4.07726505897046	5.21930462504384e-05	0.0152433654673288	1.70157429000617
1656	-0.922032885263901	3.36193614800576	-4.0692652832103	5.40927912633473e-05	0.0152433654673288	1.66482123111917
357	-0.748981022846651	3.44696415970216	-4.02519962902322	6.47809543677276e-05	0.0152433654673288	1.50646332079419
4208	-0.786368535471283	3.62632725590797	-4.02225793700871	6.55808005871915e-05	0.0152433654673288	1.49726296380814
4089	-0.606633749462125	3.80500712024965	-4.01867802834496	6.65479307237909e-05	0.0152433654673288	1.48484840971309
4887	-0.649193666184723	3.3436483393846	-4.00382148576293	7.07454763972903e-05	0.0152433654673288	1.42801555737689
4686	-0.639549241372098	5.26692291805436	-4.00025783437673	7.17890553772903e-05	0.0152433654673288	1.42077290389454
4201	-1.03466740650635	4.21722516149764	-3.99713853834335	7.30411261976172e-05	0.0152433654673288	1.40539176814808
5574	-0.692751863987645	3.29609399528157	-3.92351584489984	9.81396932912578e-05	0.0193538598197384	1.14067939285311
4314	-0.887097527916181	3.86170063659526	-3.91752260220871	0.000100801353227804	0.0193538598197384	1.12019597428559
4257	-0.599945539063419	4.73139348614059	-3.8799036129687	0.000116955036186049	0.0215916989881937	0.988786188019069
2841	-0.660934976399289	3.49767492064925	-3.86186418665656	0.000125694557379557	0.0222362870635308	0.924745004805814
2945	-0.644683006375726	3.56489373009704	-3.82761643856332	0.000144010911243912	0.0222362870635308	0.805629660383959
5733	-0.591789836776239	3.56867909987664	-3.82721688168458	0.000144238776004153	0.0222362870635308	0.804373393783807
3103	-0.677829218569264	5.5326472123235	-3.8193690930067	0.000148783925640098	0.0222362870635308	0.776018238407167
