logFC	AveExpr	t	P.Value	adj.P.Val	B
2747	1.04186775276222	3.75317211784955	4.89058265557554	1.73172149069827e-06	0.00487013013889378	4.72440354647074
3910	1.14337450709387	2.95921555282399	4.87215762295547	1.88691597787438e-06	0.00487013013889378	4.61297154614564
3913	0.985126130274972	3.40997110600605	4.46738407941085	1.16689412830454e-05	0.0200783583010267	3.01361637902479
1673	0.89885081215584	3.22074334001353	4.39340696956803	1.60641133561193e-05	0.020730738286072	2.73299258158889
200	1.08122821611421	2.36966353947084	4.2895625963535	2.49839825702905e-05	0.024302183198458	2.33705022232403
3031	1.07480227976971	4.16144240851757	4.2603446924494	2.82474039501643e-05	0.024302183198458	2.2464369790561
160	0.871310850683133	2.79478074159521	4.18992795344252	3.78700734215399e-05	0.0275371390000031	1.97598578284021
22	1.05381528405357	5.27847986979308	4.13730063740436	4.70280566546939e-05	0.0275371390000031	1.80721081862023
2886	0.916514633039866	2.1013722695994	4.1022222900555	5.42664657989103e-05	0.0275371390000031	1.65894983226884
1875	0.866081742562863	4.08909077396834	4.084389969028	5.83415760383397e-05	0.0275371390000031	1.61430344978445
5607	0.836992914121175	3.86638469808569	4.08296094746864	5.86804589306536e-05	0.0275371390000031	1.60726361523222
1965	0.827905472221651	3.52851793785811	4.0572633283023	6.51039662975674e-05	0.0280055561690036	1.51067505844865
2186	0.955897915546393	4.2379857322351	4.00398655386264	8.06159361539732e-05	0.0296597734858282	1.32932765919468
4699	1.07465478379237	2.97850950628939	3.97439027535053	9.06903689587383e-05	0.0296597734858282	1.21443444698574
3770	0.781150994768259	3.63488361586408	3.95648643036479	9.7353591846886e-05	0.0296597734858282	1.15965241964994
5612	0.81483176285725	3.02641420934205	3.95198605394017	9.9100162969225e-05	0.0296597734858282	1.13780560663101
3794	0.885094057471885	4.38461717530489	3.93712857315416	0.000105079878428578	0.0296597734858282	1.09616600682148
2259	0.846712394696428	2.72099362442965	3.92158172276629	0.000111702818743106	0.0296597734858282	1.03238739396607
3517	0.99046150255068	4.22591635791428	3.91456942678085	0.000114817915389356	0.0296597734858282	1.01798676001448
1335	0.981679742562546	2.29584824759913	3.91373645984119	0.000115193374668177	0.0296597734858282	1.00449257557319
5324	0.853473187465501	3.73056302324084	3.88780624258752	0.000127480971390614	0.0296597734858282	0.923406300653427
4784	0.976107060857703	4.00547941782478	3.85010589585739	0.000147580782324417	0.0296597734858282	0.796976845396427
712	0.781483843295007	3.46836056742121	3.84656009401018	0.000149618329467137	0.0296597734858282	0.78168852130451
2389	0.761593221881766	3.74756096175219	3.84223655407411	0.00015213883361653	0.0296597734858282	0.769721547925629
5455	0.915955030013922	2.25870376311983	3.84233775730514	0.000152079378259202	0.0296597734858282	0.763432485882051
3654	0.745897796814632	3.03779055098697	3.82191384608881	0.000164534398344798	0.0296597734858282	0.697139162921486
1109	0.727013765736589	3.6468685205806	3.8084708646251	0.000173252407276187	0.0296597734858282	0.655583993750183
434	0.967160770605827	4.53243722302732	3.79044663011416	0.000185628620545335	0.0296597734858282	0.595964713072517
1914	0.801783607892893	3.56735743394979	3.79005556297263	0.000185906187706914	0.0296597734858282	0.593705030824353
1354	0.743405125416724	2.8818419399069	3.79077652598742	0.000185394775485561	0.0296597734858282	0.593083045530824
4141	0.880284777010404	4.40827108352737	3.7895884298811	0.000186238258290035	0.0296597734858282	0.593068109123128
2490	0.730274795848153	3.75777810152844	3.7894540318132	0.000186333901563431	0.0296597734858282	0.592453502989937
2387	1.03152662538595	3.25223484794195	3.78396912572688	0.000190277038545348	0.0296597734858282	0.570228983654424
4394	0.922941773098911	2.53544387853234	3.7770592558602	0.000195356896264657	0.0296597734858282	0.546703219770328
5323	0.743040637925713	3.69080651054896	3.75653901133345	0.000211208475191422	0.0311502328268034	0.482898938639474
4549	0.767572934766373	2.70633017411814	3.72488415529003	0.000238062974009973	0.0340143077586043	0.376131786650961
1695	1.0279678650771	3.08128961859195	3.71513023741	0.000246966719610739	0.0340143077586043	0.345013492509766
2222	0.723417359702708	3.29766245532473	3.70890573246055	0.000252811875398095	0.0340143077586043	0.325287225626195
1656	0.821396502059306	3.94671758524206	3.70454398281693	0.000256985277525294	0.0340143077586043	0.31149888194619
777	0.905445981038879	4.75391934181771	3.67907708132475	0.00028267880204812	0.0360806885029078	0.22718902999897
5218	0.88374375752273	3.1435373990692	3.66852820906893	0.000294014886514146	0.0360806885029078	0.19404792124101
3912	0.711882664096069	3.63912129921413	3.65935046738711	0.000304224518443823	0.0360806885029078	0.165013391201366
2488	0.702577883998376	3.70664733558777	3.65751064235858	0.000306310971786525	0.0360806885029078	0.158917203458209
1833	0.780917142871582	3.99913027421915	3.65642751805557	0.000307545581969768	0.0360806885029078	0.154454854367167
3046	0.954963954981825	4.96967883583627	3.63162508302864	0.000337132187066022	0.0380170521922243	0.074139851632256
558	0.837601714184959	3.96572189547009	3.6303044066149	0.000338780395358837	0.0380170521922243	0.07024536201311
2962	0.866058927751273	2.66008521123136	3.61599350553777	0.000357133308352384	0.0387609050399849	0.0257726917966137
3600	0.878216269020024	2.74755005104695	3.61289020111802	0.000361234601353851	0.0387609050399849	0.0159798944095728
2680	0.764119054950423	2.09647678236979	3.60298783590933	0.000374619540125219	0.0387609050399849	-0.0156378859519091
3073	0.802244190967623	4.37687304340702	3.60238835049049	0.000375444643936312	0.0387609050399849	-0.0205344281090696
5569	0.723658187278829	2.85242488261679	3.57822230466195	0.000410164188104371	0.0407511153185624	-0.0934829988591908
1287	0.984605711870002	2.36861874415689	3.57799072391218	0.000410511041566301	0.0407511153185624	-0.094349991202102
1110	0.746652307872316	3.47353359840726	3.5696187843069	0.000423236832982787	0.041221670412399	-0.120636797557771
3061	0.671418536428419	3.09463467200605	3.55861461226248	0.000440527707589904	0.0416102684902544	-0.155054123255218
1404	0.847334209808187	4.15380659424949	3.55685802109794	0.000443348463185585	0.0416102684902544	-0.161866350104457
651	0.808932456812499	2.24413108076907	3.53362683413169	0.000482283991225168	0.0444562493340056	-0.232939518227387
2215	0.770605886255326	4.05657665712031	3.52517130821423	0.000497234945969298	0.045030294580588	-0.263672331013342
1166	0.695886729895592	3.97725236673291	3.50157444576157	0.0005412895468475	0.0481747696694275	-0.337975422613561
