num.nmd	num.transcripts	nmd.ids
1	0	1	
2	0	4	
3	0	1	
4	0	0	
5	0	0	
6	0	0	
7	0	0	
8	0	0	
9	0	0	
10	0	3	
11	0	1	
12	0	2	
13	0	1	
14	1	1	***
15	1	1	***
16	0	0	
17	0	1	
18	0	0	
19	1	1	***
20	0	3	
21	0	2	
22	0	0	
23	1	1	***
24	6	6	******************
25	0	20	
26	0	1	
27	0	3	
28	2	2	******
29	0	0	
30	0	0	
31	1	4	***
32	1	1	***
33	0	0	
34	1	1	***
35	0	2	
36	0	0	
37	0	0	
38	0	0	
39	1	3	***
40	0	0	
41	1	1	***
42	1	1	***
43	1	1	***
44	1	1	***
45	1	1	***
46	1	1	***
47	0	14	
48	0	15	
49	1	1	***
50	5	5	***************
51	0	0	
52	1	1	***
53	0	0	
54	2	2	******
55	0	0	
56	1	1	***
57	0	0	
58	0	3	
59	0	3	
60	1	2	***
61	0	0	
62	0	4	
63	0	3	
64	0	5	
65	0	3	
66	0	4	
67	0	1	
68	0	3	
69	0	0	
70	0	0	
71	0	2	
72	0	2	
73	0	0	
74	0	4	
75	1	1	***
76	1	1	***
77	0	0	
78	1	1	***
79	0	0	
80	2	2	******
81	1	1	***
82	0	2	
83	0	0	
84	0	1	
85	0	0	
86	0	1	
87	0	2	
88	1	1	***
89	1	1	***
90	0	4	
91	1	1	***
92	0	1	
93	0	0	
94	0	1	
95	0	3	
96	1	1	***
97	0	0	
98	0	0	
99	2	6	******
100	0	0	
101	1	1	***
102	0	0	
103	0	1	
104	2	5	******
105	2	6	******
106	0	5	
107	0	5	
108	0	6	
109	2	2	******
110	0	0	
111	0	0	
112	0	0	
113	0	0	
114	0	0	
115	0	0	
116	0	0	
117	1	1	***
118	0	1	
119	0	1	
120	0	0	
121	0	0	
122	1	1	***
123	1	1	***
124	1	1	***
125	0	4	
126	0	8	
127	0	4	
128	0	5	
129	4	4	************
130	3	10	*********
131	0	8	
132	1	1	***
133	1	1	***
134	1	1	***
135	0	9	
136	0	1	
137	0	0	
138	0	0	
139	1	2	***
140	0	1	
141	0	4	
142	0	1	
143	0	2	
144	0	2	
145	0	5	
146	0	1	
147	0	0	
148	0	0	
149	0	0	
150	0	0	
151	0	0	
152	0	0	
153	0	0	
154	0	0	
155	0	0	
156	0	0	
157	1	1	***
158	0	0	
159	1	1	***
160	0	0	
161	0	0	
162	0	0	
163	0	2	
164	0	1	
165	0	0	
166	0	0	
167	0	4	
168	0	1	
169	0	1	
170	0	0	
171	0	3	
172	0	2	
173	0	1	
174	0	0	
175	0	0	
176	0	2	
177	0	0	
178	0	4	
179	0	0	
180	1	9	***
181	1	1	***
182	0	0	
183	0	0	
184	0	0	
185	0	0	
186	1	1	***
187	1	1	***
188	0	0	
189	2	2	******
190	1	1	***
191	1	1	***
192	1	1	***
193	0	0	
194	1	1	***
195	3	9	*********
196	0	1	
197	3	3	*********
198	0	0	
199	0	0	
200	1	1	***
201	1	1	***
202	0	1	
203	0	1	
204	0	3	
205	0	5	
206	0	6	
207	0	0	
208	1	1	***
209	1	1	***
210	1	1	***
211	0	0	
212	1	1	***
213	0	1	
214	1	2	***
215	0	0	
216	1	1	***
217	0	1	
218	1	9	***
219	0	13	
220	0	10	
221	3	12	*********
222	1	1	***
223	1	10	***
224	1	1	***
225	1	1	***
226	0	1	
227	0	0	
228	1	1	***
229	0	1	
230	1	10	***
231	0	0	
232	1	1	***
233	1	1	***
234	0	1	
235	0	1	
236	0	1	
237	1	1	***
238	1	1	***
239	0	1	
240	0	0	
241	0	0	
242	0	2	
243	0	1	
244	1	2	***
245	0	1	
246	0	0	
247	1	1	***
248	0	0	
249	0	1	
250	0	1	
251	0	0	
252	0	0	
253	0	0	
254	0	1	
255	0	2	
256	1	1	***
257	0	2	
258	0	3	
259	0	3	
260	0	1	
261	0	0	
262	1	1	***
263	0	2	
264	0	0	
265	0	0	
266	0	0	
267	0	0	
268	0	4	
269	0	0	
270	0	0	
271	0	1	
272	0	0	
273	0	1	
274	0	3	
275	1	1	***
276	0	0	
277	0	1	
278	1	1	***
279	0	1	
280	0	0	
281	0	0	
282	1	1	***
283	1	1	***
284	0	0	
285	1	1	***
286	0	0	
287	1	1	***
288	0	1	
289	1	1	***
290	1	3	***
291	1	1	***
292	1	1	***
293	0	0	
294	0	0	
295	0	0	
296	0	2	
297	1	1	***
298	0	1	
299	0	3	
300	1	1	***
301	0	1	
302	0	0	
303	0	2	
304	3	3	*********
305	0	1	
306	0	4	
307	0	6	
308	0	0	
309	1	1	***
310	1	1	***
311	1	1	***
312	1	1	***
313	1	4	***
314	0	0	
315	0	1	
316	0	0	
317	0	1	
318	0	1	
319	0	0	
320	0	1	
321	0	3	
322	0	0	
323	0	0	
324	0	3	
325	0	2	
326	0	1	
327	0	9	
328	1	1	***
329	0	0	
330	0	2	
331	0	1	
332	0	6	
333	1	1	***
334	1	1	***
335	0	11	
336	1	1	***
337	0	0	
338	0	0	
339	0	1	
340	1	1	***
341	0	1	
342	0	3	
343	0	0	
344	0	1	
345	0	2	
346	0	2	
347	0	3	
348	0	3	
349	1	3	***
350	1	1	***
351	0	4	
352	0	0	
353	0	0	
354	1	1	***
355	0	0	
356	0	3	
357	0	0	
358	1	1	***
359	5	5	***************
360	0	0	
361	1	1	***
362	0	1	
363	0	1	
364	1	1	***
365	0	1	
366	1	1	***
367	1	1	***
368	0	2	
369	0	3	
370	1	1	***
371	0	3	
372	0	6	
373	0	5	
374	0	6	
375	1	1	***
376	0	0	
377	0	0	
378	1	1	***
379	0	8	
380	0	1	
381	1	1	***
382	0	0	
383	1	1	***
384	0	0	
385	1	1	***
386	0	0	
387	1	1	***
388	0	1	
389	0	0	
390	0	1	
391	0	1	
392	0	0	
393	0	0	
394	0	0	
395	0	0	
396	0	0	
397	0	0	
398	0	0	
399	0	0	
400	0	0	
401	0	0	
402	0	0	
403	1	1	***
404	0	0	
405	0	1	
406	1	1	***
407	0	2	
408	1	1	***
409	0	1	
410	4	4	************
411	1	5	***
412	1	4	***
413	2	2	******
414	0	3	
415	0	3	
416	2	4	******
417	1	3	***
418	0	0	
419	0	2	
420	0	0	
421	0	0	
422	0	0	
423	0	2	
424	0	2	
425	0	1	
426	1	1	***
427	0	2	
428	1	3	***
429	0	1	
430	0	0	
431	0	5	
432	0	1	
433	0	0	
434	0	0	
435	0	1	
436	0	0	
437	0	0	
438	0	0	
439	0	1	
440	0	1	
441	0	1	
442	0	0	
443	0	0	
444	0	0	
445	0	0	
446	0	1	
447	0	0	
448	0	0	
449	0	1	
450	0	1	
451	0	1	
452	0	1	
453	0	1	
454	0	3	
455	0	1	
456	1	1	***
457	0	1	
458	0	0	
459	0	0	
460	0	1	
461	1	1	***
462	3	3	*********
463	0	1	
464	0	2	
465	1	7	***
466	1	5	***
467	0	0	
468	0	2	
469	0	6	
470	0	4	
471	1	7	***
472	0	7	
473	0	1	
474	0	0	
475	1	1	***
476	0	2	
477	1	1	***
478	0	0	
479	0	0	
480	1	1	***
481	1	3	***
482	0	1	
483	0	0	
484	0	0	
485	0	1	
486	0	1	
487	0	0	
488	1	1	***
489	0	0	
490	0	0	
491	1	1	***
492	0	0	
493	0	0	
494	1	1	***
495	0	1	
496	1	1	***
497	0	0	
498	0	0	
499	0	2	
500	1	9	***
501	0	1	
502	0	1	
503	0	1	
504	0	4	
505	0	2	
506	0	1	
507	0	2	
508	0	0	
509	0	0	
510	0	0	
511	0	1	
512	0	1	
513	0	3	
514	0	1	
515	1	1	***
516	1	11	***
517	0	0	
518	0	0	
519	0	0	
520	0	0	
521	0	1	
522	0	10	
523	0	12	
524	0	1	
525	0	0	
526	1	10	***
527	0	1	
528	0	6	
529	0	0	
530	0	0	
531	0	0	
532	0	0	
533	0	2	
534	0	7	
535	0	0	
536	1	1	***
537	0	3	
538	0	0	
539	0	1	
540	0	4	
541	0	2	
542	0	2	
543	0	0	
544	0	0	
545	0	0	
546	2	2	******
547	0	1	
548	1	1	***
549	1	1	***
550	0	0	
551	0	1	
552	1	1	***
553	0	1	
554	1	1	***
555	0	0	
556	1	1	***
557	0	1	
558	0	0	
559	0	1	
560	0	2	
561	1	1	***
562	0	2	
563	0	0	
564	0	1	
565	0	1	
566	0	1	
567	0	0	
568	0	0	
569	0	0	
570	0	0	
571	0	0	
572	0	1	
573	0	4	
574	1	1	***
575	1	1	***
576	0	1	
577	1	1	***
578	0	1	
579	0	0	
580	0	0	
581	1	1	***
582	0	1	
583	0	1	
584	1	1	***
585	0	1	
586	0	0	
587	0	1	
588	0	0	
589	0	0	
590	0	0	
591	0	0	
592	0	0	
593	0	0	
594	0	0	
595	0	0	
596	1	1	***
597	1	1	***
598	0	1	
599	1	1	***
600	0	1	
601	0	0	
602	0	0	
603	0	0	
604	2	2	******
605	0	0	
606	1	1	***
607	3	3	*********
608	1	1	***
609	1	1	***
610	0	0	
611	0	0	
612	1	1	***
613	0	1	
614	0	1	
615	0	3	
616	0	1	
617	0	7	
618	0	1	
619	0	3	
620	0	3	
621	0	2	
622	0	1	
623	0	0	
624	0	0	
625	3	4	*********
626	1	1	***
627	3	3	*********
628	0	2	
629	0	2	
630	0	0	
631	0	0	
632	0	0	
633	0	0	
634	1	1	***
635	1	1	***
636	0	3	
637	3	3	*********
638	1	1	***
639	0	1	
640	1	4	***
641	1	4	***
642	0	2	
643	1	2	***
644	0	1	
645	1	1	***
646	0	1	
647	0	1	
648	0	4	
649	0	1	
650	0	0	
651	0	3	
652	1	1	***
653	1	1	***
654	1	1	***
655	0	6	
656	0	0	
657	0	0	
658	0	1	
659	0	0	
660	0	0	
661	0	2	
662	0	0	
663	0	0	
664	0	0	
665	0	0	
666	0	0	
667	0	1	
668	0	1	
669	0	1	
670	0	0	
671	0	3	
672	2	5	******
673	0	0	
674	1	3	***
675	1	3	***
676	0	1	
677	0	2	
678	0	1	
679	0	1	
680	0	0	
681	2	4	******
682	0	2	
683	0	1	
684	0	1	
685	0	0	
686	0	1	
687	1	1	***
688	0	0	
689	0	0	
690	0	0	
691	0	0	
692	0	0	
693	0	1	
694	0	1	
695	0	1	
696	0	1	
697	0	1	
698	1	1	***
699	1	1	***
700	1	1	***
701	0	0	
702	1	1	***
703	0	1	
704	0	4	
705	1	4	***
706	0	3	
707	1	1	***
708	1	2	***
709	0	2	
710	3	4	*********
711	0	0	
712	1	1	***
713	0	1	
714	0	1	
715	0	1	
716	0	1	
717	0	1	
718	1	1	***
719	1	1	***
720	0	1	
721	0	0	
722	0	0	
723	0	0	
724	0	0	
725	0	0	
726	0	0	
727	0	0	
728	0	0	
729	0	0	
730	0	0	
731	0	0	
732	0	1	
733	0	0	
734	0	0	
735	0	0	
736	0	0	
737	0	0	
738	0	0	
739	0	0	
740	0	0	
741	0	0	
742	0	0	
743	0	0	
744	0	0	
745	0	0	
746	0	0	
747	0	0	
748	0	0	
749	0	0	
750	0	0	
751	0	0	
752	0	0	
753	0	0	
754	0	0	
755	0	0	
756	0	0	
757	0	0	
758	1	1	***
759	0	6	
760	0	0	
761	0	0	
762	1	2	***
763	0	0	
764	0	1	
765	0	0	
766	1	1	***
767	0	5	
768	0	1	
769	0	0	
770	0	0	
771	0	0	
772	0	2	
773	0	2	
774	0	1	
775	0	0	
776	0	0	
777	0	1	
778	0	0	
779	0	0	
780	0	0	
781	0	6	
782	0	0	
783	1	7	***
784	0	0	
785	2	2	******
786	0	0	
787	0	1	
788	0	0	
789	0	0	
790	0	3	
791	0	0	
792	0	0	
793	0	0	
794	0	0	
795	1	1	***
796	1	1	***
797	1	1	***
798	0	1	
799	0	2	
800	0	1	
801	0	1	
802	0	2	
803	0	0	
804	0	0	
805	0	0	
806	0	0	
807	0	0	
808	0	0	
809	0	1	
810	0	1	
811	0	1	
812	0	3	
813	1	6	***
814	0	4	
815	1	1	***
816	0	2	
817	0	0	
818	0	0	
819	0	0	
820	0	0	
821	0	0	
822	0	0	
823	1	1	***
824	0	2	
