A1BG-AS1	ENSG00000268895.5
A1BG	ENSG00000121410.11
A1CF	ENSG00000148584.15
A2M	ENSG00000175899.14
A2MP1	ENSG00000256069.7
AAAS	ENSG00000094914.13
AACS	ENSG00000081760.17
AACSP1	ENSG00000250420.8
AADACL2-AS1	ENSG00000242908.6
AADACL2	ENSG00000197953.5
AADACL3	ENSG00000188984.12
AADACP1	ENSG00000240602.7
AADAT	ENSG00000109576.14
AAK1	ENSG00000115977.19
AAMDC	ENSG00000087884.14
AAMP	ENSG00000127837.9
AANAT	ENSG00000129673.9
AARSD1	ENSG00000266967.7
AARS	ENSG00000090861.15
AASDH	ENSG00000157426.14
AASDHPPT	ENSG00000149313.11
AASS	ENSG00000008311.15
AATBC	ENSG00000215458.8
AATF	ENSG00000275700.5
AATK	ENSG00000181409.13
ABAT	ENSG00000183044.12
ABCA10	ENSG00000154263.17
ABCA11P	ENSG00000251595.7
ABCA13	ENSG00000179869.15
ABCA17P	ENSG00000238098.9
ABCA1	ENSG00000165029.16
ABCA2	ENSG00000107331.17
ABCA3	ENSG00000167972.14
ABCA4	ENSG00000198691.13
ABCA5	ENSG00000154265.16
ABCA7	ENSG00000064687.12
ABCA8	ENSG00000141338.14
ABCA9-AS1	ENSG00000231749.3
ABCA9	ENSG00000154258.17
ABCB11	ENSG00000073734.9
ABCB1	ENSG00000085563.14
ABCB4	ENSG00000005471.17
ABCB6	ENSG00000115657.14
ABCB7	ENSG00000131269.17
ABCB8	ENSG00000197150.12
ABCB9	ENSG00000150967.18
ABCC10	ENSG00000124574.15
ABCC11	ENSG00000121270.15
ABCC12	ENSG00000140798.16
ABCC13	ENSG00000243064.8
ABCC1	ENSG00000103222.19
ABCC2	ENSG00000023839.11
ABCC3	ENSG00000108846.16
ABCC4	ENSG00000125257.15
ABCC5	ENSG00000114770.17
ABCC6	ENSG00000091262.15
ABCC6P1	ENSG00000256340.8
ABCC8	ENSG00000006071.13
ABCC9	ENSG00000069431.11
ABCD3	ENSG00000117528.13
ABCD4	ENSG00000119688.21
ABCE1	ENSG00000164163.11
ABCF1	ENSG00000204574.13
ABCF3	ENSG00000161204.11
ABCG1	ENSG00000160179.18
ABCG2	ENSG00000118777.12
ABCG4	ENSG00000172350.10
ABCG5	ENSG00000138075.12
ABHD10	ENSG00000144827.9
ABHD11	ENSG00000106077.18
ABHD12B	ENSG00000131969.15
ABHD12	ENSG00000100997.19
ABHD14A-ACY1	ENSG00000114786.16
ABHD14B	ENSG00000114779.19
ABHD16A	ENSG00000204427.12
ABHD17A	ENSG00000129968.15
ABHD18	ENSG00000164074.15
ABHD1	ENSG00000143994.14
ABHD2	ENSG00000140526.18
ABHD3	ENSG00000158201.10
ABHD4	ENSG00000100439.10
ABHD5	ENSG00000011198.9
ABHD6	ENSG00000163686.14
ABHD8	ENSG00000127220.6
ABI1	ENSG00000136754.17
ABI2	ENSG00000138443.16
ABI3BP	ENSG00000154175.17
ABI3	ENSG00000108798.9
ABL2	ENSG00000143322.20
ABLIM1	ENSG00000099204.20
ABLIM2	ENSG00000163995.20
ABLIM3	ENSG00000173210.19
ABO	ENSG00000175164.15
ABRAXAS1	ENSG00000163322.14
ABR	ENSG00000159842.15
ABTB1	ENSG00000114626.18
AC002070.1	ENSG00000248636.6
AC002310.2	ENSG00000239791.1
AC002351.1	ENSG00000258240.5
AC002454.1	ENSG00000237819.5
AC002985.1	ENSG00000268193.5
AC003005.1	ENSG00000268107.6
AC003665.1	ENSG00000006025.12
AC003991.1	ENSG00000228113.7
AC004076.1	ENSG00000268163.1
AC004130.1	ENSG00000271133.5
AC004160.1	ENSG00000230333.6
AC004223.3	ENSG00000267618.5
AC004241.1	ENSG00000257433.5
AC004448.2	ENSG00000235979.8
AC004475.1	ENSG00000105705.16
AC004540.1	ENSG00000214870.8
AC004594.1	ENSG00000240499.7
AC004830.1	ENSG00000228204.2
AC004832.1	ENSG00000181123.8
AC004832.3	ENSG00000249590.7
AC004834.1	ENSG00000284523.1
AC004862.1	ENSG00000232667.10
AC004889.1	ENSG00000244198.6
AC004890.2	ENSG00000244560.7
AC004917.1	ENSG00000243797.6
AC004922.1	ENSG00000284292.1
AC004947.1	ENSG00000233760.1
AC004990.1	ENSG00000232756.1
AC004997.1	ENSG00000248751.6
AC005050.1	ENSG00000267052.2
AC005062.1	ENSG00000243004.5
AC005083.1	ENSG00000233834.6
AC005162.3	ENSG00000272568.5
AC005176.1	ENSG00000268153.5
AC005232.1	ENSG00000285412.1
AC005280.3	ENSG00000285006.1
AC005323.1	ENSG00000214970.8
AC005323.2	ENSG00000272736.5
AC005324.4	ENSG00000255104.8
AC005381.1	ENSG00000267243.6
AC005515.1	ENSG00000226025.9
AC005537.1	ENSG00000232006.8
AC005562.1	ENSG00000214719.12
AC005699.1	ENSG00000249631.5
AC005821.1	ENSG00000265702.1
AC005833.1	ENSG00000255639.3
AC005865.2	ENSG00000250770.3
AC005906.2	ENSG00000256654.3
AC005972.3	ENSG00000283538.2
AC006001.2	ENSG00000226824.6
AC006001.3	ENSG00000229180.7
AC006059.2	ENSG00000280571.2
AC006064.6	ENSG00000285238.2
AC006115.2	ENSG00000286125.1
AC006145.1	ENSG00000223770.5
AC006148.1	ENSG00000242593.6
AC006160.1	ENSG00000249502.2
AC006213.1	ENSG00000159905.14
AC006254.1	ENSG00000243696.5
AC006262.1	ENSG00000268460.1
AC006305.1	ENSG00000206129.4
AC006453.2	ENSG00000283196.2
AC006460.2	ENSG00000284052.1
AC006504.5	ENSG00000267575.6
AC006547.1	ENSG00000236540.7
AC007098.1	ENSG00000231609.6
AC007255.1	ENSG00000223813.2
AC007285.1	ENSG00000227014.6
AC007362.1	ENSG00000225216.6
AC007368.1	ENSG00000255595.4
AC007614.1	ENSG00000279249.2
AC007743.1	ENSG00000233251.7
AC007786.1	ENSG00000267498.1
AC007950.1	ENSG00000140455.17
AC007952.3	ENSG00000230197.6
AC007952.8	ENSG00000266311.6
AC007998.3	ENSG00000267583.5
AC008040.1	ENSG00000239219.2
AC008067.1	ENSG00000237031.7
AC008105.3	ENSG00000267121.5
AC008132.1	ENSG00000161103.11
AC008163.1	ENSG00000233491.8
AC008164.1	ENSG00000223536.5
AC008403.1	ENSG00000142235.9
AC008429.1	ENSG00000204758.7
AC008554.1	ENSG00000237440.9
AC008591.1	ENSG00000251680.5
AC008691.1	ENSG00000249738.10
AC008736.1	ENSG00000173809.18
AC008750.3	ENSG00000267905.5
AC008755.1	ENSG00000130749.10
AC008764.4	ENSG00000268790.5
AC008770.2	ENSG00000267179.1
AC008878.1	ENSG00000267952.1
AC008915.2	ENSG00000260136.5
AC008966.1	ENSG00000247796.2
AC008969.1	ENSG00000176593.7
AC009022.1	ENSG00000196696.12
AC009041.2	ENSG00000260807.6
AC009053.1	ENSG00000214331.8
AC009065.4	ENSG00000260778.5
AC009070.1	ENSG00000286221.1
AC009119.2	ENSG00000260300.5
AC009123.1	ENSG00000250685.7
AC009126.1	ENSG00000247121.6
AC009163.4	ENSG00000261717.5
AC009226.1	ENSG00000223725.6
AC009228.1	ENSG00000242628.5
AC009299.3	ENSG00000235724.9
AC009403.2	ENSG00000283128.1
AC009509.1	ENSG00000256377.5
AC009652.1	ENSG00000255160.5
AC009879.3	ENSG00000285791.1
AC009950.1	ENSG00000225963.7
AC009975.2	ENSG00000282998.1
AC010148.1	ENSG00000235726.6
AC010149.1	ENSG00000235419.5
AC010186.2	ENSG00000256594.8
AC010197.2	ENSG00000285854.1
AC010198.2	ENSG00000285517.1
AC010203.1	ENSG00000257489.6
AC010226.1	ENSG00000249249.1
AC010330.1	ENSG00000169393.9
AC010522.1	ENSG00000268750.6
AC010531.4	ENSG00000261697.5
AC010547.4	ENSG00000261611.6
AC010618.1	ENSG00000130313.7
AC010761.1	ENSG00000160602.14
AC010967.1	ENSG00000228033.5
AC010976.1	ENSG00000231731.7
AC010978.1	ENSG00000235522.6
AC010997.3	ENSG00000270087.5
AC011139.1	ENSG00000283458.1
AC011287.1	ENSG00000229618.2
AC011389.1	ENSG00000248222.5
AC011416.3	ENSG00000283897.1
AC011462.1	ENSG00000105329.9
AC011466.3	ENSG00000269534.5
AC011479.1	ENSG00000267748.4
AC011481.1	ENSG00000130204.13
AC011529.1	ENSG00000065989.16
AC011530.1	ENSG00000268434.5
AC011767.1	ENSG00000259425.5
AC011897.1	ENSG00000228505.5
AC011899.2	ENSG00000233038.6
AC012358.3	ENSG00000240401.8
AC012368.1	ENSG00000225889.7
AC012409.1	ENSG00000259359.1
AC012499.1	ENSG00000229941.5
AC012506.4	ENSG00000235497.5
AC012593.1	ENSG00000226994.7
AC012615.6	ENSG00000267244.5
AC012617.1	ENSG00000267053.6
AC012618.3	ENSG00000234773.7
AC012645.3	ENSG00000261416.1
AC012651.1	ENSG00000258461.5
AC013268.1	ENSG00000186148.13
AC013460.1	ENSG00000229727.6
AC013470.2	ENSG00000226690.8
AC013489.1	ENSG00000173867.10
AC013644.1	ENSG00000253139.1
AC013652.1	ENSG00000259345.6
AC015468.1	ENSG00000253147.5
AC015574.1	ENSG00000275016.4
AC015712.1	ENSG00000232386.9
AC015712.2	ENSG00000259583.2
AC015712.4	ENSG00000259604.5
AC015802.4	ENSG00000267546.2
AC015845.2	ENSG00000265542.5
AC015871.5	ENSG00000279719.1
AC015909.1	ENSG00000249406.2
AC015971.1	ENSG00000228363.2
AC016582.3	ENSG00000267640.6
AC016590.1	ENSG00000267605.6
AC016629.3	ENSG00000286104.1
AC016687.2	ENSG00000250723.6
AC016723.1	ENSG00000235335.2
AC016738.2	ENSG00000230140.6
AC016747.1	ENSG00000212978.6
AC016831.7	ENSG00000285106.1
AC017002.6	ENSG00000285016.1
AC018462.1	ENSG00000229839.6
AC018464.1	ENSG00000234520.5
AC018467.1	ENSG00000232451.1
AC018521.5	ENSG00000264920.1
AC018630.2	ENSG00000275778.2
AC018647.1	ENSG00000227544.9
AC018816.1	ENSG00000235978.6
AC019080.1	ENSG00000213963.6
AC019117.1	ENSG00000236039.2
AC019197.1	ENSG00000236283.4
AC019257.1	ENSG00000253764.2
AC019257.8	ENSG00000283239.1
AC020636.2	ENSG00000260234.5
AC020637.1	ENSG00000258231.5
AC020915.5	ENSG00000283515.1
AC020928.1	ENSG00000267254.6
AC021086.1	ENSG00000247877.6
AC021504.1	ENSG00000267313.7
AC022007.1	ENSG00000206567.9
AC022101.1	ENSG00000250328.5
AC022137.3	ENSG00000286261.1
AC022154.1	ENSG00000268093.1
AC022335.1	ENSG00000257062.6
AC022384.1	ENSG00000272410.5
AC022395.1	ENSG00000231104.8
AC022540.1	ENSG00000232342.7
AC022784.1	ENSG00000248538.7
AC022784.5	ENSG00000254340.1
AC023055.1	ENSG00000257390.5
AC023403.1	ENSG00000253164.5
AC023590.1	ENSG00000225885.7
AC024337.1	ENSG00000259702.3
AC024559.2	ENSG00000276407.4
AC024587.2	ENSG00000249959.5
AC024592.3	ENSG00000267740.5
AC024940.2	ENSG00000177359.20
AC025048.2	ENSG00000267248.2
AC025154.2	ENSG00000257588.1
AC025159.1	ENSG00000257815.5
AC025165.3	ENSG00000257921.6
AC025171.1	ENSG00000177738.3
AC025171.2	ENSG00000215068.7
AC025180.1	ENSG00000249899.5
AC025419.1	ENSG00000250748.6
AC025524.2	ENSG00000254119.5
AC025569.1	ENSG00000258168.5
AC025682.1	ENSG00000263766.5
AC026191.1	ENSG00000254485.5
AC026273.1	ENSG00000286156.1
AC026369.1	ENSG00000249695.6
AC026412.1	ENSG00000188002.10
AC026464.1	ENSG00000259900.5
AC026470.1	ENSG00000102921.8
AC026954.2	ENSG00000261915.6
AC027020.1	ENSG00000259540.1
AC027097.2	ENSG00000267787.6
AC027808.2	ENSG00000259649.4
AC034238.1	ENSG00000240535.8
AC037441.1	ENSG00000248738.6
AC037459.1	ENSG00000248235.6
AC040162.1	ENSG00000261884.2
AC044810.2	ENSG00000254951.7
AC044839.2	ENSG00000254519.4
AC044860.1	ENSG00000229212.8
AC051619.5	ENSG00000259520.5
AC055758.2	ENSG00000244358.1
AC060780.1	ENSG00000267002.3
AC062028.1	ENSG00000145063.14
AC062037.3	ENSG00000286011.1
AC063944.1	ENSG00000239828.6
AC063979.2	ENSG00000251613.3
AC064807.1	ENSG00000228801.5
AC064875.1	ENSG00000225649.5
AC066612.1	ENSG00000259235.1
AC066613.1	ENSG00000259668.5
AC067752.1	ENSG00000285551.1
AC068152.1	ENSG00000262879.5
AC068481.1	ENSG00000223884.6
AC068547.1	ENSG00000283228.1
AC068580.4	ENSG00000250644.3
AC068587.4	ENSG00000283674.2
AC068620.3	ENSG00000283156.1
AC068631.1	ENSG00000197099.8
AC068831.7	ENSG00000284946.1
AC068888.1	ENSG00000257337.6
AC068946.1	ENSG00000280537.2
AC069120.1	ENSG00000253361.2
AC072062.1	ENSG00000227769.7
AC073111.5	ENSG00000284691.1
AC073172.1	ENSG00000254789.2
AC073254.1	ENSG00000237126.8
AC073264.3	ENSG00000283537.2
AC073316.1	ENSG00000217455.8
AC073320.1	ENSG00000244036.3
AC073332.1	ENSG00000237773.6
AC073365.1	ENSG00000223812.7
AC073585.1	ENSG00000255624.3
AC073611.1	ENSG00000170374.6
AC073869.1	ENSG00000152117.17
AC073878.1	ENSG00000261570.1
AC074143.1	ENSG00000140939.14
AC074143.2	ENSG00000265690.7
AC074366.1	ENSG00000232518.3
AC078785.1	ENSG00000240057.5
AC078845.1	ENSG00000232053.6
AC078950.1	ENSG00000255790.5
AC079209.1	ENSG00000253214.1
AC079385.1	ENSG00000257545.5
AC079466.1	ENSG00000266976.2
AC079760.2	ENSG00000243144.6
AC079779.3	ENSG00000235779.7
AC079781.5	ENSG00000284707.1
AC079793.1	ENSG00000228655.7
AC080013.1	ENSG00000240207.6
AC080038.1	ENSG00000011028.14
AC080162.1	ENSG00000239300.5
AC084116.1	ENSG00000253220.2
AC084337.2	ENSG00000283977.1
AC084759.2	ENSG00000259669.5
AC084816.1	ENSG00000256995.7
AC084879.1	ENSG00000257943.2
AC087289.4	ENSG00000267426.5
AC087392.3	ENSG00000262228.2
AC087477.2	ENSG00000259275.3
AC087482.1	ENSG00000259347.6
AC087499.2	ENSG00000226521.7
AC087500.1	ENSG00000261879.6
AC087632.1	ENSG00000259316.11
AC087633.2	ENSG00000277654.6
AC087651.1	ENSG00000172782.11
AC087741.1	ENSG00000262580.5
AC087752.3	ENSG00000253878.5
AC090403.1	ENSG00000264151.5
AC090409.2	ENSG00000267316.5
AC090517.5	ENSG00000285331.2
AC090559.1	ENSG00000255197.5
AC090627.1	ENSG00000235300.4
AC090679.1	ENSG00000257729.2
AC091057.1	ENSG00000187951.11
AC091078.1	ENSG00000257060.6
AC091167.7	ENSG00000284626.1
AC091551.1	ENSG00000267699.2
AC091729.3	ENSG00000229043.2
AC091951.3	ENSG00000251250.3
AC092070.2	ENSG00000269001.2
AC092072.1	ENSG00000178386.13
AC092162.2	ENSG00000230552.5
AC092279.1	ENSG00000268362.5
AC092329.4	ENSG00000284428.1
AC092338.1	ENSG00000140743.8
AC092378.1	ENSG00000245768.6
AC092447.7	ENSG00000237268.2
AC092490.1	ENSG00000249790.2
AC092506.1	ENSG00000215869.4
AC092650.1	ENSG00000230773.8
AC092675.1	ENSG00000222000.7
AC092683.1	ENSG00000230606.10
AC092718.3	ENSG00000260643.2
AC092720.1	ENSG00000260750.5
AC092802.2	ENSG00000228852.6
AC092807.3	ENSG00000282057.1
AC092821.1	ENSG00000214776.12
AC092821.3	ENSG00000284634.1
AC093151.3	ENSG00000235358.1
AC093157.1	ENSG00000233184.6
AC093227.2	ENSG00000267552.6
AC093425.1	ENSG00000224609.7
AC093495.1	ENSG00000228242.6
AC093512.2	ENSG00000285043.1
AC093627.4	ENSG00000240859.2
AC093752.1	ENSG00000245958.6
AC093827.5	ENSG00000285458.1
AC095032.1	ENSG00000224613.6
AC096531.2	ENSG00000237413.5
AC096564.1	ENSG00000245293.2
AC096570.1	ENSG00000228999.3
AC096577.1	ENSG00000248373.5
AC096887.1	ENSG00000272305.5
AC097059.1	ENSG00000226835.2
AC097103.2	ENSG00000248932.5
