Gene	uprot.id	gene.id	S	R	omim
AAR2	Q9Y312	25980	T	F	n/a
ALYREF	Q86V81	10189	T	F	n/a
AQR	O60306	9716	T	F	n/a
BCAS2	O75934	10286	T	F	n/a
BUD13	Q9BRD0	84811	T	F	n/a
BUD31	P41223	8896	T	F	n/a
C1QBP	Q07021	708	F	T	617713
C9orf78	Q9NZ63	51759	F	T	n/a
CACTIN	Q8WUQ7	58509	T	F	n/a
CASC3	O15234	22794	T	F	n/a
CCAR1	Q8IX12	55749	T	F	n/a
CD2BP2	O95400	10421	T	F	n/a
CDC40	O60508	51362	T	F	n/a
CDC5L	Q99459	988	T	F	n/a
CDK13	Q14004	8621	T	F	617360
CELF1	Q92879	10658	T	T	n/a
CELF2	O95319	10659	T	T	n/a
CELF3	Q5SZQ8	11189	T	T	n/a
CELF4	Q9BZC1	56853	T	T	n/a
CELF5	Q8N6W0	60680	T	T	n/a
CELF6	Q96J87	60677	T	T	n/a
CHERP	Q8IWX8	10523	T	F	n/a
CIRBP	Q14011	1153	F	T	n/a
CLNS1A	P54105	1207	T	F	n/a
CLP1	Q92989	10978	T	F	615803
COIL	P38432	8161	T	F	n/a
CPSF1	Q10570	29894	T	F	618827
CPSF2	Q9P2I0	53981	T	F	n/a
CPSF3	Q9UKF6	51692	T	F	n/a
CPSF4	O95639	10898	T	F	n/a
CPSF7	Q8N684	79869	T	F	n/a
CRNKL1	Q9BZJ0	51340	T	F	n/a
CSTF1	Q05048	1477	T	F	n/a
CSTF2	P33240	1478	T	F	n/a
CSTF2T	Q9H0L4	23283	T	F	n/a
CSTF3	Q12996	1479	T	F	n/a
CTNNBL1	Q8WYA6	56259	T	F	n/a
CWC15	Q9P013	51503	T	F	n/a
CWC22	Q9HCG8	57703	T	T	n/a
CWC25	Q9NXE8	54883	T	F	n/a
CWC27	Q6UX04	10283	T	F	250410
CWF19L1	Q69YN2	55280	T	F	616127
CWF19L2	Q2TBE0	143884	T	F	n/a
DAZAP1	Q96EP5	26528	F	T	n/a
DBR1	Q9UK59	51163	T	F	n/a
DCPS	Q96C86	28960	T	F	616459
DDX1	Q92499	1653	T	F	n/a
DDX17	Q92841	10521	T	T	n/a
DDX20	Q9UHI6	11218	T	F	n/a
DDX23	Q9BUQ8	9416	T	F	n/a
DDX39A	O00148	10212	T	F	n/a
DDX39B	Q13838	7919	T	F	n/a
DDX41	Q9UJV9	51428	T	F	616871
DDX42	Q86XP3	11325	T	F	n/a
DDX46	Q7L014	9879	T	F	n/a
DDX5	P17844	1655	T	T	n/a
DHX15	O43143	1665	T	F	n/a
DHX16	O60231	8449	T	F	618733
DHX35	Q9H5Z1	60625	T	F	n/a
DHX38	Q92620	9785	T	F	618220
DHX40	Q8IX18	79665	T	F	n/a
DHX8	Q14562	1659	T	F	n/a
DHX9	Q08211	1660	T	F	n/a
DNAJC8	O75937	22826	T	F	n/a
DYRK1A	Q13627	1859	F	T	614104
EFTUD2	Q15029	9343	T	F	610536
