Run	Bases	biospecimen_repository_sample_id	body_site	LibraryLayout
SRR1331267	7244561680	GTEX-ZPIC-1126-SM-5BC7F	Breast - Mammary Tissue	phs000424
SRR1336181	9574376184	GTEX-131XW-0726-SM-5EGK3	Breast - Mammary Tissue	phs000424
SRR1314092	5743920552	GTEX-13NZ8-0126-SM-5IJCT	Breast - Mammary Tissue	phs000424
SRR1318774	5744268328	GTEX-14AS3-1626-SM-5S2OY	Breast - Mammary Tissue	phs000424
SRR1327896	6507701248	GTEX-133LE-1726-SM-5K7VQ	Breast - Mammary Tissue	phs000424
SRR1328577	4890813560	GTEX-ZF29-1926-SM-5S2P1	Breast - Mammary Tissue	phs000424
SRR1378903	7742473248	GTEX-1399U-1826-SM-5PNZ1	Breast - Mammary Tissue	phs000424
SRR1378948	6360607808	GTEX-ZVT4-1026-SM-57WC4	Breast - Mammary Tissue	phs000424
SRR1380460	6895967920	GTEX-11P81-1926-SM-5BC53	Breast - Mammary Tissue	phs000424
SRR1381799	5616261072	GTEX-ZAJG-0626-SM-5HL8X	Breast - Mammary Tissue	phs000424
SRR813868	10679653912	GTEX-WRHU-0326-SM-3MJFY	Breast - Mammary Tissue	phs000424
SRR815208	9245721784	GTEX-WYVS-1726-SM-3NMAY	Breast - Mammary Tissue	phs000424
SRR658319	6298617496	GTEX-VJWN-0726-SM-3GIJ8	Breast - Mammary Tissue	phs000424
SRR658409	8167545504	GTEX-T6MO-0326-SM-32QOK	Breast - Mammary Tissue	phs000424
SRR660248	8029295120	GTEX-W5X1-2326-SM-3GIL6	Breast - Mammary Tissue	phs000424
SRR660283	8420750600	GTEX-T2IS-1526-SM-32QPR	Breast - Mammary Tissue	phs000424
SRR655447	15219841320	GTEX-TMMY-0726-SM-33HBE	Breast - Mammary Tissue	phs000424
SRR655852	6487429008	GTEX-UJHI-1426-SM-3DB9C	Breast - Mammary Tissue	phs000424
SRR656911	9217015368	GTEX-TML8-1226-SM-32QON	Breast - Mammary Tissue	phs000424
SRR1312822	5305564408	GTEX-11ZTT-2326-SM-5EQLG	Breast - Mammary Tissue	phs000424
SRR1386775	5552682816	GTEX-ZYWO-2326-SM-5GZY4	Breast - Mammary Tissue	phs000424
SRR1391511	6021215976	GTEX-13QIC-2326-SM-5LU5N	Breast - Mammary Tissue	phs000424
SRR1391575	6306614216	GTEX-13113-1726-SM-5GCOO	Breast - Mammary Tissue	phs000424
SRR1476950	5888108360	GTEX-132AR-0826-SM-5EGK6	Breast - Mammary Tissue	phs000424
SRR1481315	6686348520	GTEX-YB5K-1626-SM-5IFIN	Breast - Mammary Tissue	phs000424
SRR1455807	7733647976	GTEX-YFC4-1426-SM-5IFJG	Breast - Mammary Tissue	phs000424
SRR1458090	9035247536	GTEX-ZQG8-0726-SM-5P9H9	Breast - Mammary Tissue	phs000424
SRR1458335	7777775400	GTEX-XMD2-0926-SM-4WWEF	Breast - Mammary Tissue	phs000424
SRR1498416	5204096200	GTEX-ZVT2-1826-SM-5NQ8W	Breast - Mammary Tissue	phs000424
SRR1498997	7510938944	GTEX-1269C-2426-SM-5FQSN	Breast - Mammary Tissue	phs000424
SRR1500709	7255780192	GTEX-Y5V5-2126-SM-4WWFO	Breast - Mammary Tissue	phs000424
SRR1407648	6503164808	GTEX-ZLV1-1426-SM-4WWES	Breast - Mammary Tissue	phs000424
SRR1410765	7174532848	GTEX-13CF3-2126-SM-5IFJP	Breast - Mammary Tissue	phs000424
SRR1414661	6604166680	GTEX-Y3IK-2326-SM-4WWDT	Breast - Mammary Tissue	phs000424
SRR5125544	10072582784	GTEX-X4EP-2926-SM-3P5YQ	Breast - Mammary Tissue	phs000424
SRR5125545	10072582784	GTEX-X4EP-2926-SM-3P5YQ	Breast - Mammary Tissue	phs000424
SRR1341100	6938919320	GTEX-1122O-1226-SM-5H113	Breast - Mammary Tissue	phs000424
SRR1343818	8884004952	GTEX-ZZPU-0626-SM-5E43T	Breast - Mammary Tissue	phs000424
SRR1345953	6468733008	GTEX-RU1J-0626-SM-4WAWY	Breast - Mammary Tissue	phs000424
SRR1346861	5881810088	GTEX-131YS-0626-SM-5EGKL	Breast - Mammary Tissue	phs000424
SRR1353994	6352764608	GTEX-11EM3-1326-SM-5N9C6	Breast - Mammary Tissue	phs000424
