Run	Bases	biospecimen_repository_sample_id	body_site	submitted_subject_id
SRR1331267	7244561680	GTEX-ZPIC-1126-SM-5BC7F	Breast - Mammary Tissue	GTEX-ZPIC-1126-SM-5BC7F
SRR1336181	9574376184	GTEX-131XW-0726-SM-5EGK3	Breast - Mammary Tissue	GTEX-131XW-0726-SM-5EGK3
SRR1314092	5743920552	GTEX-13NZ8-0126-SM-5IJCT	Breast - Mammary Tissue	GTEX-13NZ8-0126-SM-5IJCT
SRR1318774	5744268328	GTEX-14AS3-1626-SM-5S2OY	Breast - Mammary Tissue	GTEX-14AS3-1626-SM-5S2OY
SRR1327896	6507701248	GTEX-133LE-1726-SM-5K7VQ	Breast - Mammary Tissue	GTEX-133LE-1726-SM-5K7VQ
SRR1328577	4890813560	GTEX-ZF29-1926-SM-5S2P1	Breast - Mammary Tissue	GTEX-ZF29-1926-SM-5S2P1
SRR1378903	7742473248	GTEX-1399U-1826-SM-5PNZ1	Breast - Mammary Tissue	GTEX-1399U-1826-SM-5PNZ1
SRR1378948	6360607808	GTEX-ZVT4-1026-SM-57WC4	Breast - Mammary Tissue	GTEX-ZVT4-1026-SM-57WC4
SRR1380460	6895967920	GTEX-11P81-1926-SM-5BC53	Breast - Mammary Tissue	GTEX-11P81-1926-SM-5BC53
SRR1381799	5616261072	GTEX-ZAJG-0626-SM-5HL8X	Breast - Mammary Tissue	GTEX-ZAJG-0626-SM-5HL8X
SRR813868	10679653912	GTEX-WRHU-0326-SM-3MJFY	Breast - Mammary Tissue	GTEX-WRHU-0326-SM-3MJFY
SRR815208	9245721784	GTEX-WYVS-1726-SM-3NMAY	Breast - Mammary Tissue	GTEX-WYVS-1726-SM-3NMAY
SRR658319	6298617496	GTEX-VJWN-0726-SM-3GIJ8	Breast - Mammary Tissue	GTEX-VJWN-0726-SM-3GIJ8
SRR658409	8167545504	GTEX-T6MO-0326-SM-32QOK	Breast - Mammary Tissue	GTEX-T6MO-0326-SM-32QOK
SRR660248	8029295120	GTEX-W5X1-2326-SM-3GIL6	Breast - Mammary Tissue	GTEX-W5X1-2326-SM-3GIL6
SRR660283	8420750600	GTEX-T2IS-1526-SM-32QPR	Breast - Mammary Tissue	GTEX-T2IS-1526-SM-32QPR
