Run	Bases	biospecimen_repository_sample_id	body_site	submitted_subject_id
SRR1334587	7111785424	GTEX-111YS-1926-SM-5GICC	Breast - Mammary Tissue	GTEX-111YS-1926-SM-5GICC
SRR1335212	6108434032	GTEX-145MN-1926-SM-5SIAI	Breast - Mammary Tissue	GTEX-145MN-1926-SM-5SIAI
SRR1335917	6971739312	GTEX-ZLFU-2126-SM-4WWEV	Breast - Mammary Tissue	GTEX-ZLFU-2126-SM-4WWEV
SRR1339236	6338802648	GTEX-1314G-1226-SM-5BC6D	Breast - Mammary Tissue	GTEX-1314G-1226-SM-5BC6D
SRR1339431	6611231032	GTEX-11TUW-1826-SM-5BC5D	Breast - Mammary Tissue	GTEX-11TUW-1826-SM-5BC5D
SRR1317282	6142618376	GTEX-11GSO-1926-SM-5A5K3	Breast - Mammary Tissue	GTEX-11GSO-1926-SM-5A5K3
SRR1322249	6458865320	GTEX-11EQ9-1826-SM-5Q5AJ	Breast - Mammary Tissue	GTEX-11EQ9-1826-SM-5Q5AJ
SRR1323829	5968517880	GTEX-11PRG-0826-SM-5EQ6A	Breast - Mammary Tissue	GTEX-11PRG-0826-SM-5EQ6A
SRR1324206	5611042608	GTEX-XQ8I-2426-SM-4WAXY	Breast - Mammary Tissue	GTEX-XQ8I-2426-SM-4WAXY
SRR1328941	4572866496	GTEX-13O3Q-2226-SM-5KM4O	Breast - Mammary Tissue	GTEX-13O3Q-2226-SM-5KM4O
SRR1368050	5331120624	GTEX-ZDTT-2126-SM-5S2OJ	Breast - Mammary Tissue	GTEX-ZDTT-2126-SM-5S2OJ
SRR1369088	5123709024	GTEX-139TU-0626-SM-5KM3X	Breast - Mammary Tissue	GTEX-139TU-0626-SM-5KM3X
SRR1369584	5191390216	GTEX-14ABY-2126-SM-5QGQZ	Breast - Mammary Tissue	GTEX-14ABY-2126-SM-5QGQZ
SRR1370308	6047835736	GTEX-12KS4-0126-SM-5Q5A5	Breast - Mammary Tissue	GTEX-12KS4-0126-SM-5Q5A5
SRR1378284	6795220192	GTEX-145MO-0826-SM-5NQBL	Breast - Mammary Tissue	GTEX-145MO-0826-SM-5NQBL
SRR811285	10768222792	GTEX-WYJK-1326-SM-3NB2T	Breast - Mammary Tissue	GTEX-WYJK-1326-SM-3NB2T
SRR812198	8766689376	GTEX-WY7C-2726-SM-3NB3P	Breast - Mammary Tissue	GTEX-WY7C-2726-SM-3NB3P
