tissue	FDR	term
1	Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)	9.51326491747154e-09	synapse part
2	Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)	9.51326491747154e-09	synapse
3	Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)	3.50916531764283e-08	neuron part
4	Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)	0.000225836566802192	postsynapse
5	Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)	0.000303525975251837	cell-cell signaling
6	Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)	0.000303525975251837	transporter complex
7	Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)	0.000341845102367476	plasma membrane part
8	Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)	0.000653089023564665	cell projection
9	Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)	0.00105817648500303	membrane part
10	Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)	0.00157843168219132	membrane
11	Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)	0.00188167879536519	cell projection part
12	Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)	0.00252745459925672	localization
13	Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)	0.00283187167533147	transmembrane transporter complex
14	Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)	0.00706586039321271	cell periphery
15	Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)	0.00809163620859476	transporter activity
16	Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)	0.00809163620859476	GABA receptor activity
17	Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)	0.0108098284721756	plasma membrane
18	Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)	0.0165365521588575	multicellular organismal process
19	Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)	0.0186019403921577	regulation of localization
20	Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)	0.0229432389082866	presynaptic process involved in chemical synaptic transmission
21	Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)	0.0229432389082866	vesicle membrane
22	Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)	0.0233805036440939	cell junction
23	Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)	0.0233805036440939	cell body
24	Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)	0.0233805036440939	system development
25	Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)	0.0358028710145297	neurotransmitter secretion
26	Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)	0.0464597381031817	gamma-aminobutyric acid signaling pathway
27	Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)	0.0486524931278596	intracellular vesicle
28	Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)	0.0486524931278596	regulation of biological quality
29	Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)	0.0486524931278596	postsynaptic specialization
30	Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)	0.0488165152566442	calmodulin binding
31	Skin - Sun Exposed (Lower leg).Skin - Not Sun Exposed (Suprapubic)	0.0183414759955773	extracellular region
32	Skin - Sun Exposed (Lower leg).Skin - Not Sun Exposed (Suprapubic)	0.0318955850387415	oxidation-reduction process
33	Thyroid	0.0068260098266903	immune system process
34	Thyroid	0.029832190613954	immune response
35	Thyroid	0.0383577150191137	cytokine production
36	Thyroid	0.0420891410548837	biological adhesion
37	Thyroid	0.0420891410548837	regulation of immune system process
38	Thyroid	0.0420891410548837	leukocyte differentiation
39	Thyroid	0.0423529846910573	cell division site
40	Thyroid	0.0423529846910573	defense response
41	Heart - Left Ventricle	1.95073239993443e-15	organelle
42	Heart - Left Ventricle	1.91098220820923e-14	intracellular part
43	Heart - Left Ventricle	2.01854135617088e-13	organelle part
44	Heart - Left Ventricle	6.78884446705371e-11	protein-containing complex
45	Heart - Left Ventricle	4.48184564398509e-10	RNA binding
46	Heart - Left Ventricle	1.56196162568613e-08	intracellular transport
47	Heart - Left Ventricle	1.56196162568613e-08	extracellular exosome
48	Heart - Left Ventricle	1.04636755183447e-07	intracellular
49	Heart - Left Ventricle	1.1817892060636e-07	cell part
50	Heart - Left Ventricle	2.79597365624933e-07	cell
51	Heart - Left Ventricle	2.84352322274334e-07	establishment of localization in cell
52	Heart - Left Ventricle	2.84352322274334e-07	cellular component organization or biogenesis
53	Heart - Left Ventricle	9.22012794595549e-07	cytosol
54	Heart - Left Ventricle	9.22012794595549e-07	cellular macromolecule catabolic process
55	Heart - Left Ventricle	1.13250206497126e-06	macromolecule catabolic process
56	Heart - Left Ventricle	1.90798108090593e-06	cellular catabolic process
57	Heart - Left Ventricle	9.20786339275188e-06	sarcolemma
58	Heart - Left Ventricle	1.03284661177962e-05	cytoplasmic part
59	Heart - Left Ventricle	2.68260646433558e-05	protein binding
