RBP	Total	Mean
ANKHD1	110	0.304591403185288
CNOT4	102	0.435250553445344
CPO	98	0.0959833443523531
DAZAP1	108	0.0324449618238988
ESRP2	160	-0.129219961490142
FMR1	114	0.220208864845779
FUS	96	-0.369625365637617
FXR1	90	-0.0922071629599241
FXR2	132	-0.00698103449264632
G3BP2	138	0.0311440326082532
HNRNPA1	110	0.0772739761056889
HNRNPA1L2	106	-0.0959525899119129
HNRNPA2B1	88	-0.0199395062928297
HNRNPC	178	-0.0577298621860237
HNRNPCL1	120	-0.0675511361342424
HNRNPH1	94	-0.0191448763592297
HNRNPH2	120	0.469296318855445
HNRNPK	116	-0.0155896486096273
HNRNPM	90	0.179704965861094
HNRNPU	110	0.402101608298645
IGF2BP2	122	0.0404412967349285
KHDRBS1	114	-0.0825774740502878
KHDRBS2	116	0.0887485720437586
KHDRBS3	112	-0.167807168334218
MATR3	146	-0.482420368728703
MBNL1	102	0.187299262798299
MSI1	116	-0.18824697059581
PABPC5	126	0.00298886313307556
PABPN1	128	0.249073722162228
PCBP1	124	-0.277000942621247
PCBP2	88	0.383457998152761
PPRC1	102	0.108104689150534
PTBP1	94	-0.112200956241874
PUM2	82	-0.185212256821463
QKI	94	-0.0710786385369334
RALY	112	-0.0879160419606433
RBFOX1	132	0.200092565959162
RBM24	96	-0.0699223189685631
RBM28	104	-0.171689323604529
RBM38	138	0.126063155214104
RBM4	112	-0.0103297663308961
RBM41	88	-0.208896838236993
RBM42	104	-0.0844071140824509
RBM46	142	0.393432563452994
RBM6	118	-0.171039124572418
RBM8A	116	0.318405950607518
RBMS1	110	0.341670731704014
RBMS3	110	-0.00259254878944825
RBP1	130	0.168302539776581
RSF1	82	-0.0462129554651856
SAMD4A	110	-0.130049031840021
SART3	102	0.184017761121424
SF1	90	-0.178751216555651
SFPQ	90	0.186566442429108
SNRNP70	84	-0.0242265159642718
SNRPA	84	-0.0898881913702776
SRP54	98	-0.158770068077699
SRSF1	114	0.0669890544203304
SRSF10	102	-0.127467125639528
SRSF2	90	0.0400066374916982
SRSF7	88	-0.190854302904544
SRSF9	92	-0.208574077485002
TIA1	90	-0.234226182951376
TUT1	86	0.119202678375456
U2AF2	140	0.199608666618304
YBX1	112	-0.163830632069071
YBX2	136	0.000716353684104179
ZCRB1	124	0.0344771611240255
ZNF638	256	0.558837606026821
