Tissue	Total	Label
Adipose - Subcutaneous	52	Adipose (S)
Adipose - Visceral (Omentum)	9	Adipose (V)
Adrenal Gland	147	Adrenal Glad
Artery - Aorta	31	Aorta
Artery - Coronary	6	Coronary Artery
Artery - Tibial	21	Tibial Artery
Bladder	0	Bladder
Brain - Amygdala.Brain - Hippocampus	3	Amygdala, Hippocampus
Brain - Caudate (basal ganglia).Brain - Nucleus accumbens (basal ganglia).Brain - Putamen (basal ganglia)	11	Basal Ganglia
Brain - Cerebellum.Brain - Cerebellar Hemisphere	18	Cerebellum
Brain - Cortex.Brain - Frontal Cortex (BA9).Brain - Anterior cingulate cortex (BA24)	377	Cortex
Brain - Hypothalamus	2	Hypothalamus
Brain - Spinal cord (cervical c-1)	3	Spinal cord
Brain - Substantia nigra	4	Substantia nigra
Breast - Mammary Tissue	2072	Breast
Cells - EBV-transformed lymphocytes	6	EBV lymphocytes
Cells - Transformed fibroblasts	30	Fibroblasts
Colon - Sigmoid	8	Sigmoid colon
Colon - Transverse	1	Transverse colon
Esophagus - Gastroesophageal Junction.Esophagus - Muscularis	16	Esophagus (GEJ/M)
Esophagus - Mucosa	8	Esophagus (M)
Heart - Atrial Appendage	5	Atrial Appendage
Heart - Left Ventricle	4168	Heart (LV)
Kidney - Cortex	0	Kidney Cortex
Liver	5	Liver
Lung	12	Lung
Minor Salivary Gland	1	Salivary Gland
Muscle - Skeletal	44	Muscle
Nerve - Tibial	9	Tibial Nerve
Pancreas	3	Pancreas
Pituitary	76	Pituitary
Skin - Sun Exposed (Lower leg).Skin - Not Sun Exposed (Suprapubic)	26	Skin
Small Intestine - Terminal Ileum	3	Small Intestine
Spleen	2	Spleen
Stomach	8	Stomach
Thyroid	31	Thyroid
Whole Blood	4	Whole Blood
