GeneSymbol	n	Tissues
1	KDM6A	41	22
2	DDX3X	35	10
3	ZFX	33	19
4	XIST	32	29
5	KDM5C	23	19
6	SORBS2	22	4
7	NDRG4	21	4
8	PUDP	19	14
9	ASAH1	19	1
10	JPX	16	9
11	MUC1	16	1
12	MDM2	16	1
13	ANK3	15	3
14	DDR1	15	2
15	ARIH2	14	3
16	DMKN	14	1
17	RAB17	12	2
18	CD44	12	2
19	CPAMD8	11	3
20	SPEG	11	3
21	UBE3A	11	2
22	NDRG2	11	2
23	SORBS1	11	2
24	TLE4	11	1
25	TBL1XR1	11	1
26	MLH1	11	1
27	PKD1	11	1
28	FGFR2	10	2
29	TMEM71	10	2
30	FGFR1	10	2
31	SELE	10	2
32	PLCXD1	9	6
33	DNM1L	9	2
34	RHOH	9	1
35	DTNB	9	1
36	ARFGAP2	9	2
37	HPS5	9	2
38	IDH3A	9	1
39	EIF1AX	8	8
40	DLG1	8	3
41	FAM49B	8	3
42	IFT122	8	2
43	MAP2K4	8	2
44	PLEKHB1	8	1
45	ST5	8	1
46	STXBP2	8	2
47	FER1L4	8	1
48	TMEM25	8	1
49	ETV1	8	2
50	NF2	8	2
51	PRKCZ	8	2
52	SMARCA2	8	2
53	MARS	8	1
54	MATR3	8	1
55	MED24	8	1
56	COL4A6	7	2
57	CES1	7	3
58	PDLIM3	7	3
59	NLRP2	7	4
60	DLG3	7	3
61	PRSS16	7	2
62	CDK18	7	1
63	EPN3	7	1
64	PSD4	7	2
65	RPS6KA1	7	1
66	CDH1	7	1
67	CTNND1	7	2
68	GRAMD3	7	2
69	GGT1	7	2
70	DAG1	7	2
71	DMD	7	2
72	HPGD	7	2
73	PYCR1	7	2
74	RCAN3	7	2
75	TPD52	7	3
76	DDX19A	7	1
77	MOB4	7	1
78	PIGA	7	1
79	SLC35A2	7	1
80	MCCC1	7	1
81	DBNL	7	1
82	ITGA7	6	3
83	ABI2	6	3
84	GAPVD1	6	2
85	VEZT	6	2
86	ZNF385B	6	4
87	CNTNAP3	6	3
88	SRGAP3	6	2
89	SYNE1	6	3
90	PBRM1	6	3
91	R3HDM1	6	2
92	WNK2	6	3
93	CABYR	6	1
94	CD6	6	1
95	LMO7	6	2
96	RAP1GAP	6	1
97	SIGLEC10	6	1
98	TRAF3IP3	6	1
99	TTYH1	6	2
100	DST	6	2
101	INPP5J	6	2
102	ITGB7	6	1
103	PLXNB1	6	2
104	TMEM79	6	2
105	ZNF185	6	1
106	ATL2	6	2
107	PMEL	6	1
108	LIMCH1	6	2
109	MYO9A	6	2
110	SLC38A1	6	2
111	STAP2	6	1
112	TTLL4	6	1
113	CANX	6	1
114	PRMT5	6	1
115	USP28	6	1
116	ZEB2	6	1
117	APLP2	6	1
118	ATG9A	6	1
119	CLIP1	6	1
120	SYNRG	6	1
121	WDR41	6	1
122	XPNPEP1	6	1
123	EIF2A	6	1
124	DPP3	6	1
125	PRUNE1	6	1
126	RAP1GDS1	6	1
127	USP14	6	1
128	ACADVL	5	2
129	GYG2	5	2
130	METAP1	5	3
131	MYH14	5	3
132	WARS	5	4
133	ABCA2	5	3
134	CACNA1C	5	3
135	CACNB4	5	2
136	CAP2	5	2
137	CHI3L2	5	2
138	CYFIP2	5	3
139	MACF1	5	3
140	MARK3	5	2
141	PDE2A	5	2
142	PPM1K	5	2
143	RBFOX1	5	2
144	RBM23	5	2
145	SMPD4	5	2
146	ADGRG1	5	1
147	AP1M2	5	1
148	CNKSR1	5	1
149	GUCY1A3	5	2
150	IGSF9	5	1
151	LARGE2	5	1
152	PEG3	5	2
153	SCNN1A	5	1
154	SPINT1	5	1
155	TNNT2	5	2
156	TREM2	5	2
157	ZNF561	5	2
158	CCDC69	5	2
159	COL25A1	5	1
160	GCNT2	5	2
161	ITGB6	5	2
162	SLC4A7	5	2
163	TCF7	5	1
164	AKAP13	5	2
165	ARHGAP8	5	1
166	PLXDC1	5	1
167	CAPN12	5	1
168	NSG1	5	1
169	SEMA4B	5	2
170	ALB	5	1
171	ALPL	5	2
172	CAST	5	2
173	CCDC14	5	2
174	GCOM1	5	2
175	MYO18A	5	2
176	MYOT	5	2
177	NEDD4L	5	2
178	PODNL1	5	1
179	SYNE2	5	2
180	TCF7L2	5	2
181	USP54	5	2
182	ADSL	5	1
183	FAM73B	5	1
184	PIK3CB	5	1
185	YTHDF3	5	1
186	BRWD1	5	1
187	FLII	5	1
188	HYOU1	5	1
189	JKAMP	5	1
190	MPHOSPH9	5	1
191	NDUFV1	5	1
192	OS9	5	1
193	RDH11	5	1
194	SLC11A1	5	1
195	RAD17	5	1
196	CTNND2	5	2
197	ACAD8	5	1
198	ACP2	5	1
199	ALG9	5	1
200	ATP2C1	5	1
201	BLOC1S6	5	1
202	CHN2	5	1
203	CHP1	5	1
204	CUX1	5	1
205	DLST	5	1
206	EIF4G2	5	1
207	EMC4	5	1
208	KIF21A	5	1
209	KLHDC4	5	2
210	LDHA	5	1
211	LRRFIP2	5	1
212	LYPLA1	5	1
213	NCAM1	5	2
214	NKIRAS2	5	1
215	OCIAD1	5	1
216	P4HB	5	1
217	PARK2	5	1
218	PRPSAP2	5	1
219	PSMD2	5	1
220	THEMIS2	5	1
221	TRIQK	5	1
222	USP8	5	1
223	YIF1A	5	1
224	YY1AP1	5	1
225	FADS1	4	3
226	DMRT2	4	3
227	ATP6V0A1	4	3
228	CALD1	4	2
229	ERBB2	4	3
230	MTMR1	4	2
231	PDLIM5	4	2
232	PNPLA4	4	4
233	SGSM1	4	4
234	TUBB4A	4	2
235	VDAC3	4	2
236	WLS	4	3
237	YWHAH	4	2
238	GALNT14	4	2
239	RPS4X	4	4
240	WDR45	4	2
241	SLC25A36	4	2
242	ARHGAP26	4	3
243	CACNB3	4	2
244	CD46	4	2
245	CELF1	4	2
246	FDFT1	4	2
247	HNRNPH1	4	2
248	KIAA1217	4	2
249	MCTP1	4	2
250	MEF2C	4	2
251	NCALD	4	2
252	PARG	4	2
253	PHTF2	4	2
254	PORCN	4	2
255	PRKAR1A	4	2
256	RGS6	4	2
257	SLC7A6	4	2
258	STARD4	4	2
259	TACC2	4	3
260	ZSCAN31	4	3
261	ACSM1	4	1
262	CAMK2B	4	2
263	ELMO3	4	1
264	FGF1	4	2
265	HSH2D	4	1
266	ITGA2	4	1
267	MEIS2	4	2
268	MROH7	4	1
269	OBSCN	4	2
270	PLEKHH2	4	1
271	PRSS21	4	1
