Event	Gene	Sig. RBPs	Sig. Gene Expression	Sig. Sex	Tissue	Dimorphic
21228	TANK	CNOT4(-0.21),CPEB2(-0.11),DAZAP1(-0.14),ENOX1(-0.06),HNRNPA1(0.07),HNRNPA2B1(0.22),HNRNPCL1(-0.16),HNRNPF(0.22),HNRNPH1(0.14),HNRNPH2(0.24),KHDRBS1(0.23),KHDRBS3(-0.06),PABPC1(0.12),PABPC5(0.08),PPRC1(0.14),RBFOX1(0.19),RBM4(-0.16),RBM45(0.03),RBM46(-0.13),RBMS3(-0.07),RBP1(-0.05),SAMD4A(0.13),SRSF1(-0.23),SRSF7(-0.12),TARDBP(-0.17),U2AF2(0.25),ZC3H14(0.27)	0.29	0.16	Heart - Left Ventricle	No
28196	UBE2E1	FXR1(-0.16),FXR2(-0.19),HNRNPA2B1(0.19),IGF2BP3(-0.04),KHDRBS1(-0.19),LIN28A(0.02),MSI1(0.05),PABPC3(-0.07),PABPC4(0.11),PABPN1(-0.16),PCBP2(-0.15),RBFOX1(-0.13),RBM4(-0.1),RBM45(-0.03),RBM5(0.11),RBM8A(-0.14),RBMS1(-0.19),RBMS3(0.07),SAMD4A(0.12),SRSF2(0.13),SRSF9(-0.23),U2AF2(0.14),ZC3H14(0.2),ZCRB1(0.13),ZNF638(-0.24)	0.68	0	Heart - Left Ventricle	No
21473	TMEM222	ANKHD1(-0.23),DAZAP1(0.24),FMR1(-0.16),FXR2(-0.22),G3BP2(0.22),HNRNPA1L2(0.17),HNRNPL(-0.2),KHDRBS3(-0.07),MATR3(0.43),PABPC3(-0.06),PABPN1(-0.17),PTBP1(-0.15),QKI(-0.23),RBFOX1(-0.17),RBM24(0.24),RBM5(0.2),RBMS1(-0.14),RBMS3(0.1),RSF1(-0.27),SAMD4A(-0.2),SART3(0.26),SF1(-0.14),SFPQ(0.19),SRSF10(0.25),TARDBP(-0.18),TIA1(0.14),U2AF2(0.19),ZNF638(-0.39)	0.37	-0.07	Heart - Left Ventricle	No
13601	SEC11A	A1CF(-0.02),CPEB4(-0.06),FUS(0.12),FXR2(-0.26),HNRNPA2B1(0.17),HNRNPF(0.17),HNRNPK(0.26),HNRNPU(-0.25),IGF2BP2(0.11),KHDRBS1(-0.25),LIN28A(0.04),PCBP1(-0.22),PCBP2(-0.31),QKI(0.26),RBM38(-0.1),RBM42(-0.12),RBM45(0.03),RBM5(0.1),RBM6(-0.06),RBMS1(-0.09),RBMS3(0.15),SF1(0.17),SRSF1(-0.16),SRSF2(-0.13),SRSF9(-0.21),TARDBP(-0.17),TIA1(0.13),TUT1(0.09),ZNF638(-0.24)	0.65	0	Heart - Left Ventricle	No
4877	DEF8	ANKHD1(-0.27),DAZAP1(-0.25),FXR1(-0.28),G3BP2(-0.19),HNRNPA1L2(-0.13),HNRNPH2(0.21),HNRNPK(0.29),HNRNPM(0.18),KHDRBS1(-0.17),KHDRBS3(0.07),PABPC1(0.17),PABPC4(-0.11),PABPC5(0.07),PCBP1(0.25),PCBP3(0.04),PPRC1(0.17),PTBP1(0.11),PUM2(0.17),RALY(0.12),RBFOX1(0.19),RBM24(0.11),RBM28(0.08),RBM46(-0.13),RBM6(0.06),RBMS1(-0.12),RBMS3(-0.14),RBP1(-0.1),RSF1(-0.16),SAMD4A(0.11),SFPQ(-0.13),SNRNP70(0.23),SRP54(0.21),SRSF1(-0.2),SRSF7(-0.12),TARDBP(-0.16),U2AF2(-0.2),YBX1(-0.15),ZC3H14(0.32),ZCRB1(0.11)	0.15	0	Heart - Left Ventricle	No
20309	ATP6V0A1	A1CF(-0.04),ANKHD1(-0.2),CNOT4(-0.21),CPEB2(-0.14),CPEB4(-0.13),CPO(0.05),FXR2(-0.26),HNRNPA1(0.07),HNRNPCL1(0.21),HNRNPL(-0.25),HNRNPU(0.28),KHDRBS1(-0.29),PUM2(0.34),RBM24(0.15),RBM4(0.12),RBM5(0.15),RBM6(-0.13),RBMS1(-0.25),RBMS3(0.08),SFPQ(0.17),SNRNP70(-0.14),SRSF9(-0.25),ZNF638(-0.33)	0.34	0	Heart - Left Ventricle	No
21756	DRG2	A1CF(0.04),ANKHD1(-0.35),CNOT4(-0.16),FMR1(-0.25),FXR1(-0.35),HNRNPM(0.18),HNRNPU(0.29),KHDRBS2(0.05),MBNL1(-0.16),PABPC1(0.13),PCBP2(-0.31),PTBP1(-0.16),PUM2(0.5),RALY(-0.22),RBM38(0.1),RBM46(0.13),RBM8A(-0.26),RBMS1(-0.2),SAMD4A(0.13),SNRNP70(-0.12),SRSF7(0.11),SRSF9(-0.19),ZC3H14(0.46),ZNF638(-0.33)	0.37	-0.07	Heart - Left Ventricle	No
21224	TANK	CPEB2(-0.1),ENOX1(-0.09),HNRNPA1(0.1),HNRNPA1L2(-0.2),HNRNPA2B1(0.43),HNRNPF(0.42),HNRNPH2(0.23),IGF2BP2(0.16),KHDRBS1(0.29),KHDRBS3(-0.07),PABPC1(0.15),PABPC5(0.06),PUM2(0.22),RBFOX1(0.16),RBM28(-0.11),RBM4(-0.15),RBM45(0.04),RBM46(-0.21),RBM5(0.19),RBP1(-0.05),SAMD4A(0.14),SRSF1(-0.28),SRSF2(-0.17),SRSF7(-0.15),TARDBP(-0.16),TUT1(-0.11),ZC3H14(0.26),ZNF638(-0.17)	0.18	0.14	Heart - Left Ventricle	No
21230	TANK	CPEB2(-0.1),ENOX1(-0.1),HNRNPA1(0.1),HNRNPA1L2(-0.2),HNRNPA2B1(0.43),HNRNPF(0.42),IGF2BP2(0.16),KHDRBS1(0.29),KHDRBS3(-0.07),PABPC1(0.15),PABPC5(0.06),PUM2(0.21),RALY(-0.12),RBFOX1(0.16),RBM28(-0.11),RBM4(-0.15),RBM45(0.04),RBM46(-0.21),RBM5(0.19),RBP1(-0.05),SAMD4A(0.14),SRSF1(-0.28),SRSF2(-0.17),SRSF7(-0.15),TARDBP(-0.16),TUT1(-0.11),ZC3H14(0.26),ZNF638(-0.17)	0.18	0.14	Heart - Left Ventricle	No
28893	NDUFAF7	A1CF(-0.04),CNOT4(-0.21),CPEB4(0.08),ESRP2(0.08),FUS(0.18),HNRNPH2(0.32),HNRNPK(0.39),HNRNPU(-0.27),IGF2BP2(0.16),IGF2BP3(-0.03),KHDRBS1(-0.28),MSI1(0.06),PABPC5(0.06),RBM4(-0.14),RBM42(-0.13),RBM8A(-0.2),RBMS1(-0.2),SRP54(-0.25),SRSF10(0.19),TIA1(0.12),YBX1(-0.21)	0.39	0	Heart - Left Ventricle	No
