ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
1	"ENSG00000060718.19"	"COL11A1"	chr1	-	103025799	103025952	103026215	103026332	103025520	103025613	103031115	103031244
2	"ENSG00000149809.14"	"TM7SF2"	chr11	+	65113219	65113414	65113490	65113594	65112810	65112865	65114712	65114832
3	"ENSG00000149809.14"	"TM7SF2"	chr11	+	65112810	65112865	65113219	65113414	65112514	65112711	65113490	65113594
4	"ENSG00000149809.14"	"TM7SF2"	chr11	+	65112810	65112865	65113368	65113414	65112514	65112711	65113490	65113594
5	"ENSG00000147408.14"	"CSGALNACT1"	chr8	-	19585165	19585317	19591159	19591278	19505200	19506130	19601770	19601865
6	"ENSG00000139436.20"	"GIT2"	chr12	-	109947255	109947504	109951211	109951316	109939164	109939247	109953091	109953234
7	"ENSG00000139436.20"	"GIT2"	chr12	-	109965759	109965765	109967313	109967319	109965525	109965577	109967457	109967503
8	"ENSG00000003989.16"	"SLC7A2"	chr8	+	17554559	17554699	17554945	17555082	17551763	17551986	17558294	17558397
9	"ENSG00000161609.9"	"CCDC155"	chr19	+	49391680	49391781	49393345	49393419	49390788	49390926	49394475	49394580
10	"ENSG00000161609.9"	"CCDC155"	chr19	+	49391680	49391781	49393345	49393400	49390788	49390926	49394475	49394580
11	"ENSG00000184182.18"	"UBE2F"	chr2	+	238016565	238016633	238025341	238025412	237994743	237994809	238030555	238030613
12	"ENSG00000184182.18"	"UBE2F"	chr2	+	238025341	238025412	238030555	238030613	238016565	238016633	238032221	238032254
13	"ENSG00000184182.18"	"UBE2F"	chr2	+	237973648	237973747	237986161	237986292	237973091	237973225	237987962	237987992
14	"ENSG00000184182.18"	"UBE2F"	chr2	+	237994743	237994809	238016565	238016633	237987962	237987992	238025341	238025412
15	"ENSG00000103168.16"	"TAF1C"	chr16	-	84180867	84180995	84181042	84181186	84180169	84180344	84181327	84181663
16	"ENSG00000104687.12"	"GSR"	chr8	-	30689160	30689319	30692968	30693055	30684087	30684199	30696379	30696479
17	"ENSG00000000419.12"	"DPM1"	chr20	-	50941128	50941209	50942030	50942126	50940864	50940933	50945736	50945762
18	"ENSG00000196628.14"	"TCF4"	chr18	-	55587044	55587136	55596105	55596226	55585279	55585352	55631297	55631388
19	"ENSG00000196628.14"	"TCF4"	chr18	-	55232508	55232671	55234416	55234459	55228846	55229076	55234547	55234683
20	"ENSG00000196628.14"	"TCF4"	chr18	-	55482149	55482256	55518981	55519024	55464075	55464137	55585279	55585352
21	"ENSG00000196628.14"	"TCF4"	chr18	-	55232520	55232671	55234416	55234459	55228846	55229076	55234547	55234683
22	"ENSG00000063761.15"	"ADCK1"	chr14	+	77859075	77859279	77887090	77887249	77822434	77822518	77899099	77899258
23	"ENSG00000077522.12"	"ACTN2"	chr1	+	236734432	236734518	236735634	236735720	236731232	236731314	236737121	236737214
24	"ENSG00000010810.17"	"FYN"	chr6	-	111699514	111699670	111700103	111700268	111696276	111696456	111702884	111703034
25	"ENSG00000198625.12"	"MDM4"	chr1	+	204526359	204526434	204537458	204537497	204525483	204525596	204538208	204538308
26	"ENSG00000182796.13"	"TMEM198B"	chr12	+	55831256	55831349	55832958	55833038	55830840	55831083	55833446	55833541
27	"ENSG00000182796.13"	"TMEM198B"	chr12	+	55831256	55831349	55832958	55833014	55830838	55831083	55833446	55833541
28	"ENSG00000149582.15"	"TMEM25"	chr11	+	118532149	118532461	118532916	118533207	118531774	118531871	118533856	118533887
29	"ENSG00000042317.16"	"SPATA7"	chr14	+	88406682	88406736	88415204	88415266	88396155	88396203	88416710	88416844
30	"ENSG00000163531.15"	"NFASC"	chr1	+	204991291	204991306	205002595	205002748	204988632	204988806	205009556	205009688
31	"ENSG00000118894.14"	"EEF2KMT"	chr16	-	5091793	5091895	5093483	5093564	5090431	5090565	5095451	5095514
32	"ENSG00000169398.19"	"PTK2"	chr8	-	140746759	140746860	140752231	140752316	140744651	140744767	140761164	140761262
33	"ENSG00000131018.22"	"SYNE1"	chr6	-	152347058	152347235	152350167	152350335	152344080	152344227	152350617	152350770
34	"ENSG00000181929.11"	"PRKAG1"	chr12	-	49005667	49005742	49005742	49005852	49005461	49005543	49013061	49013110
35	"ENSG00000181929.11"	"PRKAG1"	chr12	-	49005667	49005742	49005742	49005881	49005461	49005543	49013061	49013110
36	"ENSG00000099783.11"	"HNRNPM"	chr19	+	8462528	8462589	8463496	8463500	8455404	8455574	8463592	8463686
37	"ENSG00000099783.11"	"HNRNPM"	chr19	+	8462528	8462589	8463496	8463504	8455404	8455574	8463592	8463686
38	"ENSG00000145016.14"	"RUBCN"	chr3	-	197696953	197697049	197699186	197699231	197695865	197695981	197700612	197701146
39	"ENSG00000128284.19"	"APOL3"	chr22	-	36149770	36149964	36153284	36153423	36149258	36149371	36160668	36160755
40	"ENSG00000227028.6"	"SLC8A1-AS1"	chr2	+	40209966	40210024	40223629	40223751	40104908	40104962	40251683	40251732
41	"ENSG00000227028.6"	"SLC8A1-AS1"	chr2	+	40114001	40114103	40209966	40210024	40104908	40104962	40223629	40223751
42	"ENSG00000227028.6"	"SLC8A1-AS1"	chr2	+	40114001	40114103	40223629	40223751	40104908	40104962	40251683	40251729
43	"ENSG00000227028.6"	"SLC8A1-AS1"	chr2	+	40223629	40223751	40250298	40250509	40209966	40210024	40251683	40251757
44	"ENSG00000155465.18"	"SLC7A7"	chr14	-	22819637	22819756	22821121	22821232	22815319	22815451	22823023	22823072
45	"ENSG00000169347.16"	"GP2"	chr16	-	20323815	20324202	20326337	20326467	20322868	20322979	20327466	20327507
46	"ENSG00000169347.16"	"GP2"	chr16	-	20323380	20323389	20323815	20324256	20322868	20322979	20326337	20326467
47	"ENSG00000169347.16"	"GP2"	chr16	-	20323380	20323389	20323815	20324061	20322868	20322979	20326337	20326467
48	"ENSG00000116754.13"	"SRSF11"	chr1	+	70231094	70231203	70231858	70231975	70228421	70228555	70232267	70232377
49	"ENSG00000111540.15"	"RAB5B"	chr12	+	55989946	55990098	55990681	55990804	55986868	55987123	55991359	55991453
50	"ENSG00000188517.14"	"COL25A1"	chr4	-	108941365	108941437	108942208	108942268	108940538	108940646	108974366	108974393
51	"ENSG00000188517.14"	"COL25A1"	chr4	-	108819251	108819329	108819811	108819898	108817396	108817435	108824173	108824227
52	"ENSG00000135083.14"	"CCNJL"	chr5	-	160269462	160269544	160276268	160276412	160259468	160259771	160280524	160280738
53	"ENSG00000233723.7"	"LINC01122"	chr2	+	58461777	58461845	58656649	58656711	58428337	58428464	58850429	58850606
54	"ENSG00000143401.14"	"ANP32E"	chr1	-	150229071	150229237	150230570	150230693	150226607	150226795	150231776	150231926
55	"ENSG00000231933.7"	"CTA-125H2.2"	chr22	-	25895110	25895268	25898383	25898441	25892436	25892640	25899715	25899884
56	"ENSG00000105877.17"	"DNAH11"	chr7	+	21681678	21681684	21681721	21681727	21681545	21681677	21683783	21683944
57	"ENSG00000181523.12"	"SGSH"	chr17	-	80214614	80214765	80215032	80215138	80214171	80214328	80217031	80217192
58	"ENSG00000062485.18"	"CS"	chr12	-	56283791	56283857	56285915	56286023	56282859	56282991	56286594	56286645
59	"ENSG00000062485.18"	"CS"	chr12	-	56291630	56291793	56298608	56298691	56286594	56286645	56300159	56300391
60	"ENSG00000157216.15"	"SSBP3"	chr1	-	54257126	54257186	54258068	54258149	54251793	54251860	54281437	54281527
61	"ENSG00000119681.11"	"LTBP2"	chr14	-	74507178	74507310	74507972	74508095	74506697	74506823	74508603	74508729
62	"ENSG00000268434.5"	"AC011530.4"	chr19	-	45780213	45780381	45782192	45782250	45779777	45779869	45785593	45785713
63	"ENSG00000279457.3"	"FO538757.1"	chr1	-	188021	188028	188101	188105	187754	187886	188129	188266
64	"ENSG00000230461.8"	"PROX1-AS1"	chr1	-	213921472	213921580	213965303	213965481	213895393	213895518	213966070	213966284
65	"ENSG00000230461.8"	"PROX1-AS1"	chr1	-	213840680	213840829	213842059	213842240	213840507	213840600	213894662	213894743
66	"ENSG00000230461.8"	"PROX1-AS1"	chr1	-	213840680	213840829	213843482	213843568	213840507	213840600	213894662	213894743
67	"ENSG00000230461.8"	"PROX1-AS1"	chr1	-	213915934	213916099	213965303	213965481	213895393	213895518	213966070	213966284
68	"ENSG00000230461.8"	"PROX1-AS1"	chr1	-	213915934	213916099	213921472	213921580	213895393	213895518	213966070	213966284
69	"ENSG00000230461.8"	"PROX1-AS1"	chr1	-	213842059	213842240	213843482	213843568	213840507	213840600	213894662	213894743
70	"ENSG00000230461.8"	"PROX1-AS1"	chr1	-	213835852	213836054	213837292	213837295	213832590	213832622	213839737	213839797
71	"ENSG00000230461.8"	"PROX1-AS1"	chr1	-	213839737	213839797	213876637	213876806	213832540	213832622	213894662	213894743
72	"ENSG00000230461.8"	"PROX1-AS1"	chr1	-	213839737	213839797	213843482	213843568	213832540	213832622	213894662	213894743
73	"ENSG00000230461.8"	"PROX1-AS1"	chr1	-	213839737	213839797	213840507	213840600	213832590	213832648	213894662	213894743
74	"ENSG00000230461.8"	"PROX1-AS1"	chr1	-	213901294	213901409	213915934	213916099	213895393	213895518	213966070	213966284
75	"ENSG00000230461.8"	"PROX1-AS1"	chr1	-	213901294	213901409	213965303	213965481	213895393	213895518	213966070	213966284
76	"ENSG00000230461.8"	"PROX1-AS1"	chr1	-	213901294	213901409	213921472	213921580	213895393	213895518	213966070	213966284
77	"ENSG00000230461.8"	"PROX1-AS1"	chr1	-	213843482	213843568	213876637	213876806	213832540	213832622	213894662	213894743
78	"ENSG00000168421.12"	"RHOH"	chr4	+	40200511	40200565	40235192	40235358	40196906	40197300	40242713	40242834
79	"ENSG00000168421.12"	"RHOH"	chr4	+	40200511	40200565	40218146	40218298	40196906	40197300	40242713	40242834
