ENSG_ver	ENSG_no_ver	GeneSymbol	chr
2320	ENSG00000000003.14	ENSG00000000003	TSPAN6	chrX
5531	ENSG00000000005.5	ENSG00000000005	TNMD	chrX
13062	ENSG00000000419.12	ENSG00000000419	DPM1	chr20
14542	ENSG00000000457.13	ENSG00000000457	SCYL3	chr1
9337	ENSG00000000460.16	ENSG00000000460	C1orf112	chr1
723	ENSG00000000938.12	ENSG00000000938	FGR	chr1
8101	ENSG00000000971.15	ENSG00000000971	CFH	chr1
6808	ENSG00000001036.13	ENSG00000001036	FUCA2	chr6
226	ENSG00000001084.10	ENSG00000001084	GCLC	chr6
9917	ENSG00000001167.14	ENSG00000001167	NFYA	chr6
12730	ENSG00000001460.17	ENSG00000001460	STPG1	chr1
13477	ENSG00000001461.16	ENSG00000001461	NIPAL3	chr1
14611	ENSG00000001497.16	ENSG00000001497	LAS1L	chrX
11432	ENSG00000001561.6	ENSG00000001561	ENPP4	chr6
16026	ENSG00000001617.11	ENSG00000001617	SEMA3F	chr3
16997	ENSG00000001626.14	ENSG00000001626	CFTR	chr7
14403	ENSG00000001629.9	ENSG00000001629	ANKIB1	chr7
4283	ENSG00000001630.15	ENSG00000001630	CYP51A1	chr7
14230	ENSG00000001631.15	ENSG00000001631	KRIT1	chr7
11629	ENSG00000002016.17	ENSG00000002016	RAD52	chr12
11098	ENSG00000002330.13	ENSG00000002330	BAD	chr11
15013	ENSG00000002549.12	ENSG00000002549	LAP3	chr4
33	ENSG00000002586.18	ENSG00000002586	CD99	chrX
145	ENSG00000002587.9	ENSG00000002587	HS3ST1	chr4
312680	ENSG00000002726.20	ENSG00000002726	AOC1	chr7
101028	ENSG00000002745.12	ENSG00000002745	WNT16	chr7
9968	ENSG00000002746.14	ENSG00000002746	HECW1	chr7
6031	ENSG00000002822.15	ENSG00000002822	MAD1L1	chr7
7187	ENSG00000002834.17	ENSG00000002834	LASP1	chr17
7978	ENSG00000002919.14	ENSG00000002919	SNX11	chr17
2977	ENSG00000002933.7	ENSG00000002933	TMEM176A	chr7
4669	ENSG00000003056.7	ENSG00000003056	M6PR	chr12
241	ENSG00000003096.14	ENSG00000003096	KLHL13	chrX
4152	ENSG00000003137.8	ENSG00000003137	CYP26B1	chr2
14894	ENSG00000003147.17	ENSG00000003147	ICA1	chr7
5962	ENSG00000003249.13	ENSG00000003249	DBNDD1	chr16
15851	ENSG00000003393.14	ENSG00000003393	ALS2	chr2
12370	ENSG00000003400.14	ENSG00000003400	CASP10	chr2
838	ENSG00000003402.19	ENSG00000003402	CFLAR	chr2
9642	ENSG00000003436.15	ENSG00000003436	TFPI	chr2
7816	ENSG00000003509.15	ENSG00000003509	NDUFAF7	chr2
15321	ENSG00000003756.16	ENSG00000003756	RBM5	chr3
12255	ENSG00000003987.13	ENSG00000003987	MTMR7	chr8
5779	ENSG00000003989.17	ENSG00000003989	SLC7A2	chr8
9153	ENSG00000004059.10	ENSG00000004059	ARF5	chr7
5281	ENSG00000004139.13	ENSG00000004139	SARM1	chr17
3415	ENSG00000004142.11	ENSG00000004142	POLDIP2	chr17
8373	ENSG00000004399.12	ENSG00000004399	PLXND1	chr3
2668	ENSG00000004455.16	ENSG00000004455	AK2	chr1
7674	ENSG00000004468.12	ENSG00000004468	CD38	chr4
14951	ENSG00000004478.7	ENSG00000004478	FKBP4	chr12
12588	ENSG00000004487.15	ENSG00000004487	KDM1A	chr1
14277	ENSG00000004534.14	ENSG00000004534	RBM6	chr3
12592	ENSG00000004660.14	ENSG00000004660	CAMKK1	chr17
15745	ENSG00000004700.15	ENSG00000004700	RECQL	chr12
11926	ENSG00000004766.15	ENSG00000004766	VPS50	chr7
9487	ENSG00000004776.12	ENSG00000004776	HSPB6	chr19
1496	ENSG00000004777.18	ENSG00000004777	ARHGAP33	chr19
4616	ENSG00000004779.9	ENSG00000004779	NDUFAB1	chr16
5559	ENSG00000004799.7	ENSG00000004799	PDK4	chr7
631989	ENSG00000004809.13	ENSG00000004809	SLC22A16	chr6
9022	ENSG00000004838.13	ENSG00000004838	ZMYND10	chr3
7601	ENSG00000004846.16	ENSG00000004846	ABCB5	chr7
96654	ENSG00000004848.7	ENSG00000004848	ARX	chrX
14879	ENSG00000004864.13	ENSG00000004864	SLC25A13	chr7
12482	ENSG00000004866.20	ENSG00000004866	ST7	chr7
14692	ENSG00000004897.11	ENSG00000004897	CDC27	chr17
23352	ENSG00000004939.13	ENSG00000004939	SLC4A1	chr17
201712	ENSG00000004948.13	ENSG00000004948	CALCR	chr7
1282	ENSG00000004961.14	ENSG00000004961	HCCS	chrX
435	ENSG00000004975.11	ENSG00000004975	DVL2	chr17
120475	ENSG00000005001.9	ENSG00000005001	PRSS22	chr16
15501	ENSG00000005007.12	ENSG00000005007	UPF1	chr19
15827	ENSG00000005020.12	ENSG00000005020	SKAP2	chr7
13491	ENSG00000005022.5	ENSG00000005022	SLC25A5	chrX
7845	ENSG00000005059.15	ENSG00000005059	MCUB	chr4
5456	ENSG00000005073.5	ENSG00000005073	HOXA11	chr7
11231	ENSG00000005075.15	ENSG00000005075	POLR2J	chr7
15505	ENSG00000005100.12	ENSG00000005100	DHX33	chr17
15864	ENSG00000005102.12	ENSG00000005102	MEOX1	chr17
13970	ENSG00000005108.15	ENSG00000005108	THSD7A	chr7
10590	ENSG00000005156.11	ENSG00000005156	LIG3	chr17
4759	ENSG00000005175.9	ENSG00000005175	RPAP3	chr12
8984	ENSG00000005187.11	ENSG00000005187	ACSM3	chr16
7855	ENSG00000005189.19	ENSG00000005189	REXO5	chr16
6470	ENSG00000005194.14	ENSG00000005194	CIAPIN1	chr16
14578	ENSG00000005206.16	ENSG00000005206	SPPL2B	chr19
8594	ENSG00000005238.19	ENSG00000005238	FAM214B	chr9
10632	ENSG00000005243.9	ENSG00000005243	COPZ2	chr17
924	ENSG00000005249.12	ENSG00000005249	PRKAR2B	chr7
6266	ENSG00000005302.17	ENSG00000005302	MSL3	chrX
12383	ENSG00000005339.14	ENSG00000005339	CREBBP	chr16
210	ENSG00000005379.15	ENSG00000005379	TSPOAP1	chr17
22196	ENSG00000005381.7	ENSG00000005381	MPO	chr17
42000	ENSG00000005421.8	ENSG00000005421	PON1	chr7
2488	ENSG00000005436.13	ENSG00000005436	GCFC2	chr2
1646	ENSG00000005448.16	ENSG00000005448	WDR54	chr2
4571	ENSG00000005469.11	ENSG00000005469	CROT	chr7
5439	ENSG00000005471.15	ENSG00000005471	ABCB4	chr7
3964	ENSG00000005483.20	ENSG00000005483	KMT2E	chr7
4335	ENSG00000005486.16	ENSG00000005486	RHBDD2	chr7
6366	ENSG00000005513.9	ENSG00000005513	SOX8	chr16
14841	ENSG00000005700.14	ENSG00000005700	IBTK	chr6
4500	ENSG00000005801.16	ENSG00000005801	ZNF195	chr11
14998	ENSG00000005810.17	ENSG00000005810	MYCBP2	chr13
8772	ENSG00000005812.10	ENSG00000005812	FBXL3	chr13
7465	ENSG00000005844.17	ENSG00000005844	ITGAL	chr16
13855	ENSG00000005882.11	ENSG00000005882	PDK2	chr17
2974	ENSG00000005884.17	ENSG00000005884	ITGA3	chr17
2	ENSG00000005889.15	ENSG00000005889	ZFX	chrX
8547	ENSG00000005893.15	ENSG00000005893	LAMP2	chrX
2206	ENSG00000005961.17	ENSG00000005961	ITGA2B	chr17
47122	ENSG00000005981.12	ENSG00000005981	ASB4	chr7
2080	ENSG00000006007.11	ENSG00000006007	GDE1	chr16
14103	ENSG00000006015.17	ENSG00000006015	REX1BD	chr19
4304	ENSG00000006016.10	ENSG00000006016	CRLF1	chr19
11764	ENSG00000006025.11	ENSG00000006025	AC003665.1	chr17
2619	ENSG00000006042.11	ENSG00000006042	TMEM98	chr17
7951	ENSG00000006047.12	ENSG00000006047	YBX2	chr17
359997	ENSG00000006059.3	ENSG00000006059	KRT33A	chr17
7291	ENSG00000006062.14	ENSG00000006062	MAP3K14	chr17
10787	ENSG00000006071.12	ENSG00000006071	ABCC8	chr11
99500	ENSG00000006116.3	ENSG00000006116	CACNG3	chr16
13109	ENSG00000006118.14	ENSG00000006118	TMEM132A	chr11
14589	ENSG00000006125.17	ENSG00000006125	AP2B1	chr17
22967	ENSG00000006128.11	ENSG00000006128	TAC1	chr7
6017	ENSG00000006194.9	ENSG00000006194	ZNF263	chr16
5725	ENSG00000006210.6	ENSG00000006210	CX3CL1	chr16
15426	ENSG00000006282.20	ENSG00000006282	SPATA20	chr17
3734	ENSG00000006283.17	ENSG00000006283	CACNA1G	chr17
6773	ENSG00000006327.13	ENSG00000006327	TNFRSF12A	chr16
97360	ENSG00000006377.10	ENSG00000006377	DLX6	chr7
