ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
1	"ENSG00000034152.18"	"MAP2K3"	chr17	+	21300470	21300658	21300544	21300658	21298877	21298926
2	"ENSG00000139697.12"	"SBNO1"	chr12	-	123345257	123345570	123345257	123345567	123348028	123348133
3	"ENSG00000105072.8"	"C19orf44"	chr19	+	16514496	16514663	16514549	16514663	16513013	16513109
4	"ENSG00000143257.11"	"NR1I3"	chr1	-	161230812	161230933	161230812	161230918	161231116	161231245
5	"ENSG00000143257.11"	"NR1I3"	chr1	-	161230812	161231245	161230812	161230918	161231328	161231474
6	"ENSG00000143257.11"	"NR1I3"	chr1	-	161230812	161230933	161230812	161230918	161231328	161231474
7	"ENSG00000143257.11"	"NR1I3"	chr1	-	161230812	161231245	161230812	161230933	161231328	161231474
8	"ENSG00000143257.11"	"NR1I3"	chr1	-	161231116	161231245	161231116	161231233	161231328	161231474
9	"ENSG00000143257.11"	"NR1I3"	chr1	-	161229736	161229926	161229736	161229772	161230812	161230918
10	"ENSG00000274602.4"	"PI4KAP1"	chr22	-	18547245	18547421	18547245	18547373	18548010	18548118
11	"ENSG00000068650.18"	"ATP11A"	chr13	+	112881812	112887168	112881875	112887168	112878216	112878303
12	"ENSG00000174938.14"	"SEZ6L2"	chr16	-	29896821	29897121	29896821	29896911	29897852	29897984
13	"ENSG00000042062.11"	"FAM65C"	chr20	-	50594552	50594797	50594552	50594714	50595368	50595504
14	"ENSG00000228630.5"	"HOTAIR"	chr12	-	53965963	53966087	53965963	53966083	53966275	53966377
15	"ENSG00000228630.5"	"HOTAIR"	chr12	-	53965963	53966087	53965963	53966059	53966275	53966377
16	"ENSG00000228630.5"	"HOTAIR"	chr12	-	53965963	53966083	53965963	53966059	53966275	53966377
17	"ENSG00000117480.15"	"FAAH"	chr1	+	46413074	46413220	46413122	46413220	46412142	46412251
18	"ENSG00000068438.14"	"FTSJ1"	chrX	+	48482402	48482506	48482408	48482506	48481631	48481715
19	"ENSG00000068438.14"	"FTSJ1"	chrX	+	48482402	48482506	48482419	48482506	48481631	48481715
20	"ENSG00000068438.14"	"FTSJ1"	chrX	+	48482408	48482506	48482419	48482506	48481631	48481715
21	"ENSG00000167346.7"	"MMP26"	chr11	+	4988067	4988310	4988269	4988310	4767269	4767341
22	"ENSG00000008952.16"	"SEC62"	chr3	+	169982659	169982911	169982706	169982911	169976945	169977051
23	"ENSG00000008952.16"	"SEC62"	chr3	+	169982636	169982911	169982706	169982911	169976945	169977051
24	"ENSG00000008952.16"	"SEC62"	chr3	+	169982636	169982911	169982659	169982911	169976945	169977051
25	"ENSG00000151694.12"	"ADAM17"	chr2	-	9523248	9523348	9523248	9523338	9526110	9526244
26	"ENSG00000163357.10"	"DCST1"	chr1	+	155047188	155047312	155047195	155047312	155046359	155046486
27	"ENSG00000163357.10"	"DCST1"	chr1	+	155034337	155034560	155034434	155034560	155033971	155034097
28	"ENSG00000149809.14"	"TM7SF2"	chr11	+	65113490	65113594	65113523	65113594	65113219	65113414
29	"ENSG00000149809.14"	"TM7SF2"	chr11	+	65112810	65113414	65113219	65113414	65112514	65112711
30	"ENSG00000149809.14"	"TM7SF2"	chr11	+	65112810	65113414	65113368	65113414	65112514	65112711
31	"ENSG00000149809.14"	"TM7SF2"	chr11	+	65113219	65113414	65113368	65113414	65112514	65112711
32	"ENSG00000204264.8"	"PSMB8"	chr6	-	32842671	32842783	32842671	32842711	32842941	32843089
33	"ENSG00000028310.17"	"BRD9"	chr5	-	869244	869404	869244	869394	870472	870575
34	"ENSG00000028310.17"	"BRD9"	chr5	-	886591	886767	886591	886707	887360	887471
35	"ENSG00000028310.17"	"BRD9"	chr5	-	889020	889165	889020	889160	889586	889647
36	"ENSG00000028310.17"	"BRD9"	chr5	-	889586	889766	889586	889647	891154	891287
37	"ENSG00000169598.15"	"DFFB"	chr1	+	3865642	3866000	3865761	3866000	3858717	3858844
38	"ENSG00000169598.15"	"DFFB"	chr1	+	3865761	3866000	3865811	3866000	3858717	3858844
39	"ENSG00000169598.15"	"DFFB"	chr1	+	3865642	3866000	3865811	3866000	3858717	3858844
40	"ENSG00000169598.15"	"DFFB"	chr1	+	3865761	3866000	3865811	3866000	3858717	3858866
41	"ENSG00000083838.15"	"ZNF446"	chr19	+	58479642	58480019	58479929	58480019	58478086	58478181
42	"ENSG00000083838.15"	"ZNF446"	chr19	+	58479642	58480019	58479928	58480019	58478086	58478181
43	"ENSG00000083838.15"	"ZNF446"	chr19	+	58479928	58480019	58479929	58480019	58478086	58478181
44	"ENSG00000070814.17"	"TCOF1"	chr5	+	150387901	150388088	150387942	150388088	150379531	150379732
45	"ENSG00000070814.17"	"TCOF1"	chr5	+	150392704	150392790	150392707	150392790	150391956	150392176
46	"ENSG00000177963.13"	"RIC8A"	chr11	+	210570	210662	210574	210662	209406	210000
47	"ENSG00000177963.13"	"RIC8A"	chr11	+	212596	212759	212614	212759	212415	212511
48	"ENSG00000177963.13"	"RIC8A"	chr11	+	209174	209318	209270	209318	208799	208938
49	"ENSG00000139436.20"	"GIT2"	chr12	-	109947255	109948846	109947255	109947504	109951166	109951316
50	"ENSG00000139436.20"	"GIT2"	chr12	-	109965525	109965577	109965525	109965574	109967457	109967503
