"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000179172.7",1.91153230759751,-0.0264470942687842,0.0363982384696629,-0.726603686901695,0.467468769021311,0.912887497198486
"ENSG00000125944.14",4737.10340714915,0.00913087709866281,0.0384009308627579,0.237777493761698,0.812053675472393,0.953849364223982
"ENSG00000188529.10",343.836864043863,-0.0564377020006885,0.0585443202693588,-0.964016692670137,0.335037556973351,0.76062580502058
"ENSG00000116350.11",3828.56672580208,0.0327076433046527,0.032730588918748,0.999298955049288,0.317649891492099,0.76062580502058
"ENSG00000134644.11",3198.04864648374,-0.04444417077298,0.0417967974371104,-1.06333914314495,0.287628180080322,0.76062580502058
"ENSG00000183431.7",1848.58196210618,-0.0117571503858033,0.0304784928690303,-0.385752354498798,0.699680084792073,0.953849364223982
"ENSG00000134748.12",2183.40002494709,-0.0217150285233325,0.0553919564601712,-0.392024942086067,0.695039784750092,0.953849364223982
"ENSG00000116754.9",6578.33099357181,-0.0714038225062141,0.0473380160260782,-1.50838223695049,0.131456726570633,0.76062580502058
"ENSG00000117569.14",1789.46862056652,-0.0283584344934246,0.0507367000521341,-0.558933365084546,0.576207197581432,0.930796242246929
"ENSG00000134186.7",2519.85004188386,-0.0575656738419076,0.0477584728877484,-1.20534996956896,0.228068226720278,0.76062580502058
"ENSG00000143368.9",1190.68517435668,0.0403232111142122,0.0472929406454275,0.852626429312783,0.393866501341947,0.848327849044194
"ENSG00000117360.8",2035.40620738713,-0.0520126923637315,0.0486597955502916,-1.0689048684961,0.285112537988416,0.76062580502058
"ENSG00000159409.10",5651.77670756276,0.0605733147716635,0.0587224178951619,1.03151942550809,0.30229730352886,0.76062580502058
"ENSG00000153187.12",10750.1214514782,-0.0590394840759741,0.0354768048685687,-1.66417140141843,0.0960781814551343,0.76062580502058
"ENSG00000055917.11",3946.49024738643,-0.0170846537702033,0.0467792187052309,-0.365218878020571,0.714948027551552,0.953849364223982
"ENSG00000143889.11",1258.28838058845,0.0124723702385165,0.0465798866927929,0.267763000815677,0.788881752118911,0.953849364223982
"ENSG00000115875.14",3333.67769272608,-0.0336336401070975,0.0426371764453165,-0.788833663744917,0.430209231265864,0.903374437417461
"ENSG00000196504.11",2128.43385095747,-0.04166462850579,0.0540664392324342,-0.770619058648781,0.440932761120428,0.903374437417461
"ENSG00000170144.14",10225.0078328942,-0.0417491762273378,0.038778038372124,-1.07661908595535,0.281650473995308,0.76062580502058
"ENSG00000115524.11",9227.31558538842,-0.0505510518106211,0.0426359486803254,-1.18564388445162,0.235762963945207,0.76062580502058
"ENSG00000004534.10",5281.2250077165,0.0541955159732515,0.0557238232298011,0.972573539144166,0.330765299110755,0.76062580502058
"ENSG00000003756.12",4347.6903492564,-0.0306175151703983,0.0503686735577806,-0.607868204733946,0.543274888853484,0.929160832890364
"ENSG00000136527.13",2987.94452269625,-0.0160814742659707,0.0495865857211663,-0.324310981127023,0.745702606856191,0.953849364223982
"ENSG00000138668.14",4225.28176477935,-0.013421687672229,0.0281162554636755,-0.477363982183512,0.633102957334806,0.953849364223982
"ENSG00000152795.13",10856.5020778748,0.0112629352785998,0.0454761744111081,0.24766672712577,0.804392277826063,0.953849364223982
"ENSG00000109381.15",1300.69193788752,0.00769298482035924,0.0502395690006947,0.153126011496095,0.878298903562419,0.953849364223982
"ENSG00000177733.4",3083.53223339215,0.0573463001719214,0.0414513962783862,1.38345882939107,0.166524222818311,0.76062580502058
"ENSG00000197451.6",1561.61871629957,0.10354132336842,0.0504936581427127,2.050580749681,0.0403077926377494,0.636393321377922
"ENSG00000169045.13",6583.15186648371,-0.0593427439969282,0.0402685784662215,-1.47367367454271,0.14056947416412,0.76062580502058
"ENSG00000112739.12",2483.15711631531,-0.0582644704485938,0.0415550615896768,-1.40210285389321,0.160884534985232,0.76062580502058
"ENSG00000204576.7",569.404345426803,0.033586847324004,0.0383562810721519,0.87565442699786,0.381217927389275,0.842692260544713
"ENSG00000096063.10",956.467865145651,-0.0362034091161337,0.0558948825375976,-0.647705254444028,0.517175605105407,0.929160832890364
"ENSG00000112081.12",5513.22638954142,-0.0529030079016615,0.050966576495844,-1.03799414320041,0.299272781788887,0.76062580502058
"ENSG00000154548.8",318.235627833086,-0.00439686218047921,0.0589998907498454,-0.0745232257992059,0.94059406103384,0.957759069149617
"ENSG00000169976.5",1756.73981362582,0.104818457783863,0.0537039360579981,1.95178352794594,0.0509639107398252,0.636393321377922
"ENSG00000112531.12",29813.2605587316,-0.0199980562850213,0.0611380280551156,-0.327096848249557,0.743594635552008,0.953849364223982
"ENSG00000164548.6",3104.38864013036,-0.0488513925224171,0.0420926504740773,-1.1605682220582,0.245817534836809,0.76062580502058
"ENSG00000122566.16",23525.0285703651,-0.00205700950032979,0.0301417324554224,-0.0682445676728095,0.945590949771632,0.957759069149617
"ENSG00000135250.12",3209.18983947631,-0.0092806525374041,0.057317846265216,-0.161915583751377,0.871372330694491,0.953849364223982
"ENSG00000104413.11",8.13856469223953,-0.0703219611266464,0.0439988838814805,-1.59826693140835,0.109983583574687,0.76062580502058
"ENSG00000179950.9",5049.08145322653,0.0738456017966957,0.04472745401184,1.65101286062801,0.0987359488800111,0.76062580502058
"ENSG00000165119.14",13308.1694461705,0.00794612868649313,0.0350931466136823,0.226429643769677,0.820867274172003,0.953849364223982
"ENSG00000119314.11",1108.23785205985,-0.0855299048882414,0.0548103824693526,-1.56046903953034,0.118649080850627,0.76062580502058
"ENSG00000136875.8",779.986961437717,-0.0295067551928505,0.0407731255725809,-0.723681463672071,0.469261315652889,0.912887497198486
"ENSG00000165630.9",139.014349385507,-0.0126301940348008,0.0488229895225749,-0.258693581820932,0.795871672005648,0.953849364223982
"ENSG00000169813.12",2600.38753104421,0.00779302754234177,0.0573001295702404,0.136003663530792,0.891818384798725,0.953849364223982
"ENSG00000096746.13",6424.34846063973,-0.0540276696513127,0.0516425113345095,-1.04618594749108,0.295475189589794,0.76062580502058
"ENSG00000110107.4",3799.64846145743,0.0200043974600661,0.0541465488189675,0.369449168901759,0.711792954604362,0.953849364223982
"ENSG00000214753.2",9144.49156194849,0.0455725973795868,0.0421948512432722,1.08005114455412,0.280119405778706,0.76062580502058
"ENSG00000168066.16",7862.70297699289,-0.0228748149110454,0.0397709276000752,-0.575164229033525,0.565180232515149,0.930796242246929
"ENSG00000087365.10",8405.74193597382,0.103544190046362,0.0450338839504679,2.29925071886424,0.0214907064683045,0.636393321377922
"ENSG00000180771.10",1215.34572879792,0.0229213226804836,0.0548860506114454,0.417616542366118,0.676227500052587,0.953849364223982
"ENSG00000110844.9",601.749933567885,0.0690830282907282,0.0507409408608647,1.3614849689161,0.173360480469479,0.76062580502058
"ENSG00000135486.13",18087.6342541108,-0.0722946465156017,0.0538934189664048,-1.34143737588197,0.179778489403726,0.76062580502058
"ENSG00000111786.4",2447.23268994792,0.0825686137984974,0.043163867786144,1.91291045111121,0.0557595174014482,0.636393321377922
"ENSG00000092199.13",11011.4930829183,-0.0203322540423948,0.0430950123588185,-0.471800631430478,0.637069100174031,0.953849364223982
"ENSG00000100650.11",12343.3913047697,-0.0120004813588601,0.0507544614457233,-0.23644190120495,0.813089785278836,0.953849364223982
"ENSG00000140488.10",828.973543051399,0.00955181642583957,0.0591116489052813,0.161589409240556,0.871629197903624,0.953849364223982
"ENSG00000078328.15",7046.21521579526,0.0180624689343863,0.0511768085443703,0.352942464529146,0.724131574724818,0.953849364223982
"ENSG00000103067.7",14.8079786459278,-0.0342628209153092,0.0566610704269649,-0.604697734390199,0.545379853797231,0.929160832890364
"ENSG00000189091.8",2540.67499065655,-0.0437248131136737,0.0334668067067682,-1.30651285307214,0.191378210997489,0.76062580502058
"ENSG00000174231.12",6825.20521630397,-0.0285194240035598,0.0444985556952769,-0.640906734116472,0.521583280387186,0.929160832890364
"ENSG00000136450.8",5307.92682784912,0.00601108182304489,0.0341597337086237,0.175969809200456,0.860317661069951,0.953849364223982
"ENSG00000161547.10",3798.29334881339,0.0173818697195623,0.0424329372180142,0.409631547075255,0.68207625150738,0.953849364223982
"ENSG00000167281.14",4196.60044370367,0.0592897230397082,0.0575649976154853,1.02996135665189,0.303028146189071,0.76062580502058
"ENSG00000101489.14",3727.000304621,0.00827384936899542,0.0578964585018052,0.142907693891802,0.886363082098734,0.953849364223982
"ENSG00000011304.12",2276.2251693039,0.033713664085755,0.056837077773946,0.593163220316181,0.553071924339503,0.929160832890364
"ENSG00000104897.5",1598.58188844884,0.0317529342982155,0.0499719461970921,0.635415202221265,0.525157655768003,0.929160832890364
"ENSG00000161082.8",4695.8828243771,0.0587429157639709,0.060902887085749,0.964534171939387,0.334778184653762,0.76062580502058
"ENSG00000099783.7",7029.54355121087,0.0223636802711232,0.0484520967350833,0.461562693424784,0.64439495301477,0.953849364223982
"ENSG00000104824.12",5937.50203223381,0.00250239122102798,0.0371925593630948,0.0672820387701267,0.946357175469264,0.957759069149617
"ENSG00000105323.12",5478.69317810677,0.00562554674722218,0.0489085924887336,0.115021644683765,0.908427965927602,0.953849364223982
"ENSG00000105618.9",1322.36922503573,0.104149085009382,0.0502210455336517,2.07381355570534,0.0380966297271236,0.636393321377922
"ENSG00000063244.8",4301.96977497556,0.085939663234483,0.0391225427824535,2.19667887418164,0.0280433886810438,0.636393321377922
"ENSG00000124193.10",4756.19594933161,0.00052737205148222,0.0533170713163825,0.00989124193174085,0.992108059462568,0.992108059462568
"ENSG00000101161.6",3765.99786039612,-0.00852814858246631,0.046159747397095,-0.18475293006051,0.853422828546996,0.953849364223982
"ENSG00000160201.7",2288.08953530337,0.058991205822651,0.0489353189451546,1.2054934369339,0.228012870142394,0.76062580502058
"ENSG00000182944.13",7601.96406491027,0.0400419648759481,0.0375087634001202,1.06753625676233,0.28572975040951,0.76062580502058
"ENSG00000099995.14",3412.37877711079,-0.0289613879766463,0.0408347323642474,-0.709234181292278,0.478179165199207,0.912887497198486
