HumanGeneID	HumanGeneName	MouseGeneID	MouseGeneName
ENSG00000003756	RBM5	ENSMUSG00000032580	Rbm5
ENSG00000004534	RBM6	ENSMUSG00000032582	Rbm6
ENSG00000011304	PTBP1	ENSMUSG00000006498	Ptbp1
ENSG00000055917	PUM2	ENSMUSG00000020594	Pum2
ENSG00000063244	U2AF2	ENSMUSG00000030435	U2af2
ENSG00000078328	RBFOX1	ENSMUSG00000008658	Rbfox1
ENSG00000087365	SF3B2	ENSMUSG00000024853	Sf3b2
ENSG00000092199	HNRNPC	ENSMUSG00000060373	Hnrnpc
ENSG00000096063	SRPK1	ENSMUSG00000004865	Srpk1
ENSG00000096746	HNRNPH3	ENSMUSG00000020069	Hnrnph3
ENSG00000099783	HNRNPM	ENSMUSG00000059208	Hnrnpm
ENSG00000099995	SF3A1	ENSMUSG00000002129	Sf3a1
ENSG00000100320	RBFOX2	ENSMUSG00000033565	Rbfox2
ENSG00000100650	SRSF5	ENSMUSG00000021134	Srsf5
ENSG00000101161	PRPF6	ENSMUSG00000002455	Prpf6
ENSG00000101489	CELF4	ENSMUSG00000024268	Celf4
ENSG00000103067	ESRP2	ENSMUSG00000084128	Esrp2
ENSG00000104413	ESRP1	ENSMUSG00000040728	Esrp1
ENSG00000104824	HNRNPL	ENSMUSG00000015165	Hnrnpl
ENSG00000104897	SF3A2	ENSMUSG00000020211	Sf3a2
ENSG00000105323	HNRNPUL1	ENSMUSG00000040725	Hnrnpul1
ENSG00000105618	PRPF31	ENSMUSG00000008373	Prpf31
ENSG00000109381	ELF2	ENSMUSG00000037174	Elf2
ENSG00000110107	PRPF19	ENSMUSG00000024735	Prpf19
ENSG00000110844	PRPF40B	ENSMUSG00000023007	Prpf40b
ENSG00000111786	SRSF9	ENSMUSG00000029538	Srsf9
ENSG00000112081	SRSF3	ENSMUSG00000071172	Srsf3
ENSG00000112081	SRSF3	ENSMUSG00000078134	Gm12355
ENSG00000112531	QKI	ENSMUSG00000062078	Qk
ENSG00000112739	PRPF4B	ENSMUSG00000021413	Prpf4b
ENSG00000115128	SF3B6	ENSMUSG00000037361	Sf3b6
ENSG00000115524	SF3B1	ENSMUSG00000025982	Sf3b1
ENSG00000115875	SRSF7	ENSMUSG00000024097	Srsf7
ENSG00000116350	SRSF4	ENSMUSG00000028911	Srsf4
ENSG00000116754	SRSF11	ENSMUSG00000055436	Srsf11
ENSG00000117360	PRPF3	ENSMUSG00000015748	Prpf3
ENSG00000117569	PTBP2	ENSMUSG00000028134	Ptbp2
ENSG00000119314	PTBP3	ENSMUSG00000028382	Ptbp3
ENSG00000122566	HNRNPA2B1	ENSMUSG00000004980	Hnrnpa2b1
ENSG00000124193	SRSF6	ENSMUSG00000016921	Srsf6
ENSG00000125944	HNRNPR	ENSMUSG00000066037	Hnrnpr
ENSG00000126945	HNRNPH2	ENSMUSG00000045427	Hnrnph2
ENSG00000134186	PRPF38B	ENSMUSG00000027881	Prpf38b
ENSG00000134644	PUM1	ENSMUSG00000028580	Pum1
ENSG00000134748	PRPF38A	ENSMUSG00000063800	Prpf38a
ENSG00000135250	SRPK2	ENSMUSG00000062604	Srpk2
ENSG00000135486	HNRNPA1	ENSMUSG00000046434	Hnrnpa1
ENSG00000136450	SRSF1	ENSMUSG00000018379	Srsf1
ENSG00000136527	TRA2B	ENSMUSG00000022858	Tra2b
ENSG00000136875	PRPF4	ENSMUSG00000066148	Prpf4
ENSG00000138668	HNRNPD	ENSMUSG00000000568	Hnrnpd
ENSG00000140488	CELF6	ENSMUSG00000032297	Celf6
ENSG00000143368	SF3B4	ENSMUSG00000068856	Sf3b4
ENSG00000143889	HNRNPLL	ENSMUSG00000024095	Hnrnpll
ENSG00000152795	HNRNPDL	ENSMUSG00000029328	Hnrnpdl
ENSG00000153187	HNRNPU	ENSMUSG00000039630	Hnrnpu
ENSG00000154548	SRSF12	ENSMUSG00000054679	Srsf12
ENSG00000159409	CELF3	ENSMUSG00000028137	Celf3
ENSG00000161082	CELF5	ENSMUSG00000034818	Celf5
ENSG00000161547	SRSF2	ENSMUSG00000034120	Srsf2
ENSG00000164548	TRA2A	ENSMUSG00000029817	Tra2a
ENSG00000165119	HNRNPK	ENSMUSG00000021546	Hnrnpk
