ENSG_ver	ENSG_no_ver	GeneSymbol	chr
1	ENSG00000183878.15	ENSG00000183878	UTY	chrY
2	ENSG00000129824.15	ENSG00000129824	RPS4Y1	chrY
3	ENSG00000233864.7	ENSG00000233864	NA	NA
4	ENSG00000012817.15	ENSG00000012817	KDM5D	chrY
5	ENSG00000231535.5	ENSG00000231535	LINC00278	chrY
6	ENSG00000215580.10	ENSG00000215580	BCORP1	chrY
7	ENSG00000176728.7	ENSG00000176728	TTTY14	chrY
8	ENSG00000099725.14	ENSG00000099725	PRKY	chrY
9	ENSG00000241859.6	ENSG00000241859	ANOS2P	chrY
10	ENSG00000067646.11	ENSG00000067646	ZFY	chrY
11	ENSG00000260197.1	ENSG00000260197	AC010889.1	chrY
12	ENSG00000131002.11	ENSG00000131002	TXLNGY	chrY
13	ENSG00000198692.9	ENSG00000198692	EIF1AY	chrY
14	ENSG00000067048.16	ENSG00000067048	DDX3Y	chrY
15	ENSG00000154620.5	ENSG00000154620	TMSB4Y	chrY
16	ENSG00000229807.10	ENSG00000229807	XIST	chrX
17	ENSG00000229236.1	ENSG00000229236	TTTY10	chrY
18	ENSG00000114374.12	ENSG00000114374	USP9Y	chrY
19	ENSG00000226918.1	ENSG00000226918	AC010086.1	chrY
20	ENSG00000270641.1	ENSG00000270641	TSIX	chrX
21	ENSG00000278847.1	ENSG00000278847	AC006157.1	chrY
22	ENSG00000233070.1	ENSG00000233070	ZFY-AS1	chrY
23	ENSG00000280969.1	ENSG00000280969	RPS4Y2	chrY
24	ENSG00000089472.16	ENSG00000089472	HEPH	chrX
25	ENSG00000184368.15	ENSG00000184368	MAP7D2	chrX
26	ENSG00000232634.1	ENSG00000232634	NEFLP1	chrY
27	ENSG00000254488.1	ENSG00000254488	AC007876.1	chrY
28	ENSG00000147050.14	ENSG00000147050	KDM6A	chrX
29	ENSG00000165246.13	ENSG00000165246	NLGN4Y	chrY
30	ENSG00000267793.1	ENSG00000267793	AC009977.1	chrY
31	ENSG00000188937.5	ENSG00000188937	NYX	chrX
32	ENSG00000206159.10	ENSG00000206159	GYG2P1	chrY
33	ENSG00000173674.10	ENSG00000173674	EIF1AX	chrX
34	ENSG00000005889.15	ENSG00000005889	ZFX	chrX
35	ENSG00000130741.10	ENSG00000130741	EIF2S3	chrX
36	ENSG00000072501.17	ENSG00000072501	SMC1A	chrX
37	ENSG00000225624.1	ENSG00000225624	TBL1YP1	chrY
38	ENSG00000278212.1	ENSG00000278212	AC134878.2	chrY
39	ENSG00000149531.15	ENSG00000149531	FRG1BP	chr20
40	ENSG00000205611.4	ENSG00000205611	LINC01597	chr20
41	ENSG00000147113.16	ENSG00000147113	DIPK2B	chrX
42	ENSG00000228411.1	ENSG00000228411	CDY4P	chrY
43	ENSG00000006757.11	ENSG00000006757	PNPLA4	chrX
44	ENSG00000229491.5	ENSG00000229491	AC136489.1	chrX
45	ENSG00000186871.6	ENSG00000186871	ERCC6L	chrX
46	ENSG00000126012.11	ENSG00000126012	KDM5C	chrX
47	ENSG00000102055.6	ENSG00000102055	PPP1R2C	chrX
48	ENSG00000006756.15	ENSG00000006756	ARSD	chrX
49	ENSG00000205664.10	ENSG00000205664	NA	NA
50	ENSG00000225470.7	ENSG00000225470	JPX	chrX
51	ENSG00000226863.1	ENSG00000226863	SHROOM2P1	chrY
52	ENSG00000130021.13	ENSG00000130021	PUDP	chrX
53	ENSG00000223915.1	ENSG00000223915	DPPA2P1	chrY
54	ENSG00000185753.12	ENSG00000185753	CXorf38	chrX
55	ENSG00000184895.7	ENSG00000184895	SRY	chrY
56	ENSG00000229308.1	ENSG00000229308	AC010737.1	chrY
57	ENSG00000237294.1	ENSG00000237294	EIF4BP9	chrX
58	ENSG00000282826.1	ENSG00000282826	FRG1CP	chr20
59	ENSG00000253967.1	ENSG00000253967	AC022730.4	chr8
60	ENSG00000086712.12	ENSG00000086712	TXLNG	chrX
61	ENSG00000142606.15	ENSG00000142606	MMEL1	chr1
62	ENSG00000227289.1	ENSG00000227289	HSFY3P	chrY
63	ENSG00000215301.9	ENSG00000215301	DDX3X	chrX
64	ENSG00000169249.12	ENSG00000169249	ZRSR2	chrX
65	ENSG00000002586.18	ENSG00000002586	CD99	chrX
66	ENSG00000234795.9	ENSG00000234795	RFTN1P1	chrY
67	ENSG00000235462.1	ENSG00000235462	TAB3P1	chrY
68	ENSG00000069509.5	ENSG00000069509	FUNDC1	chrX
69	ENSG00000217896.2	ENSG00000217896	ZNF839P1	chrY
70	ENSG00000213096.10	ENSG00000213096	ZNF254	chr19
71	ENSG00000213988.10	ENSG00000213988	ZNF90	chr19
72	ENSG00000157870.14	ENSG00000157870	PRXL2B	chr1
73	ENSG00000080007.7	ENSG00000080007	DDX43	chr6
74	ENSG00000110031.12	ENSG00000110031	LPXN	chr11
75	ENSG00000255571.8	ENSG00000255571	MIR9-3HG	chr15
76	ENSG00000165617.14	ENSG00000165617	DACT1	chr14
77	ENSG00000101846.6	ENSG00000101846	STS	chrX
78	ENSG00000165626.16	ENSG00000165626	BEND7	chr10
79	ENSG00000022556.15	ENSG00000022556	NLRP2	chr19
80	ENSG00000274588.1	ENSG00000274588	DGKK	chrX
81	ENSG00000198034.10	ENSG00000198034	RPS4X	chrX
82	ENSG00000184635.14	ENSG00000184635	ZNF93	chr19
83	ENSG00000107829.13	ENSG00000107829	FBXW4	chr10
84	ENSG00000237238.2	ENSG00000237238	BMS1P10	chr9
85	ENSG00000229163.2	ENSG00000229163	NAP1L1P2	chrY
86	ENSG00000196433.12	ENSG00000196433	ASMT	chrX
87	ENSG00000123933.16	ENSG00000123933	MXD4	chr4
88	ENSG00000206560.11	ENSG00000206560	ANKRD28	chr3
89	ENSG00000092377.13	ENSG00000092377	TBL1Y	chrY
90	ENSG00000183943.5	ENSG00000183943	PRKX	chrX
91	ENSG00000237659.1	ENSG00000237659	RNASEH2CP1	chrY
92	ENSG00000183690.12	ENSG00000183690	EFHC2	chrX
93	ENSG00000120051.14	ENSG00000120051	CFAP58	chr10
94	ENSG00000230663.1	ENSG00000230663	FAM224B	chrY
95	ENSG00000168916.15	ENSG00000168916	ZNF608	chr5
96	ENSG00000007341.18	ENSG00000007341	ST7L	chr1
97	ENSG00000181458.10	ENSG00000181458	TMEM45A	chr3
98	ENSG00000160917.14	ENSG00000160917	CPSF4	chr7
99	ENSG00000117791.15	ENSG00000117791	MARC2	chr1
100	ENSG00000115339.13	ENSG00000115339	GALNT3	chr2
101	ENSG00000175928.5	ENSG00000175928	LRRN1	chr3
102	ENSG00000231453.1	ENSG00000231453	LINC01305	chr2
103	ENSG00000107317.12	ENSG00000107317	PTGDS	chr9
104	ENSG00000178814.16	ENSG00000178814	OPLAH	chr8
105	ENSG00000180574.3	ENSG00000180574	EIF2S3B	chr12
106	ENSG00000130985.16	ENSG00000130985	UBA1	chrX
107	ENSG00000160471.12	ENSG00000160471	COX6B2	chr19
108	ENSG00000068784.12	ENSG00000068784	SRBD1	chr2
109	ENSG00000158423.16	ENSG00000158423	RIBC1	chrX
110	ENSG00000132522.15	ENSG00000132522	GPS2	chr17
111	ENSG00000136286.14	ENSG00000136286	MYO1G	chr7
112	ENSG00000161671.16	ENSG00000161671	EMC10	chr19
113	ENSG00000169100.13	ENSG00000169100	SLC25A6	chrX
114	ENSG00000091542.8	ENSG00000091542	ALKBH5	chr17
115	ENSG00000279400.1	ENSG00000279400	AC008957.3	chr5
116	ENSG00000282850.2	ENSG00000282850	RHOXF1P2	chrX
117	ENSG00000186281.12	ENSG00000186281	GPAT2	chr2
118	ENSG00000168367.9	ENSG00000168367	LINC00917	chr16
119	ENSG00000255346.9	ENSG00000255346	NOX5	chr15
120	ENSG00000171451.13	ENSG00000171451	DSEL	chr18
121	ENSG00000172824.14	ENSG00000172824	CES4A	chr16
122	ENSG00000167634.12	ENSG00000167634	NLRP7	chr19
123	ENSG00000169727.12	ENSG00000169727	GPS1	chr17
124	ENSG00000198546.14	ENSG00000198546	ZNF511	chr10
125	ENSG00000070770.8	ENSG00000070770	CSNK2A2	chr16
126	ENSG00000258484.3	ENSG00000258484	SPESP1	chr15
127	ENSG00000138738.10	ENSG00000138738	PRDM5	chr4
128	ENSG00000250696.5	ENSG00000250696	AC111000.4	chr4
129	ENSG00000132204.13	ENSG00000132204	LINC00470	chr18
130	ENSG00000231233.1	ENSG00000231233	CFAP58-DT	chr10
131	ENSG00000173040.12	ENSG00000173040	EVC2	chr4
132	ENSG00000215414.4	ENSG00000215414	PSMA6P1	chrY
133	ENSG00000152953.12	ENSG00000152953	STK32B	chr4
134	ENSG00000185122.10	ENSG00000185122	HSF1	chr8
135	ENSG00000142408.4	ENSG00000142408	CACNG8	chr19
136	ENSG00000225026.1	ENSG00000225026	AC091492.1	chr3
137	ENSG00000169239.12	ENSG00000169239	CA5B	chrX
138	ENSG00000204227.4	ENSG00000204227	RING1	chr6
139	ENSG00000110025.12	ENSG00000110025	SNX15	chr11
140	ENSG00000256969.1	ENSG00000256969	AC007207.2	chr12
141	ENSG00000124155.17	ENSG00000124155	PIGT	chr20
142	ENSG00000178605.13	ENSG00000178605	GTPBP6	chrX
143	ENSG00000279713.1	ENSG00000279713	AC080038.4	chr17
144	ENSG00000270983.1	ENSG00000270983	AL589674.1	chr6
145	ENSG00000233030.2	ENSG00000233030	AC243772.2	chr1
146	ENSG00000103355.13	ENSG00000103355	PRSS33	chr16
147	ENSG00000161956.12	ENSG00000161956	SENP3	chr17
148	ENSG00000187848.12	ENSG00000187848	P2RX2	chr12
149	ENSG00000175634.14	ENSG00000175634	RPS6KB2	chr11
150	ENSG00000169718.17	ENSG00000169718	DUS1L	chr17
151	ENSG00000277526.4	ENSG00000277526	AC245123.1	chr8
152	ENSG00000105948.13	ENSG00000105948	TTC26	chr7
153	ENSG00000115109.13	ENSG00000115109	EPB41L5	chr2
154	ENSG00000109066.13	ENSG00000109066	TMEM104	chr17
155	ENSG00000131116.11	ENSG00000131116	ZNF428	chr19
156	ENSG00000110697.12	ENSG00000110697	PITPNM1	chr11
157	ENSG00000182263.13	ENSG00000182263	FIGN	chr2
158	ENSG00000260284.1	ENSG00000260284	TPSP2	chr16
159	ENSG00000185527.11	ENSG00000185527	AC139530.1	chr17
160	ENSG00000256771.3	ENSG00000256771	ZNF253	chr19
161	ENSG00000198216.10	ENSG00000198216	CACNA1E	chr1
162	ENSG00000272602.5	ENSG00000272602	ZNF595	chr4
163	ENSG00000234449.2	ENSG00000234449	NA	NA
164	ENSG00000125991.19	ENSG00000125991	ERGIC3	chr20
165	ENSG00000264491.1	ENSG00000264491	AC005544.1	chr17
166	ENSG00000154529.14	ENSG00000154529	CNTNAP3B	chr9
167	ENSG00000175826.11	ENSG00000175826	CTDNEP1	chr17
168	ENSG00000259150.5	ENSG00000259150	LINC00929	chr15
169	ENSG00000185875.12	ENSG00000185875	THNSL1	chr10
170	ENSG00000235782.1	ENSG00000235782	AL031429.1	chr1
171	ENSG00000161960.14	ENSG00000161960	EIF4A1	chr17
172	ENSG00000196459.13	ENSG00000196459	TRAPPC2	chrX
173	ENSG00000236154.1	ENSG00000236154	AL450311.1	chr10
174	ENSG00000237410.1	ENSG00000237410	AP001092.1	chr11
175	ENSG00000196636.7	ENSG00000196636	SDHAF3	chr7
176	ENSG00000114770.16	ENSG00000114770	ABCC5	chr3
177	ENSG00000101365.20	ENSG00000101365	IDH3B	chr20
178	ENSG00000257346.1	ENSG00000257346	AC011603.1	chr12
179	ENSG00000165533.18	ENSG00000165533	TTC8	chr14
180	ENSG00000257156.1	ENSG00000257156	NA	NA
181	ENSG00000256229.7	ENSG00000256229	ZNF486	chr19
182	ENSG00000196345.12	ENSG00000196345	ZKSCAN7	chr3
183	ENSG00000248406.1	ENSG00000248406	AC008758.3	chr19
184	ENSG00000212195.2	ENSG00000212195	RF00012	chr17
185	ENSG00000078399.17	ENSG00000078399	HOXA9	chr7
186	ENSG00000171735.18	ENSG00000171735	CAMTA1	chr1
187	ENSG00000049246.14	ENSG00000049246	PER3	chr1
188	ENSG00000104320.13	ENSG00000104320	NBN	chr8
189	ENSG00000164897.12	ENSG00000164897	TMUB1	chr7
190	ENSG00000196466.10	ENSG00000196466	ZNF799	chr19
191	ENSG00000106714.17	ENSG00000106714	CNTNAP3	chr9
192	ENSG00000273906.1	ENSG00000273906	AC011297.1	chrY
193	ENSG00000122417.15	ENSG00000122417	ODF2L	chr1
194	ENSG00000214402.6	ENSG00000214402	LCNL1	chr9
195	ENSG00000118690.12	ENSG00000118690	ARMC2	chr6
196	ENSG00000257666.1	ENSG00000257666	CBX3P5	chr12
197	ENSG00000239622.1	ENSG00000239622	AC005165.2	chr7
198	ENSG00000235529.1	ENSG00000235529	AGAP1-IT1	chr2
199	ENSG00000236785.1	ENSG00000236785	SDR42E1P5	chr2
200	ENSG00000142002.16	ENSG00000142002	DPP9	chr19
201	ENSG00000243504.1	ENSG00000243504	RPS23P1	chr8
202	ENSG00000067829.18	ENSG00000067829	IDH3G	chrX
203	ENSG00000140400.16	ENSG00000140400	MAN2C1	chr15
204	ENSG00000236481.1	ENSG00000236481	LINC02195	chr16
205	ENSG00000205861.11	ENSG00000205861	PCOTH	chr13
206	ENSG00000162946.21	ENSG00000162946	DISC1	chr1
207	ENSG00000116198.12	ENSG00000116198	CEP104	chr1
208	ENSG00000070269.13	ENSG00000070269	TMEM260	chr14
209	ENSG00000167186.10	ENSG00000167186	COQ7	chr16
210	ENSG00000132535.18	ENSG00000132535	DLG4	chr17
211	ENSG00000186086.18	ENSG00000186086	NBPF6	chr1
212	ENSG00000239697.10	ENSG00000239697	TNFSF12	chr17
213	ENSG00000235192.1	ENSG00000235192	AC009495.3	chr2
214	ENSG00000104976.11	ENSG00000104976	SNAPC2	chr19
215	ENSG00000091844.7	ENSG00000091844	RGS17	chr6
216	ENSG00000130811.11	ENSG00000130811	EIF3G	chr19
217	ENSG00000175390.13	ENSG00000175390	EIF3F	chr11
218	ENSG00000139637.13	ENSG00000139637	C12orf10	chr12
219	ENSG00000172375.12	ENSG00000172375	C2CD2L	chr11
220	ENSG00000240849.10	ENSG00000240849	TMEM189	chr20
221	ENSG00000213318.4	ENSG00000213318	AC009078.1	chr16
222	ENSG00000224387.1	ENSG00000224387	AL139246.1	chr1
223	ENSG00000281969.1	ENSG00000281969	AL592158.1	chr6
224	ENSG00000255387.1	ENSG00000255387	AC015689.2	chr11
225	ENSG00000165637.13	ENSG00000165637	VDAC2	chr10
226	ENSG00000196581.10	ENSG00000196581	AJAP1	chr1
227	ENSG00000231995.2	ENSG00000231995	AL590399.4	chr9
228	ENSG00000220586.1	ENSG00000220586	TUBBP9	chr6
229	ENSG00000227773.1	ENSG00000227773	ASH1L-IT1	chr1
230	ENSG00000198026.7	ENSG00000198026	ZNF335	chr20
231	ENSG00000103266.10	ENSG00000103266	STUB1	chr16
232	ENSG00000115604.10	ENSG00000115604	IL18R1	chr2
233	ENSG00000213343.5	ENSG00000213343	RPL21P18	chr12
234	ENSG00000124507.10	ENSG00000124507	PACSIN1	chr6
235	ENSG00000113430.9	ENSG00000113430	IRX4	chr5
236	ENSG00000183146.4	ENSG00000183146	PRORY	chrY
237	ENSG00000073331.17	ENSG00000073331	ALPK1	chr4
238	ENSG00000115274.14	ENSG00000115274	INO80B	chr2
239	ENSG00000130414.11	ENSG00000130414	NDUFA10	chr2
240	ENSG00000222503.1	ENSG00000222503	RF00019	chr10
241	ENSG00000198912.10	ENSG00000198912	C1orf174	chr1
242	ENSG00000106290.14	ENSG00000106290	TAF6	chr7
243	ENSG00000072694.20	ENSG00000072694	FCGR2B	chr1
244	ENSG00000087088.19	ENSG00000087088	BAX	chr19
245	ENSG00000275774.2	ENSG00000275774	HNRNPCL2	chr1
246	ENSG00000115694.14	ENSG00000115694	STK25	chr2
247	ENSG00000161912.17	ENSG00000161912	ADCY10P1	chr6
248	ENSG00000162888.4	ENSG00000162888	C1orf147	chr1
249	ENSG00000225706.1	ENSG00000225706	PTPRD-AS1	chr9
250	ENSG00000143367.15	ENSG00000143367	TUFT1	chr1
251	ENSG00000091436.16	ENSG00000091436	MAP3K20	chr2
252	ENSG00000262670.5	ENSG00000262670	NA	NA
253	ENSG00000214203.4	ENSG00000214203	RPS4XP1	chr12
254	ENSG00000117362.12	ENSG00000117362	APH1A	chr1
255	ENSG00000135390.17	ENSG00000135390	ATP5MC2	chr12
256	ENSG00000255775.1	ENSG00000255775	AC005845.1	chr12
257	ENSG00000230635.2	ENSG00000230635	CYP4F60P	chr9
258	ENSG00000204455.7	ENSG00000204455	TRIM51BP	chr11
259	ENSG00000116809.11	ENSG00000116809	ZBTB17	chr1
260	ENSG00000158062.20	ENSG00000158062	UBXN11	chr1
261	ENSG00000162191.13	ENSG00000162191	UBXN1	chr11
262	ENSG00000152433.14	ENSG00000152433	ZNF547	chr19
263	ENSG00000121775.17	ENSG00000121775	TMEM39B	chr1
264	ENSG00000269210.2	ENSG00000269210	AC019171.1	chr2
265	ENSG00000068903.19	ENSG00000068903	SIRT2	chr19
266	ENSG00000111732.10	ENSG00000111732	AICDA	chr12
267	ENSG00000133937.4	ENSG00000133937	GSC	chr14
268	ENSG00000187017.15	ENSG00000187017	ESPN	chr1
269	ENSG00000134152.10	ENSG00000134152	KATNBL1	chr15
270	ENSG00000072840.12	ENSG00000072840	EVC	chr4
271	ENSG00000103024.7	ENSG00000103024	NME3	chr16
272	ENSG00000027847.13	ENSG00000027847	B4GALT7	chr5
273	ENSG00000224975.1	ENSG00000224975	INE1	chrX
274	ENSG00000255517.6	ENSG00000255517	AP002748.3	chr11
275	ENSG00000236173.1	ENSG00000236173	AL049612.1	chr6
276	ENSG00000133302.12	ENSG00000133302	SLF1	chr5
277	ENSG00000141447.17	ENSG00000141447	OSBPL1A	chr18
278	ENSG00000164889.13	ENSG00000164889	SLC4A2	chr7
279	ENSG00000196653.11	ENSG00000196653	ZNF502	chr3
280	ENSG00000151012.13	ENSG00000151012	SLC7A11	chr4
281	ENSG00000127837.9	ENSG00000127837	AAMP	chr2
282	ENSG00000227063.5	ENSG00000227063	RPL41P1	chr20
283	ENSG00000223637.7	ENSG00000223637	RBMY2EP	chrY
284	ENSG00000153406.13	ENSG00000153406	NMRAL1	chr16
285	ENSG00000173653.7	ENSG00000173653	RCE1	chr11
286	ENSG00000141258.12	ENSG00000141258	SGSM2	chr17
287	ENSG00000159882.12	ENSG00000159882	ZNF230	chr19
288	ENSG00000244038.9	ENSG00000244038	DDOST	chr1
289	ENSG00000196268.11	ENSG00000196268	ZNF493	chr19
290	ENSG00000120217.13	ENSG00000120217	CD274	chr9
291	ENSG00000100083.18	ENSG00000100083	GGA1	chr22
292	ENSG00000182087.12	ENSG00000182087	TMEM259	chr19
293	ENSG00000161905.12	ENSG00000161905	ALOX15	chr17
294	ENSG00000105366.15	ENSG00000105366	SIGLEC8	chr19
295	ENSG00000163273.3	ENSG00000163273	NPPC	chr2
296	ENSG00000279425.1	ENSG00000279425	AC092279.2	chr19
297	ENSG00000282815.1	ENSG00000282815	TEX13C	chrX
298	ENSG00000181690.7	ENSG00000181690	PLAG1	chr8
299	ENSG00000178982.9	ENSG00000178982	EIF3K	chr19
300	ENSG00000100258.17	ENSG00000100258	LMF2	chr22
301	ENSG00000127666.9	ENSG00000127666	TICAM1	chr19
302	ENSG00000086200.16	ENSG00000086200	IPO11	chr5
303	ENSG00000147905.17	ENSG00000147905	ZCCHC7	chr9
304	ENSG00000196387.9	ENSG00000196387	ZNF140	chr12
305	ENSG00000113532.12	ENSG00000113532	ST8SIA4	chr5
306	ENSG00000173812.10	ENSG00000173812	EIF1	chr17
307	ENSG00000204790.9	ENSG00000204790	AL163540.1	chr9
308	ENSG00000105750.14	ENSG00000105750	ZNF85	chr19
309	ENSG00000253143.3	ENSG00000253143	AC022730.3	chr8
310	ENSG00000137414.5	ENSG00000137414	FAM8A1	chr6
311	ENSG00000174521.7	ENSG00000174521	TTC9B	chr19
312	ENSG00000144130.11	ENSG00000144130	NT5DC4	chr2
313	ENSG00000173930.8	ENSG00000173930	SLCO4C1	chr5
314	ENSG00000283154.2	ENSG00000283154	IQCJ-SCHIP1	chr3
315	ENSG00000132507.17	ENSG00000132507	EIF5A	chr17
316	ENSG00000234026.1	ENSG00000234026	AL157834.2	chr10
317	ENSG00000109065.11	ENSG00000109065	NAT9	chr17
318	ENSG00000067066.16	ENSG00000067066	SP100	chr2
319	ENSG00000188487.11	ENSG00000188487	INSC	chr11
320	ENSG00000100949.14	ENSG00000100949	RABGGTA	chr14
321	ENSG00000228764.1	ENSG00000228764	ZNF885P	chrY
322	ENSG00000104341.16	ENSG00000104341	LAPTM4B	chr8
323	ENSG00000167658.15	ENSG00000167658	EEF2	chr19
324	ENSG00000140795.12	ENSG00000140795	MYLK3	chr16
325	ENSG00000230470.1	ENSG00000230470	AL078645.1	chr1
326	ENSG00000157368.10	ENSG00000157368	IL34	chr16
327	ENSG00000130758.7	ENSG00000130758	MAP3K10	chr19
328	ENSG00000102103.15	ENSG00000102103	PQBP1	chrX
329	ENSG00000272783.1	ENSG00000272783	AC147067.2	chr4
330	ENSG00000144021.2	ENSG00000144021	CIAO1	chr2
331	ENSG00000122483.17	ENSG00000122483	CCDC18	chr1
332	ENSG00000105251.10	ENSG00000105251	SHD	chr19
333	ENSG00000101577.9	ENSG00000101577	LPIN2	chr18
334	ENSG00000101294.16	ENSG00000101294	HM13	chr20
335	ENSG00000261504.1	ENSG00000261504	LINC01686	chr1
336	ENSG00000245680.9	ENSG00000245680	ZNF585B	chr19
337	ENSG00000104472.9	ENSG00000104472	CHRAC1	chr8
338	ENSG00000250510.7	ENSG00000250510	GPR162	chr12
339	ENSG00000214413.7	ENSG00000214413	BBIP1	chr10
340	ENSG00000177374.12	ENSG00000177374	HIC1	chr17
341	ENSG00000130640.13	ENSG00000130640	TUBGCP2	chr10
342	ENSG00000234389.1	ENSG00000234389	AC007278.1	chr2
343	ENSG00000130433.7	ENSG00000130433	CACNG6	chr19
344	ENSG00000129968.15	ENSG00000129968	ABHD17A	chr19
345	ENSG00000115286.19	ENSG00000115286	NDUFS7	chr19
346	ENSG00000148634.15	ENSG00000148634	HERC4	chr10
347	ENSG00000161652.12	ENSG00000161652	IZUMO2	chr19
348	ENSG00000236255.1	ENSG00000236255	AC009404.1	chr2
349	ENSG00000214113.10	ENSG00000214113	LYRM4	chr6
