ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
1	"ENSG00000034152.18"	"MAP2K3"	chr17	+	21287990	21288091	21284709	21284969	21295674	21295769
2	"ENSG00000034152.18"	"MAP2K3"	chr17	+	21303182	21303234	21302142	21302259	21304425	21304553
3	"ENSG00000034152.18"	"MAP2K3"	chr17	+	21295674	21295769	21287990	21288091	21296085	21296143
4	"ENSG00000034152.18"	"MAP2K3"	chr17	+	21295674	21295769	21287990	21288091	21298412	21298479
5	"ENSG00000034152.18"	"MAP2K3"	chr17	+	21295674	21295769	21284710	21284969	21296085	21296143
6	"ENSG00000034152.18"	"MAP2K3"	chr17	+	21295674	21295769	21284710	21284969	21298412	21298479
7	"ENSG00000034152.18"	"MAP2K3"	chr17	+	21296085	21296210	21295674	21295769	21298412	21298444
8	"ENSG00000034152.18"	"MAP2K3"	chr17	+	21296085	21296210	21284671	21284969	21298412	21298444
9	"ENSG00000034152.18"	"MAP2K3"	chr17	+	21296085	21296210	21288045	21288091	21298412	21298444
10	"ENSG00000105072.8"	"C19orf44"	chr19	+	16514549	16514663	16513013	16513109	16517229	16517341
11	"ENSG00000105072.8"	"C19orf44"	chr19	+	16503064	16503380	16500791	16501551	16506700	16506774
12	"ENSG00000105072.8"	"C19orf44"	chr19	+	16514496	16514663	16513013	16513109	16517229	16517341
13	"ENSG00000105072.8"	"C19orf44"	chr19	+	16513013	16513109	16509498	16509988	16514496	16514663
14	"ENSG00000105072.8"	"C19orf44"	chr19	+	16499473	16499620	16496455	16496692	16500791	16500976
15	"ENSG00000143257.11"	"NR1I3"	chr1	-	161231116	161231245	161230812	161230933	161231328	161231474
16	"ENSG00000143257.11"	"NR1I3"	chr1	-	161231116	161231245	161230812	161230918	161231328	161231474
17	"ENSG00000143257.11"	"NR1I3"	chr1	-	161232806	161232946	161230930	161231474	161235846	161235977
18	"ENSG00000143257.11"	"NR1I3"	chr1	-	161236529	161236598	161235846	161235977	161238040	161238101
19	"ENSG00000143257.11"	"NR1I3"	chr1	-	161236458	161236598	161235846	161235977	161238040	161238101
20	"ENSG00000143257.11"	"NR1I3"	chr1	-	161233168	161233338	161232806	161232946	161235846	161235977
21	"ENSG00000143257.11"	"NR1I3"	chr1	-	161231116	161231233	161230344	161230918	161231328	161231474
22	"ENSG00000143257.11"	"NR1I3"	chr1	-	161231116	161231233	161230812	161230933	161231328	161231474
23	"ENSG00000203386.6"	"LINC01317"	chr2	+	33886371	33886474	33855687	33855753	33926839	33926968
24	"ENSG00000183527.11"	"PSMG1"	chr21	-	39179923	39179986	39178448	39178647	39180284	39180436
25	"ENSG00000183527.11"	"PSMG1"	chr21	-	39181771	39181878	39180284	39180436	39183251	39183488
26	"ENSG00000228142.2"	"RP11-180I4.2"	chr9	+	95685142	95685251	95650161	95650241	95715403	95715697
27	"ENSG00000060718.19"	"COL11A1"	chr1	-	103025799	103025952	103025520	103025613	103031115	103031244
28	"ENSG00000060718.19"	"COL11A1"	chr1	-	103026215	103026332	103025520	103025613	103031115	103031244
29	"ENSG00000060718.19"	"COL11A1"	chr1	-	102979596	102979612	102979381	102979435	102984137	102984191
30	"ENSG00000060718.19"	"COL11A1"	chr1	-	103003214	103003268	103002746	103002791	103004443	103004488
31	"ENSG00000198492.15"	"YTHDF2"	chr1	+	28737657	28737682	28737046	28737147	28738258	28738338
32	"ENSG00000128710.5"	"HOXD10"	chr2	+	176111382	176111516	176108876	176109358	176118953	176119243
33	"ENSG00000068650.18"	"ATP11A"	chr13	+	112851036	112851218	112842275	112842379	112854278	112854530
34	"ENSG00000068650.18"	"ATP11A"	chr13	+	112860286	112860414	112859392	112859452	112862439	112862575
35	"ENSG00000174938.14"	"SEZ6L2"	chr16	-	29879863	29880064	29878286	29878425	29885585	29885749
36	"ENSG00000174938.14"	"SEZ6L2"	chr16	-	29895720	29895860	29895258	29895460	29896821	29897121
37	"ENSG00000174938.14"	"SEZ6L2"	chr16	-	29872704	29872743	29872408	29872526	29873239	29873431
38	"ENSG00000174938.14"	"SEZ6L2"	chr16	-	29897852	29897984	29896821	29897121	29898940	29899547
39	"ENSG00000174938.14"	"SEZ6L2"	chr16	-	29895258	29895460	29888539	29888725	29896821	29897121
40	"ENSG00000228630.5"	"HOTAIR"	chr12	-	53964230	53964283	53963900	53964124	53965963	53966059
41	"ENSG00000228630.5"	"HOTAIR"	chr12	-	53967268	53967394	53966275	53966377	53968616	53968756
42	"ENSG00000117480.15"	"FAAH"	chr1	+	46411611	46411651	46410813	46410854	46412142	46412251
43	"ENSG00000131981.15"	"LGALS3"	chr14	+	55137369	55137391	55129043	55129300	55138044	55138368
44	"ENSG00000131981.15"	"LGALS3"	chr14	+	55137626	55137694	55137368	55137391	55138044	55138368
45	"ENSG00000137841.11"	"PLCB2"	chr15	-	40290024	40290082	40289271	40289358	40290576	40290672
46	"ENSG00000137841.11"	"PLCB2"	chr15	-	40291017	40291183	40290760	40290837	40291264	40291487
47	"ENSG00000137841.11"	"PLCB2"	chr15	-	40291605	40291650	40291264	40291487	40291848	40291924
48	"ENSG00000068438.14"	"FTSJ1"	chrX	+	48483240	48483341	48482985	48483027	48485735	48485984
49	"ENSG00000068438.14"	"FTSJ1"	chrX	+	48481150	48481203	48479037	48479116	48481288	48481342
50	"ENSG00000068438.14"	"FTSJ1"	chrX	+	48479037	48479116	48476020	48476396	48481150	48481203
51	"ENSG00000068438.14"	"FTSJ1"	chrX	+	48476562	48476668	48476160	48476396	48477960	48478168
52	"ENSG00000058335.15"	"RASGRF1"	chr15	-	79012488	79012527	79006176	79006434	79015326	79015409
53	"ENSG00000095261.13"	"PSMD5"	chr9	-	120829098	120829208	120826764	120826907	120831330	120831459
54	"ENSG00000095261.13"	"PSMD5"	chr9	-	120833311	120833456	120831831	120831945	120842736	120842951
55	"ENSG00000095261.13"	"PSMD5"	chr9	-	120831330	120831459	120829098	120829208	120831831	120831945
56	"ENSG00000109919.9"	"MTCH2"	chr11	-	47635544	47635571	47634671	47634734	47638698	47638805
57	"ENSG00000008952.16"	"SEC62"	chr3	+	169969286	169969383	169966813	169966858	169975607	169975716
58	"ENSG00000123901.8"	"GPR83"	chr11	-	94396398	94396524	94393484	94393618	94400860	94401419
59	"ENSG00000254275.6"	"LINC00824"	chr8	-	128422912	128423026	128421742	128421814	128423500	128423593
60	"ENSG00000163357.10"	"DCST1"	chr1	+	155034652	155034727	155034337	155034560	155039402	155039531
61	"ENSG00000163357.10"	"DCST1"	chr1	+	155047786	155047929	155047195	155047312	155048056	155048170
62	"ENSG00000122861.15"	"PLAU"	chr10	+	73912040	73912068	73911524	73911612	73912214	73912322
63	"ENSG00000186088.15"	"GSAP"	chr7	-	77323646	77323742	77321332	77321403	77326211	77326273
64	"ENSG00000186088.15"	"GSAP"	chr7	-	77321332	77321403	77320724	77320819	77323646	77323742
65	"ENSG00000149809.14"	"TM7SF2"	chr11	+	65112810	65112894	65112514	65112711	65113219	65113414
66	"ENSG00000149809.14"	"TM7SF2"	chr11	+	65113219	65113414	65111901	65112865	65113490	65113594
67	"ENSG00000149809.14"	"TM7SF2"	chr11	+	65113219	65113414	65111901	65112865	65114712	65114832
68	"ENSG00000149809.14"	"TM7SF2"	chr11	+	65113219	65113414	65112514	65112711	65114712	65114832
69	"ENSG00000149809.14"	"TM7SF2"	chr11	+	65113368	65113414	65112704	65112865	65113490	65113594
70	"ENSG00000149809.14"	"TM7SF2"	chr11	+	65115774	65115822	65115475	65115598	65115892	65115957
71	"ENSG00000149809.14"	"TM7SF2"	chr11	+	65115475	65115598	65115313	65115394	65115892	65116230
72	"ENSG00000149809.14"	"TM7SF2"	chr11	+	65113523	65113594	65113219	65113414	65114712	65114765
73	"ENSG00000149809.14"	"TM7SF2"	chr11	+	65115313	65115394	65114912	65115081	65115475	65115598
74	"ENSG00000149809.14"	"TM7SF2"	chr11	+	65113490	65113594	65113219	65113414	65114712	65114832
75	"ENSG00000149809.14"	"TM7SF2"	chr11	+	65113490	65113594	65112810	65112865	65114712	65114832
76	"ENSG00000149809.14"	"TM7SF2"	chr11	+	65112810	65112865	65112514	65112711	65113219	65113414
77	"ENSG00000149809.14"	"TM7SF2"	chr11	+	65112810	65112865	65112514	65112711	65114712	65114832
78	"ENSG00000028310.17"	"BRD9"	chr5	-	883937	884070	879793	879889	886591	886707
79	"ENSG00000028310.17"	"BRD9"	chr5	-	869244	869394	865413	865581	870472	870575
80	"ENSG00000028310.17"	"BRD9"	chr5	-	883350	883450	881106	881182	883937	884070
81	"ENSG00000028310.17"	"BRD9"	chr5	-	869037	869119	868701	868804	869244	869394
82	"ENSG00000028310.17"	"BRD9"	chr5	-	868606	869119	865413	865581	869244	869404
83	"ENSG00000028310.17"	"BRD9"	chr5	-	881106	881182	879793	879889	883937	884070
84	"ENSG00000028310.17"	"BRD9"	chr5	-	881106	881182	879793	879889	883331	883369
85	"ENSG00000028310.17"	"BRD9"	chr5	-	869244	869404	865413	865581	870472	870575
86	"ENSG00000028310.17"	"BRD9"	chr5	-	888234	888407	887360	887471	889020	889165
87	"ENSG00000183196.8"	"CHST6"	chr16	-	75490613	75490769	75481816	75481891	75494939	75495384
88	"ENSG00000103540.16"	"CCP110"	chr16	+	19525718	19525861	19523810	19524088	19527866	19528022
89	"ENSG00000103540.16"	"CCP110"	chr16	+	19548514	19548600	19547954	19548014	19551195	19553408
90	"ENSG00000103540.16"	"CCP110"	chr16	+	19532415	19532544	19527835	19528022	19535939	19537587
91	"ENSG00000103540.16"	"CCP110"	chr16	+	19524779	19525019	19523938	19524088	19525718	19525861
92	"ENSG00000103540.16"	"CCP110"	chr16	+	19524779	19525224	19523941	19524088	19525718	19525799
93	"ENSG00000169598.15"	"DFFB"	chr1	+	3866283	3866398	3865811	3866000	3867973	3868053
94	"ENSG00000169598.15"	"DFFB"	chr1	+	3860419	3860506	3858717	3858844	3865811	3866000
95	"ENSG00000169598.15"	"DFFB"	chr1	+	3873013	3873137	3872471	3872572	3883506	3885429
96	"ENSG00000083838.15"	"ZNF446"	chr19	+	58476439	58476504	58476155	58476196	58477178	58477560
97	"ENSG00000083838.15"	"ZNF446"	chr19	+	58479642	58479727	58478086	58478181	58479929	58480019
98	"ENSG00000070814.17"	"TCOF1"	chr5	+	150391543	150391795	150389886	150390023	150391956	150394916
99	"ENSG00000070814.17"	"TCOF1"	chr5	+	150383061	150383172	150379531	150379732	150387901	150388088
100	"ENSG00000070814.17"	"TCOF1"	chr5	+	150391543	150391657	150389886	150390023	150391956	150392176
101	"ENSG00000070814.17"	"TCOF1"	chr5	+	150383064	150383172	150379655	150379732	150383737	150384253
102	"ENSG00000070814.17"	"TCOF1"	chr5	+	150372005	150372236	150369528	150369602	150374173	150374386
103	"ENSG00000121864.9"	"ZNF639"	chr3	+	179329933	179330055	179329633	179329728	179332988	179333123
104	"ENSG00000121864.9"	"ZNF639"	chr3	+	179324949	179324993	179323245	179323291	179327560	179327631
105	"ENSG00000121864.9"	"ZNF639"	chr3	+	179325041	179325322	179323075	179323291	179327560	179327631
106	"ENSG00000181004.9"	"BBS12"	chr4	+	122733903	122734091	122732796	122732884	122741882	122742465
107	"ENSG00000177963.13"	"RIC8A"	chr11	+	210406	210445	209629	210000	210570	210662
108	"ENSG00000214783.9"	"POLR2J4"	chr7	-	43969731	43969861	43966263	43966395	43972629	43972691
109	"ENSG00000214783.9"	"POLR2J4"	chr7	-	44014605	44014783	44013592	44013679	44016433	44016523
110	"ENSG00000147408.14"	"CSGALNACT1"	chr8	-	19585165	19585317	19506115	19506130	19601770	19601865
111	"ENSG00000147408.14"	"CSGALNACT1"	chr8	-	19732455	19732566	19601770	19601865	19757185	19757217
112	"ENSG00000147408.14"	"CSGALNACT1"	chr8	-	19457529	19457816	19439829	19439931	19458425	19458642
113	"ENSG00000147408.14"	"CSGALNACT1"	chr8	-	19601770	19601865	19505522	19506130	19757849	19757938
114	"ENSG00000147408.14"	"CSGALNACT1"	chr8	-	19591159	19591278	19505200	19506130	19601770	19601865
115	"ENSG00000147408.14"	"CSGALNACT1"	chr8	-	19591159	19591278	19587928	19588023	19601770	19601865
116	"ENSG00000166455.13"	"C16orf46"	chr16	-	81066192	81066281	81063753	81063993	81077135	81077244
117	"ENSG00000166455.13"	"C16orf46"	chr16	-	81063745	81063993	81060979	81062138	81077135	81077213
118	"ENSG00000139436.20"	"GIT2"	chr12	-	109991626	109991760	109989689	109989802	109996172	109996224
119	"ENSG00000139436.20"	"GIT2"	chr12	-	109951166	109951316	109947255	109947504	109953091	109953234
120	"ENSG00000139436.20"	"GIT2"	chr12	-	109951166	109951316	109947255	109948846	109953091	109953234
121	"ENSG00000139436.20"	"GIT2"	chr12	-	109967313	109967319	109965525	109965577	109967457	109967503
122	"ENSG00000139436.20"	"GIT2"	chr12	-	109945259	109945349	109939164	109939247	109947255	109947504
123	"ENSG00000139436.20"	"GIT2"	chr12	-	109965759	109965765	109965525	109965577	109967457	109967503
124	"ENSG00000078596.10"	"ITM2A"	chrX	-	79363422	79363554	79362941	79363139	79367104	79367359
125	"ENSG00000103479.15"	"RBL2"	chr16	+	53454225	53454347	53453704	53453769	53454655	53454842
126	"ENSG00000234336.6"	"JAZF1-AS1"	chr7	+	28217242	28217349	28185669	28185752	28240456	28240731
127	"ENSG00000003989.16"	"SLC7A2"	chr8	+	17538776	17538922	17502256	17502302	17543317	17543715
128	"ENSG00000003989.16"	"SLC7A2"	chr8	+	17502256	17502302	17497087	17497237	17543317	17543715
129	"ENSG00000177414.13"	"UBE2U"	chr1	+	64232560	64232649	64220858	64220907	64241651	64241733
130	"ENSG00000172915.18"	"NBEA"	chr13	+	35168986	35168995	35164355	35164509	35171271	35171452
131	"ENSG00000172915.18"	"NBEA"	chr13	+	35645868	35645931	35628080	35628248	35646258	35646348
132	"ENSG00000106302.9"	"HYAL4"	chr7	+	123876025	123876082	123874760	123874850	123876753	123877185
133	"ENSG00000104660.17"	"LEPROTL1"	chr8	+	30132374	30132489	30104299	30104486	30137271	30137697
134	"ENSG00000104660.17"	"LEPROTL1"	chr8	+	30101897	30101973	30095397	30095528	30104299	30104486
135	"ENSG00000161609.9"	"CCDC155"	chr19	+	49393345	49393419	49390788	49390926	49394475	49394580
136	"ENSG00000161609.9"	"CCDC155"	chr19	+	49393345	49393419	49391685	49391781	49394475	49394580
137	"ENSG00000161609.9"	"CCDC155"	chr19	+	49393345	49393400	49390788	49390926	49394475	49394580
138	"ENSG00000161609.9"	"CCDC155"	chr19	+	49389560	49390338	49388282	49388327	49390788	49390926
139	"ENSG00000161609.9"	"CCDC155"	chr19	+	49391680	49391781	49390788	49390926	49394475	49394580
140	"ENSG00000161609.9"	"CCDC155"	chr19	+	49390788	49390926	49388299	49388327	49394475	49394866
141	"ENSG00000161609.9"	"CCDC155"	chr19	+	49391685	49391781	49390788	49390926	49393345	49393419
142	"ENSG00000166451.13"	"CENPN"	chr16	+	81022596	81022698	81020099	81020276	81024714	81024778
143	"ENSG00000166451.13"	"CENPN"	chr16	+	81017325	81017385	81014135	81014181	81017757	81017834
144	"ENSG00000166451.13"	"CENPN"	chr16	+	81017757	81017834	81014135	81014181	81020099	81020276
145	"ENSG00000184182.18"	"UBE2F"	chr2	+	238016532	238016633	237994743	237994809	238025341	238025412
146	"ENSG00000184182.18"	"UBE2F"	chr2	+	238016565	238016633	237994743	237994809	238025341	238025412
147	"ENSG00000184182.18"	"UBE2F"	chr2	+	237987962	237987992	237973091	237973225	237994743	237994809
148	"ENSG00000184182.18"	"UBE2F"	chr2	+	237987962	237987992	237973091	237973225	238016565	238016633
149	"ENSG00000184182.18"	"UBE2F"	chr2	+	238030555	238030613	238025341	238025412	238032221	238032254
150	"ENSG00000184182.18"	"UBE2F"	chr2	+	238003367	238003527	237994743	237994809	238016565	238016630
151	"ENSG00000184182.18"	"UBE2F"	chr2	+	238025341	238025412	238016565	238016633	238030555	238030613
152	"ENSG00000184182.18"	"UBE2F"	chr2	+	238035877	238035940	238032221	238032254	238041287	238041415
153	"ENSG00000184182.18"	"UBE2F"	chr2	+	237990423	237990552	237987962	237987992	237994743	237994809
154	"ENSG00000184182.18"	"UBE2F"	chr2	+	238032221	238032254	238025341	238025412	238035877	238035922
155	"ENSG00000184182.18"	"UBE2F"	chr2	+	237973648	237973747	237973091	237973225	237987962	237987992
156	"ENSG00000184182.18"	"UBE2F"	chr2	+	237973091	237973225	237967039	237967132	237987962	237987992
157	"ENSG00000184182.18"	"UBE2F"	chr2	+	237994743	237994809	237973094	237973225	238016565	238016633
158	"ENSG00000184182.18"	"UBE2F"	chr2	+	237994743	237994809	237987962	237987992	238016565	238016633
159	"ENSG00000184182.18"	"UBE2F"	chr2	+	237986161	237986292	237973091	237973225	237987962	237987992
160	"ENSG00000112186.11"	"CAP2"	chr6	+	17536237	17536341	17513848	17513954	17539268	17539458
161	"ENSG00000112186.11"	"CAP2"	chr6	+	17462995	17463073	17426589	17426690	17507168	17507312
162	"ENSG00000112186.11"	"CAP2"	chr6	+	17507168	17507312	17462995	17463073	17539268	17539458
163	"ENSG00000112186.11"	"CAP2"	chr6	+	17493378	17493595	17462995	17463073	17507168	17507312
164	"ENSG00000168724.14"	"DNAJC21"	chr5	+	34949542	34949677	34945760	34945803	34950169	34950342
165	"ENSG00000127528.5"	"KLF2"	chr19	+	16325215	16326032	16324816	16324998	16326855	16327874
166	"ENSG00000106404.13"	"CLDN15"	chr7	-	101234277	101234442	101232832	101232914	101237364	101237946
167	"ENSG00000106404.13"	"CLDN15"	chr7	-	101234277	101234373	101232832	101232914	101237364	101237760
168	"ENSG00000106404.13"	"CLDN15"	chr7	-	101236746	101236886	101233768	101234442	101237364	101237750
169	"ENSG00000106404.13"	"CLDN15"	chr7	-	101233872	101234116	101232832	101232914	101234277	101234442
170	"ENSG00000166448.14"	"TMEM130"	chr7	-	98860178	98860338	98856016	98856183	98869776	98869957
171	"ENSG00000166448.14"	"TMEM130"	chr7	-	98863094	98863400	98860178	98860338	98869776	98869866
172	"ENSG00000127616.17"	"SMARCA4"	chr19	+	10980776	10980852	10961000	10961174	10984120	10984373
173	"ENSG00000127616.17"	"SMARCA4"	chr19	+	11039457	11039553	11034913	11035132	11041297	11041560
174	"ENSG00000127616.17"	"SMARCA4"	chr19	+	11039457	11039553	11034913	11035132	11041306	11041560
175	"ENSG00000127616.17"	"SMARCA4"	chr19	+	11033766	11033865	11033081	11033517	11034122	11034146
176	"ENSG00000090989.17"	"EXOC1"	chr4	+	55900558	55900692	55899684	55899884	55902343	55902538
177	"ENSG00000090989.17"	"EXOC1"	chr4	+	55888887	55888932	55882726	55883928	55890222	55890386
178	"ENSG00000064270.12"	"ATP2C2"	chr16	+	84407186	84407464	84406611	84406649	84408404	84408494
179	"ENSG00000064270.12"	"ATP2C2"	chr16	+	84459505	84459592	84459269	84459386	84460653	84460801
180	"ENSG00000064270.12"	"ATP2C2"	chr16	+	84410703	84410765	84410567	84410603	84415482	84415591
181	"ENSG00000064270.12"	"ATP2C2"	chr16	+	84410679	84410765	84410567	84410603	84415482	84415591
182	"ENSG00000064270.12"	"ATP2C2"	chr16	+	84459269	84459386	84459119	84459188	84460653	84460801
183	"ENSG00000213123.10"	"TCTEX1D2"	chr3	-	196305655	196305773	196296005	196296069	196306942	196307012
184	"ENSG00000223685.5"	"LINC00571"	chr13	-	38059518	38059708	38053919	38054169	38061395	38061453
185	"ENSG00000103168.16"	"TAF1C"	chr16	-	84183071	84183149	84182201	84182440	84183243	84183333
